"ID","Key","Value"
"647911fa","Access_Type","Write"
"7ed4c805","Access_Type","Write"
"d6b4d51b","Directed","false"
"8bbf3262","Access_Type","Write"
"9c947262","Access_Type","Write"
"568d87d0","Directed","false"
"2c8bfff1","Access_Type","Write"
"d8271d71","Access_Type","Write"
"88bc2eec","Access_Type","Write"
"cfc4d092","Access_Type","Write"
"a749589a","Directed","false"
"1dd7ccd7","Access_Type","Write"
"ba4d0421","Access_Type","Write"
"c0544f01","Access_Type","Write"
"e2299528","Directed","false"
"9347937c","Access_Type","Write"
"529be6db","Access_Type","Write"
"792b0f42","Access_Type","Write"
"768d88b3","Access_Type","Write"
"0f4e03db","Access_Type","Write"
