"ID","Type","Name","Documentation","Source","Target","Specialization"
"1e9a651c","AssociationRelationship","","","c91e7232","690e2397",""
"29fb54df","AssociationRelationship","","","3bf2a50b","80940e57",""
"62648f2b","AssociationRelationship","","","d5a0f92e","8ef52b16",""
"df665042","AssociationRelationship","","","782414c1","aa6d4534",""
"5ddb9184","AssociationRelationship","","","e35e4b06","d470cd9b",""
"10a4b96a","AssociationRelationship","","","9d78c8d1","883d9852",""
"947dc156","AssociationRelationship","","","66caf245","782414c1",""
"f9410b11","AssociationRelationship","","","d43f37b6","907dcb06",""
"170fae8e","AssociationRelationship","","","aa6d4534","f4634650",""
"227cb318","AssociationRelationship","","","6dbe1bf8","e35e4b06",""
"9508cd6c","AssociationRelationship","","","6f2f5ddc","940feb27",""
"2184374f","AssociationRelationship","","","96e4d015","b0079978",""
"c7e3ff20","AssociationRelationship","","","f4634650","c91e7232",""
"1b7088a7","AssociationRelationship","","","fa153758","a142a4ea",""
"7f0ad124","AssociationRelationship","","","9d78c8d1","66caf245",""
"5717669d","AssociationRelationship","","","a142a4ea","39c73a68",""
"14481777","AssociationRelationship","","","b23c5f8e","7e481181",""
"cdf2e9e7","AssociationRelationship","","","a5206bad","e20ae7ba",""
"9e0b843e","AssociationRelationship","","","07982683","f4634650",""
"30973194","AssociationRelationship","","","d470cd9b","b77909ae",""
"5c137530","AssociationRelationship","","","907dcb06","dbfeaeb4",""
"44bcc7e2","AssociationRelationship","","","a4031e05","d43f37b6",""
"494ededd","AssociationRelationship","","","2925a7db","883d9852",""
"ea9ca0a6","AssociationRelationship","","","782414c1","e35e4b06",""
"e3edda76","AssociationRelationship","","","80940e57","940feb27",""
"0a36d298","AssociationRelationship","","","a5206bad","77095e1b",""
"5503d6ec","AssociationRelationship","","","9cf41f2b","e20ae7ba",""
"9c257b4b","AssociationRelationship","","","47f806a1","07982683",""
"097f89c0","AssociationRelationship","","","bd516295","06ce4d71",""
"2ce1e512","AssociationRelationship","","","883d9852","dbfeaeb4",""
"456190cd","AssociationRelationship","","","2925a7db","a67d4324",""
"52546892","AssociationRelationship","","","7e481181","7b017709",""
"dacc4d49","AssociationRelationship","","","66caf245","e20ae7ba",""
"1c592ba0","AssociationRelationship","","","7b017709","16226d5e",""
"41c7c313","AssociationRelationship","","","47e7ed24","f4634650",""
"643aa617","AssociationRelationship","","","d43f37b6","883d9852",""
"a4689175","AssociationRelationship","","","6dbe1bf8","c2580488",""
"fbddc20c","AssociationRelationship","","","06ce4d71","e35e4b06",""
"f428dbd8","AssociationRelationship","","","66caf245","81bc11ac",""
"10105c5a","AssociationRelationship","","","dbfeaeb4","3bf2a50b",""
"ea56e5dc","AssociationRelationship","","","690e2397","fa153758",""
"415d36eb","AssociationRelationship","","","66caf245","16c30922",""
"7bad25f2","AssociationRelationship","","","b23c5f8e","f4634650",""
"4fcb53a4","AssociationRelationship","","","9cf41f2b","cd5ac2c7",""
"5c43fb99","AssociationRelationship","","","c2580488","dfc026aa",""
"2ef30a42","AssociationRelationship","","","dfc026aa","3a72ca5b",""
"507f88eb","AssociationRelationship","","","16c30922","9d78c8d1",""
"d47a74ca","AssociationRelationship","","","8ef52b16","e20ae7ba",""
"14b4084a","AssociationRelationship","","","16c30922","907dcb06",""
"59ca5214","AssociationRelationship","","","b77909ae","fa153758",""
"34eb962d","AssociationRelationship","","","3bf2a50b","6f2f5ddc",""
"59596256","AssociationRelationship","","","77095e1b","96e4d015",""
"a3dae968","AssociationRelationship","","","81bc11ac","e20ae7ba",""
"3c3afa4e","AssociationRelationship","","","907dcb06","883d9852",""
"0aeb6207","AssociationRelationship","","","2925a7db","5a4699d7",""
"573194fe-2acb-4f71-bcd1-2e122bca6785","AssociationRelationship","","","9cf41f2b","3b08e783",""
"472ba3b9-1667-4324-85fa-dcf335b95915","AssociationRelationship","","","d470cd9b","b57d9e84",""
"1715215d-b4af-4311-8f58-388d7ca319ce","AssociationRelationship","","","ce88a97c","c91e7232",""
"259e219e","AssociationRelationship","Download and delete file","","cd5ac2c7","fa153758",""
"0f1be57c","AssociationRelationship","Upload file via FTP","","a67d4324","fa153758",""
"06bd6685","CompositionRelationship","","","03e54fc4","96e4d015",""
"ff8bc449","CompositionRelationship","","","47e7ed24","c91e7232",""
"33551576","CompositionRelationship","","","03e54fc4","66caf245",""
"ecea716c","CompositionRelationship","","","d4825dc1","3a72ca5b",""
"b01a0211","CompositionRelationship","","","d4825dc1","06ce4d71",""
"e9dde75d","CompositionRelationship","","","d4825dc1","782414c1",""
"48d91d5b","CompositionRelationship","","","43fad7d6","dbfeaeb4",""
"8a47d100","CompositionRelationship","","","43fad7d6","907dcb06",""
"3b864107","CompositionRelationship","","","d4825dc1","dfc026aa",""
"71eb82ff","CompositionRelationship","","","47e7ed24","aa6d4534",""
"28c90d0a","CompositionRelationship","","","bda91bdf","39c73a68",""
"62eac0a8","CompositionRelationship","","","43fad7d6","940feb27",""
"6de6817a","CompositionRelationship","","","47e7ed24","7b017709",""
"2afe1a7e","CompositionRelationship","","","03e54fc4","a5206bad",""
"81630dba","CompositionRelationship","","","d4825dc1","6dbe1bf8",""
"6c04d9ca","CompositionRelationship","","","47e7ed24","f4634650",""
