"ID","Type","Name","Documentation","Source","Target","Specialization"
"019e000c","AssignmentRelationship","","","add89549","62416aba",""
"c8e0b9b9","AssignmentRelationship","","","add89549","fe62888a",""
"98db8aca","AssignmentRelationship","","","288a1950","adf8f973",""
"e3df7576","AssignmentRelationship","","","3b54763c","b20aa0ab",""
"5e5eb0ae","AssignmentRelationship","","","a5672327","9cce3ebf",""
"d73387a2","AssignmentRelationship","","","a5672327","410fa20d",""
"5ddf86e5","AssignmentRelationship","","","c3e63403","57ac8972",""
"0c381b2e","AssignmentRelationship","","","c3e63403","40b8f964",""
"3df0585f","AssignmentRelationship","","","37f21007","d433ecf6",""
"4b55245a","AssignmentRelationship","","","37f21007","48e3c3fe",""
"e9b4e077","AssociationRelationship","","","bda0aa0d","62416aba",""
"7baa5701","AssociationRelationship","","","37c60a8c","a29bac60",""
"4e2ee339","AssociationRelationship","","","85b1a746","2dcebf5c",""
"29f04a68","AssociationRelationship","","","520f8ee9","a21ed30e",""
"02f6b72f","AssociationRelationship","","","c69bca7e","b5d9dfae",""
"032b7cc5","AssociationRelationship","","","a52e9d05","768ab3cf",""
"a7deb135","AssociationRelationship","","","768ab3cf","aac85a21",""
"ef22784b","CompositionRelationship","","","bda0aa0d","9f783976",""
"93dc0455","CompositionRelationship","","","bda0aa0d","e2a11390",""
"636875c3","CompositionRelationship","","","bda0aa0d","18b01dd8",""
"9bd2de80","CompositionRelationship","","","bda0aa0d","3f9d2fb7",""
"486a9fbd","CompositionRelationship","","","bda0aa0d","b75ce66c",""
"6778af10","CompositionRelationship","","","a29bac60","5cb5a2dc",""
"ee823f7b","CompositionRelationship","","","a29bac60","e0421bf6",""
"dd740c54","CompositionRelationship","","","a29bac60","485e08f7",""
"27f79d41","CompositionRelationship","","","62416aba","b80da905",""
"c68fa150","CompositionRelationship","","","62416aba","c7214f66",""
"c6bc8c27","CompositionRelationship","","","62416aba","368ac454",""
"ac023a32","CompositionRelationship","","","37c60a8c","b7c91763",""
"140160b5","CompositionRelationship","","","721a92ff","4dbf1be8",""
"2f377f02","CompositionRelationship","","","13607afb","70443a4e",""
"3bb88bec","CompositionRelationship","","","13607afb","76aaba18",""
"f1587509","CompositionRelationship","","","13607afb","38634daa",""
"375b05ec","CompositionRelationship","","","13607afb","85b1a746",""
"12331198","CompositionRelationship","","","13607afb","91299eaf",""
"5770d7ca","CompositionRelationship","","","13607afb","738452bd",""
"7e650c7a","CompositionRelationship","","","13607afb","7d2acee8",""
"3375fef8","CompositionRelationship","","","1d36f3b5","da23df9f",""
"1d775ab9","CompositionRelationship","","","1d36f3b5","d12efb7e",""
"b239dce3","CompositionRelationship","","","1d36f3b5","663a47fe",""
"ae124373","CompositionRelationship","","","1d36f3b5","972e80d6",""
"c74a2b8e","CompositionRelationship","","","1d36f3b5","75cea3b2",""
"f456d047","CompositionRelationship","","","75cea3b2","6b8eecdb",""
