"ID","Key","Value"
"1f0d7762-0011-48d2-a572-f535f1e5a423","URL","https://github.com/canada-ca/architecture"
"1f0d7762-0011-48d2-a572-f535f1e5a423","",""
"d80985a6-8a57-4bc3-9ec5-125a64ed34bb","URL","https://gcdocs.gc.ca/ssc-spc/llisapi.dll?func=ll&objaction=overview&objid=35558072"
"72113019-cf43-4dc9-9cdc-3ff9a7373278","Type","Website"
"72113019-cf43-4dc9-9cdc-3ff9a7373278","URL","http://gcdirectory-gcannuaire.ssc-spc.gc.ca/en/GCD/"
"92d38791-d299-42c5-b257-c8f7d6319654","Type","Website"
"92d38791-d299-42c5-b257-c8f7d6319654","URL","https://www.canada.ca/home.html"
"1f7d13d7-9856-4ab8-b278-948773bf5351","Type","Website"
"1f7d13d7-9856-4ab8-b278-948773bf5351","URL","https://open.canada.ca"
"6e8598ad-3852-45e5-8db9-69a5b7d544a2","Type","Website"
"6e8598ad-3852-45e5-8db9-69a5b7d544a2","URL","https://www.btb.termiumplus.gc.ca"
"256b56b7-e9bd-4c99-8bee-df8d23a58690","version","10 (X)"
"d0ff771c-b692-431c-9cf6-45e939cb1dde","Type","Act"
"d0ff771c-b692-431c-9cf6-45e939cb1dde","Effective Date","1985"
"d0ff771c-b692-431c-9cf6-45e939cb1dde","Parlimentary Bill","P-21"
"d0ff771c-b692-431c-9cf6-45e939cb1dde","Updated Date",""
"d0ff771c-b692-431c-9cf6-45e939cb1dde","Modified Date",""
"d0ff771c-b692-431c-9cf6-45e939cb1dde","URL","https://laws-lois.justice.gc.ca/eng/acts/P-21/"
"d0ff771c-b692-431c-9cf6-45e939cb1dde","XML",""
"66479820-03ac-4996-b307-a97d9186ad7e","Type","Code"
"66479820-03ac-4996-b307-a97d9186ad7e","Effective Date","2012-04-02"
"66479820-03ac-4996-b307-a97d9186ad7e","Modified Date","2011-12-15"
"66479820-03ac-4996-b307-a97d9186ad7e","URL","https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=25049"
"66479820-03ac-4996-b307-a97d9186ad7e","XML","https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=25049&section=xml"
"509d7012-9e30-41d0-8810-b121e04e2d18","Application","Voluntary"
"509d7012-9e30-41d0-8810-b121e04e2d18","Audience","Managers, Functional Specialists"
"509d7012-9e30-41d0-8810-b121e04e2d18","Policy Instrument","Tools"
"509d7012-9e30-41d0-8810-b121e04e2d18","URL","https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=13616"
"56d5c9b7-dbdf-46be-8eb0-118021517a04","Application","Mandatory"
"56d5c9b7-dbdf-46be-8eb0-118021517a04","Audience","Managers, Functional Specilaists"
"56d5c9b7-dbdf-46be-8eb0-118021517a04","Policy Instrument","Standard"
"56d5c9b7-dbdf-46be-8eb0-118021517a04","URL","https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=13616"
"081ae56f-2878-4947-825c-a498abd8d76f","Type","Suite"
"081ae56f-2878-4947-825c-a498abd8d76f","Effective Date",""
"081ae56f-2878-4947-825c-a498abd8d76f","Updated Date",""
"081ae56f-2878-4947-825c-a498abd8d76f","Modified Date",""
"081ae56f-2878-4947-825c-a498abd8d76f","URL","https://www.tbs-sct.gc.ca/pol/info-eng.aspx"
"081ae56f-2878-4947-825c-a498abd8d76f","XML",""
"37cd6ead-fce4-4321-99ab-cf9426f44b39","Type",""
"37cd6ead-fce4-4321-99ab-cf9426f44b39","URL",""
"37cd6ead-fce4-4321-99ab-cf9426f44b39","",""
"f246937b-84a2-4ea6-8e66-1f3fbdc663c3","Type","Directive"
