"ID","Type","Name","Documentation","Source","Target","Specialization"
"1e69d08f","AccessRelationship","accesses","","cba68c87","81336ac1",""
"259393c4","AssociationRelationship","business relationship","","b8ce8203","dd75bc7e",""
"d678fccf","AssociationRelationship","business relationship","","f0bc1c3f","b8ce8203",""
"f8e9fc8d","AssociationRelationship","business relationship","","f0bc1c3f","dd75bc7e",""
"a30b2f12","AssociationRelationship","contains data owned by","","f0bc1c3f","81336ac1",""
"87d2418d","AssociationRelationship","is operated by","","b8ce8203","81336ac1",""
"b5aedf8e","AssociationRelationship","is operated by","","cba68c87","dd75bc7e",""
"1876d621","AssociationRelationship","is used by","","66b22664","cba68c87",""
"af0358ea","ServingRelationship","is used by","","d6783d5a","66b22664",""
"bb1c2dba","ServingRelationship","is used by","","66b22664","81336ac1",""
