"ID","Type","Name","Documentation","Source","Target","Specialization"
"14293","AccessRelationship","","","14162","14288",""
"14508","AccessRelationship","","","12913","10794",""
"14509","AccessRelationship","","","12914","10796",""
"14510","AccessRelationship","","","12916","10800",""
"14512","AccessRelationship","","","12917","10800",""
"10929","AccessRelationship","","","10812","10794",""
"14583","AccessRelationship","","","10821","14539",""
"10915","AccessRelationship","","","10841","10799",""
"10901","AccessRelationship","","","10844","10795",""
"6204","AccessRelationship","","","6188","6193",""
"6210","AccessRelationship","","","6186","6192",""
"6211","AccessRelationship","","","6176","6194",""
"6205","AccessRelationship","","","6177","6193",""
"14582","AccessRelationship","","","10827","14539",""
"10928","AccessRelationship","","","10812","10797",""
"18179","AccessRelationship","","","10842","18178",""
"13748","AccessRelationship","","","10835","10797",""
"6207","AccessRelationship","","","6176","6192",""
"6206","AccessRelationship","","","6177","6194",""
"14581","AccessRelationship","","","10828","14539",""
"10907","AccessRelationship","","","10844","10794",""
"10913","AccessRelationship","","","10840","10797",""
"10898","AccessRelationship","","","10839","10797",""
"6798","AccessRelationship","","","6651","6736",""
"10899","AccessRelationship","","","10843","10794",""
"10906","AccessRelationship","","","10842","10794",""
"18169","AccessRelationship","","","10842","14072",""
"10904","AccessRelationship","","","10845","10796",""
"6567","AccessRelationship","","","6188","6562",""
"14578","AccessRelationship","","","10829","14539",""
"10905","AccessRelationship","","","10845","10794",""
"18168","AccessRelationship","","","17691","14072",""
"10976","AccessRelationship","","","10846","10794",""
"14127","AccessRelationship","","","10784","14074",""
"14126","AccessRelationship","","","10785","14074",""
"10961","AccessRelationship","","","10828","10806",""
"14130","AccessRelationship","","","13873","14074",""
"14131","AccessRelationship","","","13874","14074",""
"10960","AccessRelationship","","","10825","10804",""
"14041","AccessRelationship","","","10784","14025",""
"10958","AccessRelationship","","","10829","10808",""
"14294","AccessRelationship","","","14148","14025",""
"10959","AccessRelationship","","","10825","10805",""
"14040","AccessRelationship","","","10789","14025",""
"14042","AccessRelationship","","","13874","14025",""
"14123","AccessRelationship","","","13873","14025",""
"10966","AccessRelationship","","","10830","10807",""
"14043","AccessRelationship","","","10785","14025",""
"10957","AccessRelationship","","","10827","10801",""
"10943","AccessRelationship","","","10822","10794",""
"10942","AccessRelationship","","","10822","10800",""
"10955","AccessRelationship","","","10828","10807",""
"10941","AccessRelationship","","","10821","10804",""
"10945","AccessRelationship","","","10811","10800",""
"10951","AccessRelationship","","","10849","10804",""
"14128","AccessRelationship","","","13875","14074",""
"14129","AccessRelationship","","","10789","14074",""
"10987","AccessRelationship","","","10816","10800",""
"10950","AccessRelationship","","","10849","10800",""
"10952","AccessRelationship","","","10850","10804",""
"10946","AccessRelationship","","","10810","10794",""
"10985","AccessRelationship","","","10815","10797",""
"14300","AccessRelationship","","","14148","14074",""
"10947","AccessRelationship","","","10815","10803",""
"10908","AccessRelationship","","","10838","10794",""
"14575","AccessRelationship","","","10835","10799",""
"14561","AccessRelationship","","","12926","10794",""
"6594","AccessRelationship","","","6176","6565",""
"6796","AccessRelationship","","","6650","6734",""
"6797","AccessRelationship","","","6649","6735",""
"6595","AccessRelationship","","","6184","6566",""
"14574","AccessRelationship","","","10835","10794",""
"10921","AccessRelationship","","","10839","10798",""
"10935","AccessRelationship","","","10816","10794",""
"10923","AccessRelationship","","","10841","10797",""
"10937","AccessRelationship","","","10821","10800",""
"6795","AccessRelationship","","","6654","6733",""
"6596","AccessRelationship","","","6186","6566",""
"10936","AccessRelationship","","","10814","10798",""
"10922","AccessRelationship","","","10840","10798",""
"6592","AccessRelationship","","","6177","6564",""
"6593","AccessRelationship","","","6186","6565",""
"10933","AccessRelationship","","","10814","10803",""
"10927","AccessRelationship","","","10818","10794",""
"14028","AccessRelationship","","","13875","14025",""
"13747","AccessRelationship","","","10835","10798",""
"10931","AccessRelationship","","","10811","10801",""
"10925","AccessRelationship","","","10818","10802",""
"6591","AccessRelationship","","","6176","6564",""
"6208","AccessRelationship","","","6186","6195",""
"6209","AccessRelationship","","","6184","6195",""
"6590","AccessRelationship","","","6177","6562",""
"10930","AccessRelationship","","","10812","10800",""
"8001","AggregationRelationship","","","7995","8000",""
"8002","AggregationRelationship","","","7994","7999",""
"8003","AggregationRelationship","","","7993","7998",""
"8004","AggregationRelationship","","","7992","7997",""
"8005","AggregationRelationship","","","7991","7996",""
"19510","AggregationRelationship","","","19509","14481",""
"19511","AggregationRelationship","","","19509","10685",""
"19473","AggregationRelationship","","","19471","10685",""
"19472","AggregationRelationship","","","19471","8618",""
"16276","AggregationRelationship","","","14441","12927",""
"16274","AggregationRelationship","","","14440","14543",""
"16275","AggregationRelationship","","","14441","10859",""
"16271","AggregationRelationship","","","14440","8618",""
"8628","AggregationRelationship","","","8507","8624",""
"16272","AggregationRelationship","","","14441","14484",""
"16273","AggregationRelationship","","","14440","12926",""
"8664","AggregationRelationship","","","8506","8659",""
"8665","AggregationRelationship","","","8507","8660",""
"8716","AggregationRelationship","","","8713","8714",""
"8663","AggregationRelationship","","","8507","8659",""
"8715","AggregationRelationship","","","8713","8532",""
"8696","AggregationRelationship","","","8507","8689",""
"8626","AggregationRelationship","","","8507","8618",""
"16293","AggregationRelationship","","","14440","8660",""
"16333","AggregationRelationship","","","16323","14390",""
"16332","AggregationRelationship","","","16323","14396",""
"7131","AggregationRelationship","","","7104","7129",""
"8406","AggregationRelationship","","","8207","8404",""
"8407","AggregationRelationship","","","8207","8238",""
"9866","AggregationRelationship","","","8454","8486",""
"9867","AggregationRelationship","","","8454","8378",""
"17860","AggregationRelationship","","","17819","17821",""
"8263","AggregationRelationship","","","10222","8257",""
"17861","AggregationRelationship","","","17819","17820",""
"7229","AggregationRelationship","","","7104","7226",""
"9775","AggregationRelationship","","","8405","8238",""
"8382","AggregationRelationship","","","8207","7149",""
"17823","AggregationRelationship","","","17805","17806",""
"8007","AggregationRelationship","","","7944","7949",""
"9641","AggregationRelationship","","","9369","6184",""
"9640","AggregationRelationship","","","9369","6183",""
"9668","AggregationRelationship","","","9368","6175",""
"8006","AggregationRelationship","","","7941","7944",""
"8010","AggregationRelationship","","","7942","7947",""
"9642","AggregationRelationship","","","9369","6185",""
"9656","AggregationRelationship","","","9444","6189",""
"9657","AggregationRelationship","","","9444","6188",""
"9643","AggregationRelationship","","","9369","6186",""
"9639","AggregationRelationship","","","9369","6181",""
"9638","AggregationRelationship","","","9369","6182",""
"14027","AggregationRelationship","","","14025","14026",""
"8008","AggregationRelationship","","","7940","7943",""
"9666","AggregationRelationship","","","9368","6176",""
"9667","AggregationRelationship","","","9368","6180",""
"8009","AggregationRelationship","","","7943","7948",""
"17605","AggregationRelationship","","","17602","17601",""
"9665","AggregationRelationship","","","9368","6179",""
"9659","AggregationRelationship","","","9444","9368",""
"9658","AggregationRelationship","","","9444","6187",""
"9664","AggregationRelationship","","","9368","6178",""
"17604","AggregationRelationship","","","17602","17600",""
"9660","AggregationRelationship","","","9368","6173",""
"9661","AggregationRelationship","","","9368","6172",""
"9663","AggregationRelationship","","","9368","6177",""
"9662","AggregationRelationship","","","9368","6174",""
"6864","AssignmentRelationship","","","6846","6856",""
"14517","AssignmentRelationship","","","14482","14534",""
"16628","AssignmentRelationship","","","10674","13874",""
"16614","AssignmentRelationship","","","10682","10784",""
"16589","AssignmentRelationship","","","10681","10789",""
"16615","AssignmentRelationship","","","10673","10784",""
"16616","AssignmentRelationship","","","10672","10785",""
"16606","AssignmentRelationship","","","10670","10784",""
"16636","AssignmentRelationship","","","16517","10784",""
"16592","AssignmentRelationship","","","10671","10791",""
"16591","AssignmentRelationship","","","10670","10791",""
"16590","AssignmentRelationship","","","10669","14538",""
"14518","AssignmentRelationship","","","14483","14535",""
"10991","AssignmentRelationship","","","10996","10819",""
"18271","AssignmentRelationship","","","18223","18189",""
"10956","AssignmentRelationship","","","10766","10823",""
"10981","AssignmentRelationship","","","10995","10851",""
"10968","AssignmentRelationship","","","10773","10833",""
"18273","AssignmentRelationship","","","18072","18191",""
"18272","AssignmentRelationship","","","18224","18190",""
"10969","AssignmentRelationship","","","10773","8659",""
"7418","AssignmentRelationship","","","7429","7409",""
"7419","AssignmentRelationship","","","7427","7408",""
"7800","AssignmentRelationship","","","7429","7801",""
"10919","AssignmentRelationship","","","10778","10861",""
"7745","AssignmentRelationship","","","7426","7749",""
"7744","AssignmentRelationship","","","7428","7748",""
"12935","AssignmentRelationship","","","10766","8660",""
"14562","AssignmentRelationship","","","10778","14543",""
"12932","AssignmentRelationship","","","10778","12927",""
"7743","AssignmentRelationship","","","7427","7747",""
"7742","AssignmentRelationship","","","7425","7746",""
"19467","AssignmentRelationship","","","10762","10833",""
"18143","AssignmentRelationship","","","18071","17890",""
"18144","AssignmentRelationship","","","18072","17892",""
"7417","AssignmentRelationship","","","7426","7407",""
"18145","AssignmentRelationship","","","18119","17915",""
"18147","AssignmentRelationship","","","18117","10842",""
"18146","AssignmentRelationship","","","18118","17691",""
"10970","AssignmentRelationship","","","10773","10847",""
"10971","AssignmentRelationship","","","10773","10831",""
"10973","AssignmentRelationship","","","10996","10812",""
"10972","AssignmentRelationship","","","10773","10832",""
"10974","AssignmentRelationship","","","10996","10835",""
"a12e2212","AssociationRelationship","","","6834","6836",""
