"ID","Type","Name","Documentation","Source","Target","Specialization"
"b0c6775c","AssignmentRelationship","","","aa672c41","b415d223",""
"81d5617b","AssignmentRelationship","","","3fb589b6","15ea9c9b",""
"c27939e3","AssignmentRelationship","","","c77e8fa2","4c02de45",""
"48d99e52","AssignmentRelationship","","","f61c8bac","71cc4129",""
"78ca5097","AssignmentRelationship","","","31ce399a","1a6c19d0",""
"83c525c6","AssignmentRelationship","","","31ce399a","71cc4129",""
"11257001","CompositionRelationship","","","001b80b0","873a0a38",""
"6bfc1661","CompositionRelationship","","","873a0a38","f40ef00b",""
"e5f83db9","CompositionRelationship","","","71876aea","2f96d0e5",""
"d83b0a71","CompositionRelationship","","","873a0a38","f4725593",""
"0f0623af","CompositionRelationship","","","6b9df5f9","60eed0fc",""
"7330a50a","CompositionRelationship","","","6b9df5f9","308385f7",""
"d3d3a5f4","CompositionRelationship","","","6b9df5f9","0ee4c6b5",""
"e93f9430","CompositionRelationship","","","6b9df5f9","4f821229",""
"49401e8a","CompositionRelationship","","","a6d3fa65","f4fbdb17",""
"c29b072a","CompositionRelationship","","","a6d3fa65","f5a1c7c4",""
"b4ccd56c","CompositionRelationship","","","b28cdd42","f5a1c7c4",""
"bcca93ac","CompositionRelationship","","","a6d3fa65","297ac879",""
"49fea0ac","CompositionRelationship","","","a6d3fa65","3cc1ad89",""
"68397e64","CompositionRelationship","","","a8ab9346","f37de9c8",""
"d234cd41","CompositionRelationship","","","b28cdd42","297ac879",""
"fd3ee3ef","CompositionRelationship","","","b28cdd42","3cc1ad89",""
"c08b987a","FlowRelationship","","","39af0363","590e3073",""
"290d94ca","FlowRelationship","","","6b210891","a3437619",""
"0dd56b41","FlowRelationship","","","8d0b7f3e","eea6ecc3",""
"07c7759e","FlowRelationship","","","b7ef5906","eea6ecc3",""
"a19584d5","FlowRelationship","","","39af0363","eea6ecc3",""
"999e7fc4","RealizationRelationship","","","aed3648f","1cd726f4",""
"030acc96","RealizationRelationship","","","141e55a4","6b4a965a",""
"c287d783","RealizationRelationship","","","ce0a9b9f","1abb1517",""
"060fb7d7","RealizationRelationship","","","5d50933e","1cd726f4",""
"32437d25","RealizationRelationship","","","64c95093","1cd726f4",""
"ff70e5ea","RealizationRelationship","","","7ebff5f9","6b4a965a",""
"873ecb5a","RealizationRelationship","","","164bb75b","446b2c94",""
"e8bffb79","RealizationRelationship","","","e626ad1d","6b4a965a",""
"e88909c1","RealizationRelationship","","","6c7dcf9b","7724971d",""
"12cfc49c","RealizationRelationship","","","a8ab9346","cacd57d7",""
"069868c5","RealizationRelationship","","","60a87f33","278adfdc",""
"41754645","RealizationRelationship","","","fd2020ac","f89cb56b",""
"16983542","RealizationRelationship","","","e916d96e","f89cb56b",""
"4ffe1f4c","RealizationRelationship","","","faeacd60","8f995358",""
"5ffb0c11","RealizationRelationship","","","5bed929f","d5299272",""
