"ID","Type","Name","Documentation","Source","Target","Specialization"
"db9ccba3","AccessRelationship","","","a934be87","bf9be400",""
"523b49ca","AccessRelationship","","","1d9892b7","3d789493",""
"1217c879","AccessRelationship","","","e1342f63","bf9be400",""
"8deb8cbe","AccessRelationship","","","efe8d146","bf9be400",""
"5fd8ab19","AccessRelationship","","","47aa5229","bf9be400",""
"c76b56b6","AccessRelationship","","","5c64df80","bf9be400",""
"c9b13647","AccessRelationship","","","a6800795","c139fa80",""
"649544e3","AccessRelationship","","","3cf2409f","c139fa80",""
"24d9d956","AccessRelationship","","","1a80703a","c139fa80",""
"b58d65c7","AccessRelationship","","","4fda0d83","c139fa80",""
"03eb5d00","AccessRelationship","","","a88ff541","c139fa80",""
"77bf621f","AccessRelationship","","","565e2f14","bf9be400",""
"112ded95","AssignmentRelationship","","","a934be87","4e2c458d",""
"d39d8dae","AssignmentRelationship","","","a934be87","1a80703a",""
"d33f5f07","AssignmentRelationship","","","a934be87","36629222",""
"12a1bea4","AssignmentRelationship","","","a934be87","073dbd0e",""
"d6f437fe","AssignmentRelationship","","","a934be87","1a0d2623",""
"f456837b","AssignmentRelationship","","","1d9892b7","4efded49",""
"a6ec8755","AssignmentRelationship","","","1d9892b7","115d6212",""
"33c6f47c","AssignmentRelationship","","","1d9892b7","1b722f3c",""
"43119ff1","AssignmentRelationship","","","1d9892b7","06e728ae",""
"9e5e2222","AssignmentRelationship","","","1d9892b7","8eeae1e1",""
"670ffb5a","AssociationRelationship","","","c139fa80","70f7bb3b",""
"287400f3","AssociationRelationship","","","70f7bb3b","f9bd0f1a",""
"42ee99a3","AssociationRelationship","","","b40be0cf","70f7bb3b",""
"599970bf","AssociationRelationship","","","a934be87","b40be0cf",""
"85bbc7c9","AssociationRelationship","","","cb2c8355","f9bd0f1a",""
"7b2d7029","AssociationRelationship","","","a934be87","c139fa80",""
"362ee6aa","AssociationRelationship","","","b40be0cf","cb2c8355",""
"bd2a0016","AssociationRelationship","","","70f7bb3b","b9fd7d5c",""
"e5966eda","AssociationRelationship","","","f9bd0f1a","35a8f4bc",""
"96c718e8","CompositionRelationship","","","4e2c458d","5133fe78",""
"d0e1b4c6","CompositionRelationship","","","073dbd0e","e1342f63",""
"fb913c5d","CompositionRelationship","","","4e2c458d","aded4921",""
"e5ccbbbe","CompositionRelationship","","","36629222","efe8d146",""
"f7deb9fe","CompositionRelationship","","","1a0d2623","5c64df80",""
"e0485f2f","CompositionRelationship","","","1a80703a","47aa5229",""
"9d6ca169","CompositionRelationship","","","1a0d2623","1aa3382e",""
"01a773b1","CompositionRelationship","","","1b722f3c","58e47ff7",""
"4ea72ead","CompositionRelationship","","","4efded49","522cc572",""
"0bcd6910","CompositionRelationship","","","06e728ae","a88ff541",""
"fb0b67ec","CompositionRelationship","","","06e728ae","9c4fa095",""
"06c9ad8a","CompositionRelationship","","","115d6212","3feac482",""
"be3250ec","CompositionRelationship","","","8eeae1e1","06f5248a",""
"3105614a","CompositionRelationship","","","115d6212","4fda0d83",""
"643309ab","CompositionRelationship","","","073dbd0e","a6800795",""
"c15a8c63","CompositionRelationship","","","36629222","3cf2409f",""
"15db839c","CompositionRelationship","","","1a80703a","9138979b",""
"f9745ea6","CompositionRelationship","","","3c9f538e","394678fe",""
"7b452277","CompositionRelationship","","","3c9f538e","adf97774",""
"e4a664a5","CompositionRelationship","","","3c9f538e","565e2f14",""
"932bccc1","CompositionRelationship","","","1a0d2623","3694722f",""
"fcc5b6f3","FlowRelationship","","","aded4921","5133fe78",""
"b7dcdde5","FlowRelationship","","","1aa3382e","5c64df80",""
"8abb56d9","FlowRelationship","","","4fda0d83","3feac482",""
"a5384ccb","FlowRelationship","","","a88ff541","9c4fa095",""
"069450e2","FlowRelationship","","","e1342f63","a6800795",""
"c351d01d","FlowRelationship","","","efe8d146","3cf2409f",""
"2cb8b9b6","FlowRelationship","","","47aa5229","9138979b",""
"eaeeacff","FlowRelationship","","","adf97774","394678fe",""
"3eb127b0","FlowRelationship","","","adf97774","565e2f14",""
"a2a98636","FlowRelationship","","","565e2f14","394678fe",""
"30d80743","FlowRelationship","","","5c64df80","3694722f",""
"a80734cf","FlowRelationship","","","9c4fa095","1a0d2623",""
"21cc4db9","FlowRelationship","query results transmitted factory, and it returns an object","","3feac482","1a0d2623",""
"daf2bd79","ServingRelationship","","","06e728ae","adf97774",""
"858f2a0e","ServingRelationship","","","36629222","394678fe",""
"111f2502","ServingRelationship","","","1a0d2623","9c4fa095",""
"fa194862","ServingRelationship","query results transmitted factory, and it returns an object","","1a0d2623","3feac482",""
