"ID","Type","Name","Documentation","Source","Target","Specialization"
"4ea48424","AccessRelationship","","","3d51868c","a0915131",""
"d1fd07a6","AccessRelationship","","","3d51868c","6cef67b7",""
"c43a4ebc","AccessRelationship","","","6cef67b7","a0915131",""
"5282e066","AccessRelationship","","","51daf56d","02276ddd",""
"f2d6c134","AccessRelationship","","","f963d3b3","19fb24b6",""
"5d21f3c9","AccessRelationship","","","6af57d05","40fa0c91",""
"98e56a1f","AccessRelationship","","","51daf56d","aa000824",""
"7b1afc11","AccessRelationship","","","f963d3b3","fed7330b",""
"d04e3787","AccessRelationship","","","6af57d05","c91adcdd",""
"914ae476","AssignmentRelationship","","","0ffd4e94","9a7175fb",""
"07d1d99d","AssignmentRelationship","","","0ffd4e94","6447ca24",""
"3649dc64","AssignmentRelationship","","","4a046e7f","83128744",""
"6905678d","AssignmentRelationship","","","4a046e7f","f9b782ff",""
"7a5c6d22","AssignmentRelationship","","","bf6fedfa","db527e54",""
"57ee5286","AssignmentRelationship","","","bf6fedfa","a258f696",""
"8e031400","AssignmentRelationship","","","67e21c2d","4ba01268",""
"754e6798","AssignmentRelationship","","","89e509c9","746f5671",""
"06663e8d","AssignmentRelationship","","","7d145a54","7554d754",""
"f198796c","AssociationRelationship","","","8b2d53c0","d56ffc1b",""
"ada7c35f","AssociationRelationship","","","3afadcd0","51daf56d",""
"a1e37215","AssociationRelationship","","","51daf56d","95324eb4",""
"14c81263","AssociationRelationship","","","95324eb4","3afadcd0",""
"b3758760","AssociationRelationship","","","7f4a9131","15d093db",""
"588b6835","AssociationRelationship","","","f963d3b3","7f4a9131",""
"a704efd3","AssociationRelationship","","","15d093db","f963d3b3",""
"82ff16fc","AssociationRelationship","","","d156eb2b","20660f0f",""
"0116d6f9","AssociationRelationship","","","6af57d05","d156eb2b",""
"10903b5c","AssociationRelationship","","","20660f0f","6af57d05",""
"c333f369","AssociationRelationship","","","51daf56d","c583f8ad",""
"7e2b2a79","AssociationRelationship","","","6af57d05","c583f8ad",""
"fee5c54f","AssociationRelationship","","","f963d3b3","c583f8ad",""
"72af9736","AssociationRelationship","","","853c0244","3113902d",""
"e6e6d3de","AssociationRelationship","","","26e87108","3614225a",""
"477eabf3","AssociationRelationship","","","95324eb4","37c52676",""
"db6f29ab","AssociationRelationship","","","95324eb4","c0a23e8d",""
