"ID","Type","Name","Documentation","Source","Target","Specialization"
"_-_HSEN7bEDibBr6t6MAFxg","AssociationRelationship","","","_Bh4bsN7aEDibBr6t6MAFxg","_yT1HsN7aEDibBr6t6MAFxg",""
"__RyWcN7bEDibBr6t6MAFxg","AssociationRelationship","","","_Bh4bsN7aEDibBr6t6MAFxg","_m_UREN7bEDibBr6t6MAFxg",""
"__nFRAN7bEDibBr6t6MAFxg","AssociationRelationship","","","_yT1HsN7aEDibBr6t6MAFxg","_MrW1EN7bEDibBr6t6MAFxg",""
"__4slcN7bEDibBr6t6MAFxg","AssociationRelationship","","","_m_UREN7bEDibBr6t6MAFxg","_rhCIwN7bEDibBr6t6MAFxg",""
"_2O__8N7eEDibBr6t6MAFxg","AssociationRelationship","","","_kE74sN7dEDibBr6t6MAFxg","_1WRdoN7dEDibBr6t6MAFxg",""
"_2fkykN7eEDibBr6t6MAFxg","AssociationRelationship","","","_kE74sN7dEDibBr6t6MAFxg","_Oi-WoN7eEDibBr6t6MAFxg",""
"_2yoRcN7eEDibBr6t6MAFxg","AssociationRelationship","","","_1WRdoN7dEDibBr6t6MAFxg","__Gid0N7dEDibBr6t6MAFxg",""
"_3GxVcN7eEDibBr6t6MAFxg","AssociationRelationship","","","_Oi-WoN7eEDibBr6t6MAFxg","_WdgkQN7eEDibBr6t6MAFxg",""
"_R4H4EN7fEDibBr6t6MAFxg","AssociationRelationship","","","_bNl6AN7cEDibBr6t6MAFxg","_AmdjAN7fEDibBr6t6MAFxg",""
"_SKzjgN7fEDibBr6t6MAFxg","AssociationRelationship","","","_EvausN7aEDibBr6t6MAFxg","_bNl6AN7cEDibBr6t6MAFxg",""
"_A_7WcN7gEDibBr6t6MAFxg","AssociationRelationship","","","_EvausN7aEDibBr6t6MAFxg","_YjN3EN7fEDibBr6t6MAFxg",""
"_BRZg8N7gEDibBr6t6MAFxg","AssociationRelationship","","","_EvausN7aEDibBr6t6MAFxg","_2vExsN7fEDibBr6t6MAFxg",""
"_BkZVcN7gEDibBr6t6MAFxg","AssociationRelationship","","","_YjN3EN7fEDibBr6t6MAFxg","_hYo_oN7fEDibBr6t6MAFxg",""
"_B2oU8N7gEDibBr6t6MAFxg","AssociationRelationship","","","_2vExsN7fEDibBr6t6MAFxg","_5vDJ0N7fEDibBr6t6MAFxg",""
"_mF3HQN7gEDibBr6t6MAFxg","AssociationRelationship","","","_Vf8d4N7gEDibBr6t6MAFxg","_YE6VAN7gEDibBr6t6MAFxg",""
"_s1jSYN7gEDibBr6t6MAFxg","AssociationRelationship","","","_eCd4kN7gEDibBr6t6MAFxg","_pCTqQN7gEDibBr6t6MAFxg",""
"_tk_LQN7gEDibBr6t6MAFxg","AssociationRelationship","","","_ISUNsN7aEDibBr6t6MAFxg","_Vf8d4N7gEDibBr6t6MAFxg",""
"_t3TqUN7gEDibBr6t6MAFxg","AssociationRelationship","","","_ISUNsN7aEDibBr6t6MAFxg","_eCd4kN7gEDibBr6t6MAFxg",""
"_Zk6SsN7hEDibBr6t6MAFxg","AssociationRelationship","","","__wboAN7gEDibBr6t6MAFxg","_SfHUsN7hEDibBr6t6MAFxg",""
"_hbnJMN7hEDibBr6t6MAFxg","AssociationRelationship","","","_OU7MMN7hEDibBr6t6MAFxg","_bw_IsN7hEDibBr6t6MAFxg",""
"_ix1VQN7hEDibBr6t6MAFxg","AssociationRelationship","","","_ZN6zMN7aEDibBr6t6MAFxg","__wboAN7gEDibBr6t6MAFxg",""
"_jDYYQN7hEDibBr6t6MAFxg","AssociationRelationship","","","_ZN6zMN7aEDibBr6t6MAFxg","_OU7MMN7hEDibBr6t6MAFxg",""
"_kgiSwN7hEDibBr6t6MAFxg","AssociationRelationship","","","_6rr_8N7ZEDibBr6t6MAFxg","_EvausN7aEDibBr6t6MAFxg",""
"_kziHQN7hEDibBr6t6MAFxg","AssociationRelationship","","","_kE74sN7dEDibBr6t6MAFxg","_6rr_8N7ZEDibBr6t6MAFxg",""
"_lGJhQN7hEDibBr6t6MAFxg","AssociationRelationship","","","_6rr_8N7ZEDibBr6t6MAFxg","_ISUNsN7aEDibBr6t6MAFxg",""
"_l6fvUN7hEDibBr6t6MAFxg","AssociationRelationship","","","_Bh4bsN7aEDibBr6t6MAFxg","_6rr_8N7ZEDibBr6t6MAFxg",""
"_mn4ZwN7hEDibBr6t6MAFxg","AssociationRelationship","","","_6rr_8N7ZEDibBr6t6MAFxg","_ZN6zMN7aEDibBr6t6MAFxg",""
