"ID","Key","Value"
"_sajaAJh3EDiGdIUOmFGwCQ","Junction_Type","Or"
"_tNkyYZh3EDiGdIUOmFGwCQ","Junction_Type","Or"
"_SaseYZh6EDiGdIUOmFGwCQ","Directed","false"
"_jSiocZh-EDiGdIUOmFGwCQ","Directed","false"
"_kBmt45h-EDiGdIUOmFGwCQ","Directed","false"
"_3GG5kZh-EDiGdIUOmFGwCQ","Directed","false"
"_4uQjI5h-EDiGdIUOmFGwCQ","Directed","false"
"_5kMFkph-EDiGdIUOmFGwCQ","Directed","false"
"_6H2MQZh-EDiGdIUOmFGwCQ","Directed","false"
"_lszO8Zh_EDiGdIUOmFGwCQ","Access_Type","Access"
"_mj4A4Jh_EDiGdIUOmFGwCQ","Access_Type","Access"
"_1p49wZh_EDiGdIUOmFGwCQ","Directed","false"
"_NNB38ZiAEDiGdIUOmFGwCQ","Directed","false"
"_ZZcxgpiAEDiGdIUOmFGwCQ","Directed","false"
"_aeUu45iAEDiGdIUOmFGwCQ","Directed","false"
"_clP_IJiAEDiGdIUOmFGwCQ","Access_Type","Access"
"_eBqSw5iAEDiGdIUOmFGwCQ","Access_Type","Access"
"_-g4-MZiAEDiGdIUOmFGwCQ","Directed","false"
