"ID","Type","Name","Documentation","Source","Target","Specialization"
"_IzvasLFyEDiDsocMjgHDEA","AssignmentRelationship","","","_C8U7YLFyEDiDsocMjgHDEA","_B4ijILFyEDiDsocMjgHDEA",""
"_JUMcYLFyEDiDsocMjgHDEA","AssignmentRelationship","","","_31FhMLFxEDi9rMlkE1knQQ","_wGnZoLFxEDi9rMlkE1knQQ",""
"_KR-TQLFyEDiDsocMjgHDEA","AssignmentRelationship","","","_cZrU8LFxEDi9rMlkE1knQQ","_QsgjMLFxEDi9rMlkE1knQQ",""
"_K2BbgLFyEDiDsocMjgHDEA","AssignmentRelationship","","","_o5V6oLFxEDi9rMlkE1knQQ","_maOz4LFxEDi9rMlkE1knQQ",""
"_eJ4R0LFyEDiDsocMjgHDEA","AssignmentRelationship","","","_cZrU8LFxEDi9rMlkE1knQQ","_ZsVk8LFxEDi9rMlkE1knQQ",""
"_CCLx5rFzEDiDsocMjgHDEA","AssignmentRelationship","","","_CCLx4LFzEDiDsocMjgHDEA","_CCLx5LFzEDiDsocMjgHDEA",""
"_MbyqALFzEDiDsocMjgHDEA","AssignmentRelationship","","","_LLEpALFzEDiDsocMjgHDEA","_AeZD4LFzEDiDsocMjgHDEA",""
"_NrR78LFzEDiDsocMjgHDEA","AssignmentRelationship","","","_z0qjQLFyEDiDsocMjgHDEA","_0aTm8LFyEDiDsocMjgHDEA",""
"_tABxQLFzEDiDsocMjgHDEA","ServingRelationship","","","_PgowgLFyEDiDsocMjgHDEA","_QsgjMLFxEDi9rMlkE1knQQ",""
"_t4MIULFzEDiDsocMjgHDEA","ServingRelationship","","","_T5CUILFyEDiDsocMjgHDEA","_ZsVk8LFxEDi9rMlkE1knQQ",""
"_0eQdYLFzEDiDsocMjgHDEA","ServingRelationship","","","_n_S3wLFyEDiDsocMjgHDEA","_wGnZoLFxEDi9rMlkE1knQQ",""
"_2tO2YLFzEDiDsocMjgHDEA","ServingRelationship","","","_n_S3wLFyEDiDsocMjgHDEA","_yfadALFxEDi9rMlkE1knQQ",""
"_6JEEELFzEDiDsocMjgHDEA","ServingRelationship","","","_5zSd0LFyEDiDsocMjgHDEA","_1nmggLFyEDiDsocMjgHDEA",""
"_6q_scLFzEDiDsocMjgHDEA","ServingRelationship","","","_2lYXYLFyEDiDsocMjgHDEA","_1nmggLFyEDiDsocMjgHDEA",""
"_7YlLMLFzEDiDsocMjgHDEA","ServingRelationship","","","_96PsILFyEDiDsocMjgHDEA","_830l0LFyEDiDsocMjgHDEA",""
"_8YAA0LFzEDiDsocMjgHDEA","ServingRelationship","","","_96PsILFyEDiDsocMjgHDEA","_AeZD4LFzEDiDsocMjgHDEA",""
"_89WJkLFzEDiDsocMjgHDEA","ServingRelationship","","","_G_ag4LFzEDiDsocMjgHDEA","_AeZD4LFzEDiDsocMjgHDEA",""
"_9aib4LFzEDiDsocMjgHDEA","ServingRelationship","","","_G_ag4LFzEDiDsocMjgHDEA","_CCLx4rFzEDiDsocMjgHDEA",""
"_-P9A8LFzEDiDsocMjgHDEA","ServingRelationship","","","_96PsILFyEDiDsocMjgHDEA","_1nmggLFyEDiDsocMjgHDEA",""
"_-xvfYLFzEDiDsocMjgHDEA","ServingRelationship","","","_T5CUILFyEDiDsocMjgHDEA","_QsgjMLFxEDi9rMlkE1knQQ",""
"__sHc8LFzEDiDsocMjgHDEA","ServingRelationship","","","_T5CUILFyEDiDsocMjgHDEA","_wGnZoLFxEDi9rMlkE1knQQ",""
"_GRTTILFyEDiDsocMjgHDEA","TriggeringRelationship","","","_maOz4LFxEDi9rMlkE1knQQ","_QsgjMLFxEDi9rMlkE1knQQ",""
"_Gxi5cLFyEDiDsocMjgHDEA","TriggeringRelationship","","","_QsgjMLFxEDi9rMlkE1knQQ","_ZsVk8LFxEDi9rMlkE1knQQ",""
"_HVqTILFyEDiDsocMjgHDEA","TriggeringRelationship","","","_ZsVk8LFxEDi9rMlkE1knQQ","_wGnZoLFxEDi9rMlkE1knQQ",""
"_H8KScLFyEDiDsocMjgHDEA","TriggeringRelationship","","","_yfadALFxEDi9rMlkE1knQQ","_B4ijILFyEDiDsocMjgHDEA",""
"_raX3gLFyEDiDsocMjgHDEA","TriggeringRelationship","","","_PgowgLFyEDiDsocMjgHDEA","_QsgjMLFxEDi9rMlkE1knQQ",""
"_r04pQLFyEDiDsocMjgHDEA","TriggeringRelationship","","","_T5CUILFyEDiDsocMjgHDEA","_ZsVk8LFxEDi9rMlkE1knQQ",""
"_sa1O8LFyEDiDsocMjgHDEA","TriggeringRelationship","","","_n_S3wLFyEDiDsocMjgHDEA","_wGnZoLFxEDi9rMlkE1knQQ",""
"_s2MVQLFyEDiDsocMjgHDEA","TriggeringRelationship","","","_n_S3wLFyEDiDsocMjgHDEA","_yfadALFxEDi9rMlkE1knQQ",""
"_CCMY8bFzEDiDsocMjgHDEA","TriggeringRelationship","","","_CCLx4rFzEDiDsocMjgHDEA","_CCLx5LFzEDiDsocMjgHDEA",""
"_ICS6MLFzEDiDsocMjgHDEA","TriggeringRelationship","","","_G_ag4LFzEDiDsocMjgHDEA","_AeZD4LFzEDiDsocMjgHDEA",""
"_Ik0YcLFzEDiDsocMjgHDEA","TriggeringRelationship","","","_G_ag4LFzEDiDsocMjgHDEA","_CCLx4rFzEDiDsocMjgHDEA",""
"_OZBywLFzEDiDsocMjgHDEA","TriggeringRelationship","","","_5zSd0LFyEDiDsocMjgHDEA","_1nmggLFyEDiDsocMjgHDEA",""
"_O2iOILFzEDiDsocMjgHDEA","TriggeringRelationship","","","_2lYXYLFyEDiDsocMjgHDEA","_1nmggLFyEDiDsocMjgHDEA",""
"_PwQEYLFzEDiDsocMjgHDEA","TriggeringRelationship","","","_96PsILFyEDiDsocMjgHDEA","_830l0LFyEDiDsocMjgHDEA",""
