"ID","Type","Name","Documentation","Source","Target","Specialization"
"_C2NnJLX1EeqEM7mFKilpXw","AggregationRelationship","","","_C2NmfbX1EeqEM7mFKilpXw","_C2NmgbX1EeqEM7mFKilpXw",""
"_C2NnLLX1EeqEM7mFKilpXw","AggregationRelationship","","","_C2NmfbX1EeqEM7mFKilpXw","_C2Nm6LX1EeqEM7mFKilpXw",""
"_4x1Q0ZhYEDiuPpd2NhFvIg","AggregationRelationship","","","_9BmSUJhXEDiuPpd2NhFvIg","_C2NmhbX1EeqEM7mFKilpXw",""
"_57dLU5hYEDiuPpd2NhFvIg","AggregationRelationship","","","_9BmSUJhXEDiuPpd2NhFvIg","_C2Nmg7X1EeqEM7mFKilpXw",""
"_6sEI4JhYEDiuPpd2NhFvIg","AggregationRelationship","","","_9BmSUJhXEDiuPpd2NhFvIg","_C2Nm6rX1EeqEM7mFKilpXw",""
"_jxfOE5hZEDiuPpd2NhFvIg","AggregationRelationship","","","_9BmSUJhXEDiuPpd2NhFvIg","_C2Nmh7X1EeqEM7mFKilpXw",""
"_sLMD8JhZEDiuPpd2NhFvIg","AggregationRelationship","","","_9BmSUJhXEDiuPpd2NhFvIg","_C2Nm9rX1EeqEM7mFKilpXw",""
"_C2NnNrX1EeqEM7mFKilpXw","AssignmentRelationship","","","_C2Nm8rX1EeqEM7mFKilpXw","_C2NmhbX1EeqEM7mFKilpXw",""
"_C2NnOLX1EeqEM7mFKilpXw","AssignmentRelationship","","","_C2Nm9LX1EeqEM7mFKilpXw","_C2Nm9rX1EeqEM7mFKilpXw",""
"_C2NnXLX1EeqEM7mFKilpXw","AssignmentRelationship","","","_C2NnFLX1EeqEM7mFKilpXw","_C2NnArX1EeqEM7mFKilpXw",""
"_C2NnZrX1EeqEM7mFKilpXw","AssignmentRelationship","","","_C2NnHrX1EeqEM7mFKilpXw","_C2NnGLX1EeqEM7mFKilpXw",""
"_C2NnaLX1EeqEM7mFKilpXw","AssignmentRelationship","","","_C2NnILX1EeqEM7mFKilpXw","_C2NnGrX1EeqEM7mFKilpXw",""
"_C2NnarX1EeqEM7mFKilpXw","AssignmentRelationship","","","_C2NnILX1EeqEM7mFKilpXw","_C2NnHLX1EeqEM7mFKilpXw",""
"_C2NnVLX1EeqEM7mFKilpXw","AssociationRelationship","","","_C2NnDLX1EeqEM7mFKilpXw","_C2NnArX1EeqEM7mFKilpXw",""
