"ID","Type","Name","Documentation","Source","Target","Specialization"
"_-dngMOtgEDimV-ezZqNQgg","AssignmentRelationship","","","_9quqsOtgEDimV-ezZqNQgg","_wQXmEutaEDimV-ezZqNQgg",""
"_BfofsOthEDimV-ezZqNQgg","AssignmentRelationship","","","_yTXw4OtgEDimV-ezZqNQgg","_wQXmGOtaEDimV-ezZqNQgg",""
"_EWZ4gOthEDimV-ezZqNQgg","AssignmentRelationship","","","_yTXw4OtgEDimV-ezZqNQgg","_wQXmFutaEDimV-ezZqNQgg",""
"_GF3rAOthEDimV-ezZqNQgg","AssignmentRelationship","","","_yTXw4OtgEDimV-ezZqNQgg","_2ZlYUOtgEDimV-ezZqNQgg",""
"_VpgU0OtdEDimV-ezZqNQgg","AssignmentRelationship","","","_Uwb-0OtdEDimV-ezZqNQgg","_wQXmFOtaEDimV-ezZqNQgg",""
"_ZDTiMOtdEDimV-ezZqNQgg","AssignmentRelationship","","","_Wh-08OtdEDimV-ezZqNQgg","_wQbQcetaEDimV-ezZqNQgg",""
"_-VmUAOtdEDimV-ezZqNQgg","AssignmentRelationship","","","_703coOtdEDimV-ezZqNQgg","_wQbQc-taEDimV-ezZqNQgg",""
"__IbfIOtdEDimV-ezZqNQgg","AssignmentRelationship","","","_703coOtdEDimV-ezZqNQgg","_wQb3getaEDimV-ezZqNQgg",""
"_haFx0On7EDiStI-hnMBrqQ","AssignmentRelationship","","","_iNw2AOnxEDiStI-hnMBrqQ","_SuhVQOn7EDiStI-hnMBrqQ",""
"_2yVo0OtbEDimV-ezZqNQgg","AssignmentRelationship","","","_1M1DkOtbEDimV-ezZqNQgg","_TBBhkOtbEDimV-ezZqNQgg",""
"_3sricOthEDimV-ezZqNQgg","AssignmentRelationship","","","_uqUxIOthEDimV-ezZqNQgg","_wQUiwutaEDimV-ezZqNQgg",""
"_4bUKEOthEDimV-ezZqNQgg","AssignmentRelationship","","","_vUDDkOthEDimV-ezZqNQgg","_wQUiwutaEDimV-ezZqNQgg",""
"_5mEtAOthEDimV-ezZqNQgg","AssignmentRelationship","","","_v4vsEOthEDimV-ezZqNQgg","_wQUiwutaEDimV-ezZqNQgg",""
"_-3VLQOthEDimV-ezZqNQgg","AssignmentRelationship","","","_-AY8MOthEDimV-ezZqNQgg","_wQUiwutaEDimV-ezZqNQgg",""
"_ceYvsOtiEDimV-ezZqNQgg","AssignmentRelationship","","","_ZNGlIOtiEDimV-ezZqNQgg","_wQT7tOtaEDimV-ezZqNQgg",""
"_as8mYOnlEDiStI-hnMBrqQ","AssociationRelationship","","","_QXU2YOnlEDiStI-hnMBrqQ","_yS_5YOnfEDiStI-hnMBrqQ",""
"_l-X3UOnlEDiStI-hnMBrqQ","AssociationRelationship","","","_qp7ZwOngEDiStI-hnMBrqQ","_lNU04OnlEDiStI-hnMBrqQ",""
"_Qwq98On6EDiStI-hnMBrqQ","AssociationRelationship","","","_EQn8kOngEDiStI-hnMBrqQ","_PUwZkOn6EDiStI-hnMBrqQ",""
"_ZmehAOn6EDiStI-hnMBrqQ","AssociationRelationship","","","_kujc8OnfEDiStI-hnMBrqQ","_xSDZwOnfEDiStI-hnMBrqQ",""
"_bRTEEOn6EDiStI-hnMBrqQ","AssociationRelationship","","","_bkBAAOnfEDiStI-hnMBrqQ","_p-_b0OnfEDiStI-hnMBrqQ",""
"_w5VcIOn9EDiStI-hnMBrqQ","AssociationRelationship","","","_9d6zgOn8EDiStI-hnMBrqQ","_eY4PIOnxEDiStI-hnMBrqQ",""
"_zPKEAOn9EDiStI-hnMBrqQ","AssociationRelationship","","","_XkbCUOn9EDiStI-hnMBrqQ","_FxZsoOn9EDiStI-hnMBrqQ",""
"_8bAIgOn9EDiStI-hnMBrqQ","AssociationRelationship","","","_36S9cOn9EDiStI-hnMBrqQ","_9d6zgOn8EDiStI-hnMBrqQ",""
"_AdkmEOn-EDiStI-hnMBrqQ","AssociationRelationship","","","__mNgQOn9EDiStI-hnMBrqQ","_FxZsoOn9EDiStI-hnMBrqQ",""
"_zWcs4On_EDiStI-hnMBrqQ","AssociationRelationship","","","_eY4PIOnxEDiStI-hnMBrqQ","_FxZsoOn9EDiStI-hnMBrqQ",""
"_wQZbQOtaEDimV-ezZqNQgg","AssociationRelationship","","","_wQQRVutaEDimV-ezZqNQgg","_wQTUoOtaEDimV-ezZqNQgg",""
"_wQapYutaEDimV-ezZqNQgg","AssociationRelationship","","","_wQSGgetaEDimV-ezZqNQgg","_wQTUoOtaEDimV-ezZqNQgg",""
"_wQapZOtaEDimV-ezZqNQgg","AssociationRelationship","","","_wQSGg-taEDimV-ezZqNQgg","_wQSGh-taEDimV-ezZqNQgg",""
"_IoJCMOtbEDimV-ezZqNQgg","AssociationRelationship","","","_wQQRVOtaEDimV-ezZqNQgg","_wQSGhetaEDimV-ezZqNQgg",""
"_BhFCkOnfEDiStI-hnMBrqQ","FlowRelationship","","","_IQPesOneEDiStI-hnMBrqQ","_3DnlMOneEDiStI-hnMBrqQ",""
"_8s0FgOniEDiStI-hnMBrqQ","FlowRelationship","","","_wKGL0OniEDiStI-hnMBrqQ","_5A3YMOniEDiStI-hnMBrqQ",""
"_AevfAOnjEDiStI-hnMBrqQ","FlowRelationship","","","_5A3YMOniEDiStI-hnMBrqQ","_-0HJMOniEDiStI-hnMBrqQ",""
"_KiifMOnjEDiStI-hnMBrqQ","FlowRelationship","","","_-0HJMOniEDiStI-hnMBrqQ","_JuZsgOnjEDiStI-hnMBrqQ",""
"_CgCL4OnkEDiStI-hnMBrqQ","FlowRelationship","","","_U08qgOngEDiStI-hnMBrqQ","_AQPTgOnkEDiStI-hnMBrqQ",""
"_DF1noOnkEDiStI-hnMBrqQ","FlowRelationship","","","_AQPTgOnkEDiStI-hnMBrqQ","_wKGL0OniEDiStI-hnMBrqQ",""
"_6Gh8kOneEDiStI-hnMBrqQ","RealizationRelationship","","","_5A8NgOneEDiStI-hnMBrqQ","_IQPesOneEDiStI-hnMBrqQ",""
"_IRhM4OnlEDiStI-hnMBrqQ","RealizationRelationship","","","_JuZsgOnjEDiStI-hnMBrqQ","_IQPesOneEDiStI-hnMBrqQ",""
"_jw1MQOnmEDiStI-hnMBrqQ","RealizationRelationship","","","_y2DUYOnlEDiStI-hnMBrqQ","_IQPesOneEDiStI-hnMBrqQ",""
"_OcAHQOnnEDiStI-hnMBrqQ","RealizationRelationship","","","_Tkmu4OneEDiStI-hnMBrqQ","_IQPesOneEDiStI-hnMBrqQ",""
"_ja2L0On_EDiStI-hnMBrqQ","RealizationRelationship","","","_kujc8OnfEDiStI-hnMBrqQ","_Rqz4sOn_EDiStI-hnMBrqQ",""
"_miWvUOn_EDiStI-hnMBrqQ","RealizationRelationship","","","_R1-bIOnkEDiStI-hnMBrqQ","_lc_pwOn_EDiStI-hnMBrqQ",""
"_uhuZoOn_EDiStI-hnMBrqQ","RealizationRelationship","","","_7X7ZYOnmEDiStI-hnMBrqQ","_paNGMOn_EDiStI-hnMBrqQ",""
"_wQb3hetaEDimV-ezZqNQgg","RealizationRelationship","","","_wQbQcetaEDimV-ezZqNQgg","_wQb3g-taEDimV-ezZqNQgg",""
"_wQcekutaEDimV-ezZqNQgg","RealizationRelationship","","","_wQbQc-taEDimV-ezZqNQgg","_wQcekOtaEDimV-ezZqNQgg",""
"_wQcelutaEDimV-ezZqNQgg","RealizationRelationship","","","_wQb3getaEDimV-ezZqNQgg","_wQcelOtaEDimV-ezZqNQgg",""
"_GdD0YOnfEDiStI-hnMBrqQ","ServingRelationship","","","_HY7cMOneEDiStI-hnMBrqQ","_3DnlMOneEDiStI-hnMBrqQ",""
"_JHEjkOnfEDiStI-hnMBrqQ","ServingRelationship","","","_H8UdIOneEDiStI-hnMBrqQ","_5A8NgOneEDiStI-hnMBrqQ",""
"_WAa_IOngEDiStI-hnMBrqQ","ServingRelationship","","","_HY7cMOneEDiStI-hnMBrqQ","_U08qgOngEDiStI-hnMBrqQ",""
"_0CngEOnjEDiStI-hnMBrqQ","ServingRelationship","","","_kujc8OnfEDiStI-hnMBrqQ","_wKGL0OniEDiStI-hnMBrqQ",""
"_0_q-MOnjEDiStI-hnMBrqQ","ServingRelationship","","","_kujc8OnfEDiStI-hnMBrqQ","_5A3YMOniEDiStI-hnMBrqQ",""
"_LIa-AOnkEDiStI-hnMBrqQ","ServingRelationship","","","_bkBAAOnfEDiStI-hnMBrqQ","_AQPTgOnkEDiStI-hnMBrqQ",""
"_d324oOnkEDiStI-hnMBrqQ","ServingRelationship","","","_qp7ZwOngEDiStI-hnMBrqQ","_5A3YMOniEDiStI-hnMBrqQ",""
"_hXyjMOnkEDiStI-hnMBrqQ","ServingRelationship","","","_qp7ZwOngEDiStI-hnMBrqQ","_-0HJMOniEDiStI-hnMBrqQ",""
"_3LbOoOnkEDiStI-hnMBrqQ","ServingRelationship","","","_R1-bIOnkEDiStI-hnMBrqQ","_JuZsgOnjEDiStI-hnMBrqQ",""
"_Z8yUwOnlEDiStI-hnMBrqQ","ServingRelationship","","","_TVFdcOnkEDiStI-hnMBrqQ","_QXU2YOnlEDiStI-hnMBrqQ",""
"_GmCGAOnmEDiStI-hnMBrqQ","ServingRelationship","","","_R1-bIOnkEDiStI-hnMBrqQ","_y2DUYOnlEDiStI-hnMBrqQ",""
"_HNBNgOnmEDiStI-hnMBrqQ","ServingRelationship","","","_qp7ZwOngEDiStI-hnMBrqQ","_y2DUYOnlEDiStI-hnMBrqQ",""
"_z87ncOnmEDiStI-hnMBrqQ","ServingRelationship","","","_r6WREOnmEDiStI-hnMBrqQ","_y2DUYOnlEDiStI-hnMBrqQ",""
"_-sgvkOnmEDiStI-hnMBrqQ","ServingRelationship","","","_7X7ZYOnmEDiStI-hnMBrqQ","_-0HJMOniEDiStI-hnMBrqQ",""
"__YwKgOnmEDiStI-hnMBrqQ","ServingRelationship","","","_7X7ZYOnmEDiStI-hnMBrqQ","_y2DUYOnlEDiStI-hnMBrqQ",""
"_uxrCgOnxEDiStI-hnMBrqQ","ServingRelationship","","","_iNw2AOnxEDiStI-hnMBrqQ","_eY4PIOnxEDiStI-hnMBrqQ",""
"_vqRecOnxEDiStI-hnMBrqQ","ServingRelationship","","","_lTURsOnxEDiStI-hnMBrqQ","_eY4PIOnxEDiStI-hnMBrqQ",""
"_wVJAYOnxEDiStI-hnMBrqQ","ServingRelationship","","","_iNw2AOnxEDiStI-hnMBrqQ","_17rnkOnwEDiStI-hnMBrqQ",""
"_xJcLIOnxEDiStI-hnMBrqQ","ServingRelationship","","","_WiQRIOnxEDiStI-hnMBrqQ","_17rnkOnwEDiStI-hnMBrqQ",""
"_r8AjUOn5EDiStI-hnMBrqQ","ServingRelationship","","","_iNw2AOnxEDiStI-hnMBrqQ","_qMwzQOn5EDiStI-hnMBrqQ",""
"_SSk1kOn6EDiStI-hnMBrqQ","ServingRelationship","","","_PUwZkOn6EDiStI-hnMBrqQ","_wKGL0OniEDiStI-hnMBrqQ",""
"_Vsk3QOn6EDiStI-hnMBrqQ","ServingRelationship","","","_PUwZkOn6EDiStI-hnMBrqQ","_JuZsgOnjEDiStI-hnMBrqQ",""
"_WkIKUOn6EDiStI-hnMBrqQ","ServingRelationship","","","_PUwZkOn6EDiStI-hnMBrqQ","_y2DUYOnlEDiStI-hnMBrqQ",""
