"ID","Type","Name","Documentation","Source","Target","Specialization"
"_m9wxU3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_fbWv0XMAEDi9wuxEsMUyAw","_SpQ9YXMAEDi9wuxEsMUyAw",""
"_nWYFo3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_gbn6AHMAEDi9wuxEsMUyAw","_SpQ9YXMAEDi9wuxEsMUyAw",""
"_nybIc3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_h3XfQHMAEDi9wuxEsMUyAw","_SpQ9YXMAEDi9wuxEsMUyAw",""
"_sgZ6g3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_p6BuIXMAEDi9wuxEsMUyAw","_oiWJgXMAEDi9wuxEsMUyAw",""
"_s-Y3A3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_q6UtgHMAEDi9wuxEsMUyAw","_oiWJgXMAEDi9wuxEsMUyAw",""
"_6tsfo3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_xAmvQXMAEDi9wuxEsMUyAw","_ucz80XMAEDi9wuxEsMUyAw",""
"_7FQEA3MAEDi9wuxEsMUyAw","AggregationRelationship","","","_11Ys4HMAEDi9wuxEsMUyAw","_ucz80XMAEDi9wuxEsMUyAw",""
"_7aX_cHMAEDi9wuxEsMUyAw","AggregationRelationship","","","_34l6wHMAEDi9wuxEsMUyAw","_ucz80XMAEDi9wuxEsMUyAw",""
"_G3N2M3MBEDi9wuxEsMUyAw","AggregationRelationship","","","__p-MYHMAEDi9wuxEsMUyAw","_8qp7kXMAEDi9wuxEsMUyAw",""
"_HRuA43MBEDi9wuxEsMUyAw","AggregationRelationship","","","_FWY8oHMBEDi9wuxEsMUyAw","_8qp7kXMAEDi9wuxEsMUyAw",""
"_Jt8LsXMBEDi9wuxEsMUyAw","AggregationRelationship","","","_HqiwkHMBEDi9wuxEsMUyAw","_FWY8oHMBEDi9wuxEsMUyAw",""
"_YfqTk3MBEDi9wuxEsMUyAw","AggregationRelationship","","","_KBO7IHMBEDi9wuxEsMUyAw","_HqiwkHMBEDi9wuxEsMUyAw",""
"_Y4BwQ3MBEDi9wuxEsMUyAw","AggregationRelationship","","","_NKuboHMBEDi9wuxEsMUyAw","_HqiwkHMBEDi9wuxEsMUyAw",""
"_ZPq0M3MBEDi9wuxEsMUyAw","AggregationRelationship","","","_TA5k0HMBEDi9wuxEsMUyAw","_HqiwkHMBEDi9wuxEsMUyAw",""
"_LFtac3MCEDi-2bZGJ_YFBA","AggregationRelationship","","","_mayxsHMBEDi9wuxEsMUyAw","_iNzM0HMBEDi9wuxEsMUyAw",""
"_Lhy5g3MCEDi-2bZGJ_YFBA","AggregationRelationship","","","_pOKRMHMBEDi9wuxEsMUyAw","_iNzM0HMBEDi9wuxEsMUyAw",""
"_L1xlc3MCEDi-2bZGJ_YFBA","AggregationRelationship","","","_r4ABQHMBEDi9wuxEsMUyAw","_iNzM0HMBEDi9wuxEsMUyAw",""
"_MNuLY3MCEDi-2bZGJ_YFBA","AggregationRelationship","","","_vqfbcHMBEDi9wuxEsMUyAw","_iNzM0HMBEDi9wuxEsMUyAw",""
"_MjOhU3MCEDi-2bZGJ_YFBA","AggregationRelationship","","","_EptAUHMCEDi-2bZGJ_YFBA","_iNzM0HMBEDi9wuxEsMUyAw",""
"_2bZnMXMEEDi-2bZGJ_YFBA","AggregationRelationship","","","_GqArMHMCEDi-2bZGJ_YFBA","_iNzM0HMBEDi9wuxEsMUyAw",""
"_t_Bl4XMGEDi-2bZGJ_YFBA","AggregationRelationship","","","_qYVzEHMGEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_4hmz03MGEDi-2bZGJ_YFBA","AggregationRelationship","","","_wmewUHMGEDi-2bZGJ_YFBA","_qYVzEHMGEDi-2bZGJ_YFBA",""
"_9I3S0nMGEDi-2bZGJ_YFBA","AggregationRelationship","","","_78hbgHMGEDi-2bZGJ_YFBA","_qYVzEHMGEDi-2bZGJ_YFBA",""
"_DFELgXMHEDi-2bZGJ_YFBA","AggregationRelationship","","","_B_5TMHMHEDi-2bZGJ_YFBA","_qYVzEHMGEDi-2bZGJ_YFBA",""
"_JHncoXMvEDi-2bZGJ_YFBA","AggregationRelationship","","","_8A4P4HMuEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_MeOMEnMvEDi-2bZGJ_YFBA","AggregationRelationship","","","_LK14oHMvEDi-2bZGJ_YFBA","_Gb5dQHMvEDi-2bZGJ_YFBA",""
"_cbVJAnMvEDi-2bZGJ_YFBA","AggregationRelationship","","","_WwiwcHMvEDi-2bZGJ_YFBA","_T9Kp4HMvEDi-2bZGJ_YFBA",""
"_c2LR83MvEDi-2bZGJ_YFBA","AggregationRelationship","","","_Y5G_cHMvEDi-2bZGJ_YFBA","_T9Kp4HMvEDi-2bZGJ_YFBA",""
"_dacco3MvEDi-2bZGJ_YFBA","AggregationRelationship","","","_ai-gQHMvEDi-2bZGJ_YFBA","_T9Kp4HMvEDi-2bZGJ_YFBA",""
"_IkkkgHMwEDi-2bZGJ_YFBA","AggregationRelationship","","","_pcTsAHMvEDi-2bZGJ_YFBA","_msAuoHMvEDi-2bZGJ_YFBA",""
"_I5coU3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_sVyakHMvEDi-2bZGJ_YFBA","_msAuoHMvEDi-2bZGJ_YFBA",""
"_JdnsY3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_vHwy8HMvEDi-2bZGJ_YFBA","_msAuoHMvEDi-2bZGJ_YFBA",""
"_J5r9UHMwEDi-2bZGJ_YFBA","AggregationRelationship","","","_wZUhcHMvEDi-2bZGJ_YFBA","_msAuoHMvEDi-2bZGJ_YFBA",""
"_KhTW83MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_0lJBoHMvEDi-2bZGJ_YFBA","_msAuoHMvEDi-2bZGJ_YFBA",""
"_K0h083MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_3GJl0HMvEDi-2bZGJ_YFBA","_msAuoHMvEDi-2bZGJ_YFBA",""
"_LSIW8nMwEDi-2bZGJ_YFBA","AggregationRelationship","","","_9OLUAHMvEDi-2bZGJ_YFBA","_7AtW4HMvEDi-2bZGJ_YFBA",""
"_Llpv43MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_BKEh0HMwEDi-2bZGJ_YFBA","_7AtW4HMvEDi-2bZGJ_YFBA",""
"_L5R2g3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_DMvkMHMwEDi-2bZGJ_YFBA","_7AtW4HMvEDi-2bZGJ_YFBA",""
"_MO2d43MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_FmseIHMwEDi-2bZGJ_YFBA","_7AtW4HMvEDi-2bZGJ_YFBA",""
"_enC9MXMwEDi-2bZGJ_YFBA","AggregationRelationship","","","_U4In4HMwEDi-2bZGJ_YFBA","_S83OAHMwEDi-2bZGJ_YFBA",""
"_fGJ7E3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_W3w9UHMwEDi-2bZGJ_YFBA","_S83OAHMwEDi-2bZGJ_YFBA",""
"_fbDNA3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_ZJg9gHMwEDi-2bZGJ_YFBA","_S83OAHMwEDi-2bZGJ_YFBA",""
"_pkJj83MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_Gb5dQHMvEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_qAY0A3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_OwPSAHMvEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_qabrsXMwEDi-2bZGJ_YFBA","AggregationRelationship","","","_T9Kp4HMvEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_rGNzo3MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_msAuoHMvEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_sDc383MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_7AtW4HMvEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_s7lZ03MwEDi-2bZGJ_YFBA","AggregationRelationship","","","_S83OAHMwEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_w2NcUXMwEDi-2bZGJ_YFBA","AggregationRelationship","","","_vfKJ0HMwEDi-2bZGJ_YFBA","_S83OAHMwEDi-2bZGJ_YFBA",""
"_nA6OUnM0EDi-2bZGJ_YFBA","AggregationRelationship","","","_1YjmIHMwEDi-2bZGJ_YFBA","_ysXssHMwEDi-2bZGJ_YFBA",""
"_nXrIg3M0EDi-2bZGJ_YFBA","AggregationRelationship","","","_4ipjkHMwEDi-2bZGJ_YFBA","_ysXssHMwEDi-2bZGJ_YFBA",""
"_nyNIY3M0EDi-2bZGJ_YFBA","AggregationRelationship","","","_6zRiYHMwEDi-2bZGJ_YFBA","_ysXssHMwEDi-2bZGJ_YFBA",""
"_qrseAnM0EDi-2bZGJ_YFBA","AggregationRelationship","","","_oJSLoHM0EDi-2bZGJ_YFBA","_ysXssHMwEDi-2bZGJ_YFBA",""
"_t4kpsnM0EDi-2bZGJ_YFBA","AggregationRelationship","","","_rEmGMHM0EDi-2bZGJ_YFBA","_ysXssHMwEDi-2bZGJ_YFBA",""
"_vaLmY3M0EDi-2bZGJ_YFBA","AggregationRelationship","","","_ysXssHMwEDi-2bZGJ_YFBA","_ELasYHMDEDi-2bZGJ_YFBA",""
"_V9vy0HM1EDi-2bZGJ_YFBA","AggregationRelationship","","","_22Bs4HM0EDi-2bZGJ_YFBA","_wxGWAHM0EDi-2bZGJ_YFBA",""
"_WW89A3M1EDi-2bZGJ_YFBA","AggregationRelationship","","","_5_ibgHM0EDi-2bZGJ_YFBA","_wxGWAHM0EDi-2bZGJ_YFBA",""
"_WwcbE3M1EDi-2bZGJ_YFBA","AggregationRelationship","","","_Ah9msHM1EDi-2bZGJ_YFBA","_wxGWAHM0EDi-2bZGJ_YFBA",""
