"ID","Type","Name","Documentation","Source","Target","Specialization"
"_Mi5UgBtTEDmpCuKuMOPkqw","AssociationRelationship","","","_K4K4EBtTEDmpCuKuMOPkqw","_IRbfUBtTEDmpCuKuMOPkqw",""
"_PPtgEBtTEDmpCuKuMOPkqw","AssociationRelationship","","","_IRbfUBtTEDmpCuKuMOPkqw","_NG2WIBtTEDmpCuKuMOPkqw",""
"_aoSh4BtTEDmpCuKuMOPkqw","AssociationRelationship","","","_Zh_BIBtTEDmpCuKuMOPkqw","_P5AUsBtTEDmpCuKuMOPkqw",""
"_dpNVMBtTEDmpCuKuMOPkqw","AssociationRelationship","","","_P5AUsBtTEDmpCuKuMOPkqw","_a8-YcBtTEDmpCuKuMOPkqw",""
"_eQrvcBtUEDmpCuKuMOPkqw","AssociationRelationship","","","_juvJABtTEDmpCuKuMOPkqw","_DisC0BtUEDmpCuKuMOPkqw",""
"_ewB94BtUEDmpCuKuMOPkqw","AssociationRelationship","","","_juvJABtTEDmpCuKuMOPkqw","_FsnjwBtUEDmpCuKuMOPkqw",""
"_fBazYBtVEDmpCuKuMOPkqw","AssociationRelationship","","","_Zh_BIBtTEDmpCuKuMOPkqw","_JYwB0BtVEDmpCuKuMOPkqw",""
"_f_HKsBtVEDmpCuKuMOPkqw","AssociationRelationship","","","_JYwB0BtVEDmpCuKuMOPkqw","_Wpk-sBtVEDmpCuKuMOPkqw",""
"_4WygMBtVEDmpCuKuMOPkqw","AssociationRelationship","","","_DisC0BtUEDmpCuKuMOPkqw","_LfFcMBtVEDmpCuKuMOPkqw",""
"_6V208BtVEDmpCuKuMOPkqw","AssociationRelationship","","","_08wCQBtVEDmpCuKuMOPkqw","_LfFcMBtVEDmpCuKuMOPkqw",""
"_-uO_4BtUEDmpCuKuMOPkqw","FlowRelationship","","","_NG2WIBtTEDmpCuKuMOPkqw","_P5AUsBtTEDmpCuKuMOPkqw",""
"_A38eYBtVEDmpCuKuMOPkqw","FlowRelationship","","","_NG2WIBtTEDmpCuKuMOPkqw","_juvJABtTEDmpCuKuMOPkqw",""
"_CVjr4BtVEDmpCuKuMOPkqw","FlowRelationship","","","_a8-YcBtTEDmpCuKuMOPkqw","_juvJABtTEDmpCuKuMOPkqw",""
"_Pxsg4BtVEDmpCuKuMOPkqw","FlowRelationship","","","_a8-YcBtTEDmpCuKuMOPkqw","_JYwB0BtVEDmpCuKuMOPkqw",""
"_Rk1ScBtVEDmpCuKuMOPkqw","FlowRelationship","","","_NG2WIBtTEDmpCuKuMOPkqw","_LfFcMBtVEDmpCuKuMOPkqw",""
"_grIjMBtVEDmpCuKuMOPkqw","FlowRelationship","","","_Wpk-sBtVEDmpCuKuMOPkqw","_LfFcMBtVEDmpCuKuMOPkqw",""
"_7nqbEBtVEDmpCuKuMOPkqw","FlowRelationship","","","_FsnjwBtUEDmpCuKuMOPkqw","_LfFcMBtVEDmpCuKuMOPkqw",""
