"ID","Type","Name","Documentation","Source","Target","Specialization"
"_Pw1r4GbGEDqUVd8Go8ELFg","AccessRelationship","","","_FBDk4GbFEDqUVd8Go8ELFg","_CSURQGbGEDqUVd8Go8ELFg",""
"_RlKJMGbGEDqUVd8Go8ELFg","AssociationRelationship","","","_CSURQGbGEDqUVd8Go8ELFg","__xy1QGbFEDqUVd8Go8ELFg",""
"_mzLwsGbHEDqUVd8Go8ELFg","AssociationRelationship","","","_SDHF8GbFEDqUVd8Go8ELFg","_ezL0QGbHEDqUVd8Go8ELFg",""
"_DKEtwGbIEDqUVd8Go8ELFg","AssociationRelationship","","","_va-s8GbHEDqUVd8Go8ELFg","_8c9VgGbHEDqUVd8Go8ELFg",""
"_H8olMGbFEDqUVd8Go8ELFg","FlowRelationship","","","_-r-5MGbEEDqUVd8Go8ELFg","_FBDk4GbFEDqUVd8Go8ELFg",""
"_eqXE4GbGEDqUVd8Go8ELFg","FlowRelationship","","","__xy1QGbFEDqUVd8Go8ELFg","_ZMu-kGbGEDqUVd8Go8ELFg",""
"_kyCNwGbGEDqUVd8Go8ELFg","FlowRelationship","","","_ZMu-kGbGEDqUVd8Go8ELFg","_f6M8IGbGEDqUVd8Go8ELFg",""
"_YdYv0GbHEDqUVd8Go8ELFg","FlowRelationship","","","_ndw0MGbGEDqUVd8Go8ELFg","_bNtNQGbFEDqUVd8Go8ELFg",""
"_Y0dMAGbHEDqUVd8Go8ELFg","FlowRelationship","","","_ndw0MGbGEDqUVd8Go8ELFg","_dn9pMGbFEDqUVd8Go8ELFg",""
"_ZlbV8GbHEDqUVd8Go8ELFg","FlowRelationship","","","_ndw0MGbGEDqUVd8Go8ELFg","_SDHF8GbFEDqUVd8Go8ELFg",""
"_3eOxsGbHEDqUVd8Go8ELFg","FlowRelationship","","","_ndw0MGbGEDqUVd8Go8ELFg","_va-s8GbHEDqUVd8Go8ELFg",""
"_CnHnIGbHEDqUVd8Go8ELFg","FlowRelationship","they may maximize the technology of NEKoin by using our IGO tools","","_PFgsYGbFEDqUVd8Go8ELFg","_ndw0MGbGEDqUVd8Go8ELFg",""
"_CJi6UGbHEDqUVd8Go8ELFg","FlowRelationship","they may participate in IGO as creator","","_PFgsYGbFEDqUVd8Go8ELFg","_-r-5MGbEEDqUVd8Go8ELFg",""
"_t-adwGbGEDqUVd8Go8ELFg","ServingRelationship","Creator may now choose tools to use for their project.","","_f6M8IGbGEDqUVd8Go8ELFg","_ndw0MGbGEDqUVd8Go8ELFg",""
"_BHCUcGbHEDqUVd8Go8ELFg","ServingRelationship","QUT holder may swap their tokens to NEKoin thru vesting tool","","_85PeUGbGEDqUVd8Go8ELFg","_PFgsYGbFEDqUVd8Go8ELFg",""
"_SYgm0GbIEDqUVd8Go8ELFg","TriggeringRelationship","","","_bNtNQGbFEDqUVd8Go8ELFg","_H_tnAGbIEDqUVd8Go8ELFg",""
"_WmmX4GbIEDqUVd8Go8ELFg","TriggeringRelationship","","","_dn9pMGbFEDqUVd8Go8ELFg","_H_tnAGbIEDqUVd8Go8ELFg",""
