"ID","Type","Name","Documentation","Source","Target","Specialization"
"_K82EGTDcEey1FOYlnOh8Hw","AssociationRelationship","","","_K82DwzDcEey1FOYlnOh8Hw","_K82DuzDcEey1FOYlnOh8Hw",""
"_K82EHzDcEey1FOYlnOh8Hw","AssociationRelationship","","","_K82DyTDcEey1FOYlnOh8Hw","_K82DyzDcEey1FOYlnOh8Hw",""
"_K82EITDcEey1FOYlnOh8Hw","AssociationRelationship","","","_K82DyTDcEey1FOYlnOh8Hw","_K82DzTDcEey1FOYlnOh8Hw",""
"_K82EJTDcEey1FOYlnOh8Hw","AssociationRelationship","","","_K82D2TDcEey1FOYlnOh8Hw","_K82D2zDcEey1FOYlnOh8Hw",""
"_K82EFzDcEey1FOYlnOh8Hw","ServingRelationship","","","_K82DwTDcEey1FOYlnOh8Hw","_K82DwzDcEey1FOYlnOh8Hw",""
"_K82EEzDcEey1FOYlnOh8Hw","SpecializationRelationship","","","_K82DuzDcEey1FOYlnOh8Hw","_K82DvTDcEey1FOYlnOh8Hw",""
"_K82EFTDcEey1FOYlnOh8Hw","SpecializationRelationship","","","_K82DuzDcEey1FOYlnOh8Hw","_K82DvzDcEey1FOYlnOh8Hw",""
"_K82EHTDcEey1FOYlnOh8Hw","SpecializationRelationship","","","_K82DzTDcEey1FOYlnOh8Hw","_K82D0zDcEey1FOYlnOh8Hw",""
"_K82EIzDcEey1FOYlnOh8Hw","SpecializationRelationship","","","_K82D0zDcEey1FOYlnOh8Hw","_K82D1TDcEey1FOYlnOh8Hw",""
"_K82EJzDcEey1FOYlnOh8Hw","SpecializationRelationship","","","_K82D2zDcEey1FOYlnOh8Hw","_K82D3TDcEey1FOYlnOh8Hw",""
"_K82ENzDcEey1FOYlnOh8Hw","SpecializationRelationship","","","_K82DuzDcEey1FOYlnOh8Hw","_K82EETDcEey1FOYlnOh8Hw",""
"_K82D6zDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D6TDcEey1FOYlnOh8Hw","_K82D3zDcEey1FOYlnOh8Hw",""
"_K82EATDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D7zDcEey1FOYlnOh8Hw","_K82D9zDcEey1FOYlnOh8Hw",""
"_K82EAzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D9zDcEey1FOYlnOh8Hw","_K82D-TDcEey1FOYlnOh8Hw",""
"_K82EBTDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D-TDcEey1FOYlnOh8Hw","_K82D-zDcEey1FOYlnOh8Hw",""
"_K82EBzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D-zDcEey1FOYlnOh8Hw","_K82D_zDcEey1FOYlnOh8Hw",""
"_K82ECTDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D_zDcEey1FOYlnOh8Hw","_K82D4zDcEey1FOYlnOh8Hw",""
"_K82ECzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D_zDcEey1FOYlnOh8Hw","_K82EDTDcEey1FOYlnOh8Hw",""
"_K82EGzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82DxTDcEey1FOYlnOh8Hw","_K82DyTDcEey1FOYlnOh8Hw",""
"_K82EKTDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D5zDcEey1FOYlnOh8Hw","_K82D3zDcEey1FOYlnOh8Hw",""
"_K82EKzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D3zDcEey1FOYlnOh8Hw","_K82D7zDcEey1FOYlnOh8Hw",""
"_K82ELTDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82EDTDcEey1FOYlnOh8Hw","_K82EDzDcEey1FOYlnOh8Hw",""
"_K82ELzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D5TDcEey1FOYlnOh8Hw","_K82EDzDcEey1FOYlnOh8Hw",""
"_K82EMTDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82EDzDcEey1FOYlnOh8Hw","_K82D5TDcEey1FOYlnOh8Hw",""
"_K82EMzDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D1zDcEey1FOYlnOh8Hw","_K82D2TDcEey1FOYlnOh8Hw",""
"_K82ENTDcEey1FOYlnOh8Hw","TriggeringRelationship","","","_K82D5TDcEey1FOYlnOh8Hw","_K82D3zDcEey1FOYlnOh8Hw",""
