"ID","Type","Name","Documentation","Source","Target","Specialization"
"_mFgroU_KEDik4LaAzyt15g","AssociationRelationship","","","_XkXy4E_JEDik4LaAzyt15g","_eNmJoE_JEDik4LaAzyt15g",""
"_osCB80_KEDik4LaAzyt15g","AssociationRelationship","","","_XkXy4E_JEDik4LaAzyt15g","_uWI6gE_JEDik4LaAzyt15g",""
"_qcQpc0_KEDik4LaAzyt15g","AssociationRelationship","","","_XkXy4E_JEDik4LaAzyt15g","_F-JGkU_KEDik4LaAzyt15g",""
"_wSeO40_KEDik4LaAzyt15g","AssociationRelationship","","","_XkXy4E_JEDik4LaAzyt15g","_Qs2E8U_KEDik4LaAzyt15g",""
"_3gU8s0_KEDik4LaAzyt15g","AssociationRelationship","","","_XkXy4E_JEDik4LaAzyt15g","_VfmCQU_KEDik4LaAzyt15g",""
"_7zgpIU_KEDik4LaAzyt15g","AssociationRelationship","","","_F-JGkU_KEDik4LaAzyt15g","_gAgcQE_KEDik4LaAzyt15g",""
"_8yOUIk_KEDik4LaAzyt15g","AssociationRelationship","","","_eNmJoE_JEDik4LaAzyt15g","_gAgcQE_KEDik4LaAzyt15g",""
"_Cy9Hg0_LEDik4LaAzyt15g","AssociationRelationship","","","_uWI6gE_JEDik4LaAzyt15g","_gAgcQE_KEDik4LaAzyt15g",""
"_FSQbgU_LEDik4LaAzyt15g","AssociationRelationship","","","_Qs2E8U_KEDik4LaAzyt15g","_gAgcQE_KEDik4LaAzyt15g",""
"_G8mdc0_LEDik4LaAzyt15g","AssociationRelationship","","","_VfmCQU_KEDik4LaAzyt15g","_gAgcQE_KEDik4LaAzyt15g",""
