"ID","Type","Name","Documentation","Source","Target","Specialization"
"_BBRFUGgUEDqXTcHVZdv_yg","InfluenceRelationship","","","_Zl2q4GgTEDqXTcHVZdv_yg","_9kGa4GgTEDqXTcHVZdv_yg",""
"_dnROsGgPEDqXTcHVZdv_yg","ServingRelationship","","","_809PMGgOEDqXTcHVZdv_yg","_SRawwGgPEDqXTcHVZdv_yg",""
"_eJhAIGgPEDqXTcHVZdv_yg","ServingRelationship","","","_9GuUoGgOEDqXTcHVZdv_yg","_SRawwGgPEDqXTcHVZdv_yg",""
"_ghqjQGgPEDqXTcHVZdv_yg","ServingRelationship","","","_AQxOwGgPEDqXTcHVZdv_yg","_SRawwGgPEDqXTcHVZdv_yg",""
"_oitMEGgQEDqXTcHVZdv_yg","SpecializationRelationship","","","_cA7tkGgQEDqXTcHVZdv_yg","_ck2S8GgQEDqXTcHVZdv_yg",""
"_p8gQkGgQEDqXTcHVZdv_yg","SpecializationRelationship","","","_a_A9kGgQEDqXTcHVZdv_yg","_cA7tkGgQEDqXTcHVZdv_yg",""
"_kMDqAGgSEDqXTcHVZdv_yg","SpecializationRelationship","","","_QAlEoGgREDqXTcHVZdv_yg","_UsDVQGgREDqXTcHVZdv_yg",""
"_PVvtAGgTEDqXTcHVZdv_yg","TriggeringRelationship","","","_SRawwGgPEDqXTcHVZdv_yg","_AU91cGgTEDqXTcHVZdv_yg",""
"_VpHIgGgTEDqXTcHVZdv_yg","TriggeringRelationship","","","_AU91cGgTEDqXTcHVZdv_yg","_tftRkGgQEDqXTcHVZdv_yg",""
"_nxPLgGgTEDqXTcHVZdv_yg","TriggeringRelationship","","","_tftRkGgQEDqXTcHVZdv_yg","_Zl2q4GgTEDqXTcHVZdv_yg",""
