"ID","Type","Name","Documentation","Source","Target","Specialization"
"_XEMZlG5GEeyzq6ra3GZCdA","AccessRelationship","","","_XEMZRG5GEeyzq6ra3GZCdA","_XEMZQG5GEeyzq6ra3GZCdA",""
"_XEMZUG5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZSm5GEeyzq6ra3GZCdA","_XEMZXm5GEeyzq6ra3GZCdA",""
"_XEMZUm5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZSm5GEeyzq6ra3GZCdA","_XEMZYG5GEeyzq6ra3GZCdA",""
"_XEMZVG5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZSm5GEeyzq6ra3GZCdA","_XEMZZm5GEeyzq6ra3GZCdA",""
"_XEMZVm5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZTm5GEeyzq6ra3GZCdA","_XEMZcG5GEeyzq6ra3GZCdA",""
"_XEMZWG5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZTm5GEeyzq6ra3GZCdA","_XEMZcm5GEeyzq6ra3GZCdA",""
"_XEMZZG5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZYm5GEeyzq6ra3GZCdA","_XEMZTG5GEeyzq6ra3GZCdA",""
"_XEMZbG5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZam5GEeyzq6ra3GZCdA","_XEMZTG5GEeyzq6ra3GZCdA",""
"_XEMZjm5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZOG5GEeyzq6ra3GZCdA","_XEMZPm5GEeyzq6ra3GZCdA",""
"_XEMZkG5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZOm5GEeyzq6ra3GZCdA","_XEMZPm5GEeyzq6ra3GZCdA",""
"_XEMZkm5GEeyzq6ra3GZCdA","AssociationRelationship","","","_XEMZPm5GEeyzq6ra3GZCdA","_XEMZQG5GEeyzq6ra3GZCdA",""
"_XEMZim5GEeyzq6ra3GZCdA","AssociationRelationship","APP","","_XEMZNG5GEeyzq6ra3GZCdA","_XEMZOG5GEeyzq6ra3GZCdA",""
"_XEMZjG5GEeyzq6ra3GZCdA","AssociationRelationship","HTTPS","","_XEMZMm5GEeyzq6ra3GZCdA","_XEMZOm5GEeyzq6ra3GZCdA",""
"_XEMZmG5GEeyzq6ra3GZCdA","AssociationRelationship","HTTPS","","_XEMZSG5GEeyzq6ra3GZCdA","_XEMZTG5GEeyzq6ra3GZCdA",""
"_XEMZmm5GEeyzq6ra3GZCdA","AssociationRelationship","HTTPS","","_XEMZSG5GEeyzq6ra3GZCdA","_XEMZSm5GEeyzq6ra3GZCdA",""
"_XEMZnG5GEeyzq6ra3GZCdA","AssociationRelationship","HTTPS","","_XEMZSG5GEeyzq6ra3GZCdA","_XEMZTm5GEeyzq6ra3GZCdA",""
"_XEMZlm5GEeyzq6ra3GZCdA","AssociationRelationship","URL/BUCKET","","_XEMZRG5GEeyzq6ra3GZCdA","_XEMZSG5GEeyzq6ra3GZCdA",""
"_XEMZfm5GEeyzq6ra3GZCdA","ServingRelationship","","","_XEMZeG5GEeyzq6ra3GZCdA","_XEMZXG5GEeyzq6ra3GZCdA",""
"_XEMZgG5GEeyzq6ra3GZCdA","ServingRelationship","","","_XEMZem5GEeyzq6ra3GZCdA","_XEMZXG5GEeyzq6ra3GZCdA",""
"_XEMZgm5GEeyzq6ra3GZCdA","ServingRelationship","","","_XEMZeG5GEeyzq6ra3GZCdA","_XEMZaG5GEeyzq6ra3GZCdA",""
"_XEMZhG5GEeyzq6ra3GZCdA","ServingRelationship","","","_XEMZdm5GEeyzq6ra3GZCdA","_XEMZaG5GEeyzq6ra3GZCdA",""
"_XEMZhm5GEeyzq6ra3GZCdA","ServingRelationship","","","_XEMZdm5GEeyzq6ra3GZCdA","_XEMZbm5GEeyzq6ra3GZCdA",""
"_XEMZiG5GEeyzq6ra3GZCdA","ServingRelationship","","","_XEMZfG5GEeyzq6ra3GZCdA","_XEMZbm5GEeyzq6ra3GZCdA",""
