"ID","Type","Name","Documentation","Source","Target","Specialization"
"_uGP6sHlgEDujYfItY94yLw","AssociationRelationship","","","_BiyoYHlgEDujYfItY94yLw","_GFjB4HlgEDujYfItY94yLw",""
"_SmBf4HlgEDujYfItY94yLw","AssociationRelationship","","","_5rJWsHlfEDujYfItY94yLw","_9ZYjAHlfEDujYfItY94yLw",""
"_YRdYsHlgEDujYfItY94yLw","AssociationRelationship","","","_9ZYjAHlfEDujYfItY94yLw","_BM9iUHlgEDujYfItY94yLw",""
"_bl_EgHlgEDujYfItY94yLw","AssociationRelationship","","","_BM9iUHlgEDujYfItY94yLw","_BiyoYHlgEDujYfItY94yLw",""
"_b41vEHlgEDujYfItY94yLw","AssociationRelationship","","","_BM9iUHlgEDujYfItY94yLw","_BuKK4HlgEDujYfItY94yLw",""
"_rFITEHlgEDujYfItY94yLw","AssociationRelationship","","","_BuKK4HlgEDujYfItY94yLw","_CiRIYHlgEDujYfItY94yLw",""
"_rXLFUHlgEDujYfItY94yLw","AssociationRelationship","","","_CiRIYHlgEDujYfItY94yLw","_DotMAHlgEDujYfItY94yLw",""
"_roA9sHlgEDujYfItY94yLw","AssociationRelationship","","","_DotMAHlgEDujYfItY94yLw","_EBe4YHlgEDujYfItY94yLw",""
"_sl6JUHlgEDujYfItY94yLw","AssociationRelationship","","","_FoBYYHlgEDujYfItY94yLw","_GFjB4HlgEDujYfItY94yLw",""
"_s0APsHlgEDujYfItY94yLw","AssociationRelationship","","","_FoBYYHlgEDujYfItY94yLw","_HNlA8HlgEDujYfItY94yLw",""
"_tEI9cHlgEDujYfItY94yLw","AssociationRelationship","","","_HNlA8HlgEDujYfItY94yLw","_Hj52QHlgEDujYfItY94yLw",""
