"ID","Type","Name","Documentation","Source","Target","Specialization"
"_F08SQIVgEDmYbvIRqprhWw","AssociationRelationship","","","_PBM4YIVeEDmYbvIRqprhWw","_mcWUMIVeEDmYbvIRqprhWw",""
"_GWx0AIVgEDmYbvIRqprhWw","AssociationRelationship","","","_PBM4YIVeEDmYbvIRqprhWw","_vlY8UIVeEDmYbvIRqprhWw",""
"_G5k_EIVgEDmYbvIRqprhWw","AssociationRelationship","","","_PBM4YIVeEDmYbvIRqprhWw","_7GavgIVeEDmYbvIRqprhWw",""
"_HbD7gIVgEDmYbvIRqprhWw","AssociationRelationship","","","_Rw9qQIVeEDmYbvIRqprhWw","_L2TNMIVfEDmYbvIRqprhWw",""
"_H77z8IVgEDmYbvIRqprhWw","AssociationRelationship","","","_Rw9qQIVeEDmYbvIRqprhWw","_SamAoIVfEDmYbvIRqprhWw",""
"_JcavQIVgEDmYbvIRqprhWw","AssociationRelationship","","","_VwCH4IVeEDmYbvIRqprhWw","_aiUVsIVfEDmYbvIRqprhWw",""
"_J_0XQIVgEDmYbvIRqprhWw","AssociationRelationship","","","_VwCH4IVeEDmYbvIRqprhWw","_d8cTMIVfEDmYbvIRqprhWw",""
"_rH-q8IVgEDmYbvIRqprhWw","AssociationRelationship","","","_iWdSUIVdEDmYbvIRqprhWw","_z13dkIVfEDmYbvIRqprhWw",""
"_E-ZPUIVhEDmYbvIRqprhWw","AssociationRelationship","","","_pTeHwIVdEDmYbvIRqprhWw","_z13dkIVfEDmYbvIRqprhWw",""
"_kjiREIVhEDmYbvIRqprhWw","AssociationRelationship","","","_L2TNMIVfEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
"_l5sLsIVhEDmYbvIRqprhWw","AssociationRelationship","","","_SamAoIVfEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
"_oaacAIVhEDmYbvIRqprhWw","AssociationRelationship","","","_mcWUMIVeEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
"_pXw1EIVhEDmYbvIRqprhWw","AssociationRelationship","","","_vlY8UIVeEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
"_q6-UQIVhEDmYbvIRqprhWw","AssociationRelationship","","","_7GavgIVeEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
"_TEuGQIVgEDmYbvIRqprhWw","SpecializationRelationship","","","_iWdSUIVdEDmYbvIRqprhWw","_iWdSUIVdEDmYbvIRqprhWw",""
"_3_DggIVfEDmYbvIRqprhWw","TriggeringRelationship","","","_iWdSUIVdEDmYbvIRqprhWw","_PBM4YIVeEDmYbvIRqprhWw",""
"_4rdTgIVfEDmYbvIRqprhWw","TriggeringRelationship","","","_pTeHwIVdEDmYbvIRqprhWw","_Rw9qQIVeEDmYbvIRqprhWw",""
"_5ZAWAIVfEDmYbvIRqprhWw","TriggeringRelationship","","","_spEKkIVdEDmYbvIRqprhWw","_VwCH4IVeEDmYbvIRqprhWw",""
"_LzzA4IVhEDmYbvIRqprhWw","TriggeringRelationship","","","_spEKkIVdEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
"_149EwIVhEDmYbvIRqprhWw","TriggeringRelationship","","","_VwCH4IVeEDmYbvIRqprhWw","_teymwIVfEDmYbvIRqprhWw",""
