"ID","Type","Name","Documentation","Source","Target","Specialization"
"_mLO3a9rBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3R9rBEeu6V7qnWRg0WQ","_mLO3SdrBEeu6V7qnWRg0WQ",""
"_mLO3bdrBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3RdrBEeu6V7qnWRg0WQ","_mLO3S9rBEeu6V7qnWRg0WQ",""
"_mLO3b9rBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3RdrBEeu6V7qnWRg0WQ","_mLO3TdrBEeu6V7qnWRg0WQ",""
"_mLO3edrBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3UdrBEeu6V7qnWRg0WQ","_mLO3V9rBEeu6V7qnWRg0WQ",""
"_mLO3e9rBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3U9rBEeu6V7qnWRg0WQ","_mLO3WdrBEeu6V7qnWRg0WQ",""
"_mLO3fdrBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3VdrBEeu6V7qnWRg0WQ","_mLO3W9rBEeu6V7qnWRg0WQ",""
"_mLO3hdrBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3X9rBEeu6V7qnWRg0WQ","_mLO3ZdrBEeu6V7qnWRg0WQ",""
"_mLO3h9rBEeu6V7qnWRg0WQ","RealizationRelationship","","","_mLO3Y9rBEeu6V7qnWRg0WQ","_mLO3Z9rBEeu6V7qnWRg0WQ",""
"_mLO3cdrBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3SdrBEeu6V7qnWRg0WQ","_mLO3UdrBEeu6V7qnWRg0WQ",""
"_mLO3c9rBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3S9rBEeu6V7qnWRg0WQ","_mLO3UdrBEeu6V7qnWRg0WQ",""
"_mLO3ddrBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3S9rBEeu6V7qnWRg0WQ","_mLO3U9rBEeu6V7qnWRg0WQ",""
"_mLO3d9rBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3TdrBEeu6V7qnWRg0WQ","_mLO3VdrBEeu6V7qnWRg0WQ",""
"_mLO3f9rBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3W9rBEeu6V7qnWRg0WQ","_mLO3Y9rBEeu6V7qnWRg0WQ",""
"_mLO3gdrBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3WdrBEeu6V7qnWRg0WQ","_mLO3YdrBEeu6V7qnWRg0WQ",""
"_mLO3g9rBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3V9rBEeu6V7qnWRg0WQ","_mLO3X9rBEeu6V7qnWRg0WQ",""
"_mLO3jdrBEeu6V7qnWRg0WQ","ServingRelationship","","","_mLO3T9rBEeu6V7qnWRg0WQ","_mLO3UdrBEeu6V7qnWRg0WQ",""
"_mLO3idrBEeu6V7qnWRg0WQ","TriggeringRelationship","","","_mLO3X9rBEeu6V7qnWRg0WQ","_mLO3YdrBEeu6V7qnWRg0WQ",""
"_mLO3i9rBEeu6V7qnWRg0WQ","TriggeringRelationship","","","_mLO3YdrBEeu6V7qnWRg0WQ","_mLO3Y9rBEeu6V7qnWRg0WQ",""
"_mLO3j9rBEeu6V7qnWRg0WQ","TriggeringRelationship","","","_mLO3XdrBEeu6V7qnWRg0WQ","_mLO3X9rBEeu6V7qnWRg0WQ",""
