"ID","Key","Value"
"id-acf5ab14fea8458eb41b4ba25e668fd2","icon",""
"id-889294e2fc8e4387878ca27c97fec835","icon",""
"id-08416a6ac98f41c0bfe6d99ca344b523","icon",""
"b53a9f62-cd4f-45e0-b46b-cc6bdaf98c1f","icon",""
"48b316ed-1053-4cb9-ac37-897d39c7a40c","icon",""
"6fc626f3-e84c-4c40-a68e-ed3bd785f783","icon",""
"aa673c00-590d-41ce-9800-ecfe7f2e30cb","icon",""
"fb9694f9-ac68-4f3b-91dd-28673235ebd1","icon",""
"7254ce07-d089-425d-b00c-e3cdf392e780","icon",""
"id-5325b9694d2e4d09a27041fd4856b82b","icon",""
"id-4df668d58d96443bbb38af40ca3314a0","icon",""
"id-3737f75e15f04791ad9bd87e44b70f33","Access_Type","Write"
"82efc5f0-90ea-4fd8-a7a9-531acb592fa8","Directed","false"
"450d28d2-0dc3-44c1-b2f6-18338233511a","Access_Type","Write"
"192c842f-2a76-4650-bd3f-3923eeec24d1","Access_Type","Write"
"66ba8822-b11f-462e-9f9f-e80dc17d16af","Access_Type","Write"
"id-8e41ea62ff6e4238b071e190e6d0839e","Access_Type","Write"
"0a558105-2d70-43a6-ae3c-33ca853d77e6","Access_Type","Write"
"14b2bab9-566b-4fd9-8f3e-96d85bb95cac","Access_Type","Write"
"d74cafc7-89bd-411b-b750-4124eab48d72","Directed","false"
"38ed215c-061a-4a4f-a861-fb79d8dbd9fc","Directed","false"
"35a04a89-06ef-42ca-80b4-f5518d413c7c","Directed","false"
"2edd408a-45d9-4f56-ba54-41418fdf5b32","Access_Type","Write"
"id-75d9fc3432454c4a8de38ec95ee95388","Access_Type","Write"
"id-c37d06eb5049433c92e9fb4cf60440ce","Access_Type","Write"
"9aa22adb-ce89-4a4e-9dc6-1a44ede7f10a","Access_Type","Write"
"16ae959b-8470-4142-b293-a7fa2218d6a8","Directed","false"
"id-57f0a89c8fde47aabded22579ce9adae","Access_Type","Write"
"id-130ad74ea2544f0383317bfa5be48ed5","Access_Type","Write"
"id-2b528958f76a4bd7a09e5bd450ebe1b4","Access_Type","Write"
"id-ca04ad9d926a42bab012cc3d28da2533","Access_Type","Write"
"58ca114f-6fa4-4193-bbfd-43527aa22453","Access_Type","Write"
"f0743fc7-da5f-4a7e-b88a-9c052b24bc42","Directed","false"
"afe29c09-7698-4eda-a56a-016b8667828a","Access_Type","Write"
"f8554756-5d00-43bf-b0f8-89365c93d600","Directed","false"
"id-6bbbf6b7b9b049318471bb362346cea6","Access_Type","Write"
"id-3f61d4a54a4b4267b31146971ae14a21","Access_Type","Write"
"a866296a-083d-4153-85be-8bb5a1008921","Access_Type","Write"
"id-a72d83545ddd4b839a8f2a78f89ee7e9","Access_Type","Write"
"81bfc826-1e31-41bc-8cd6-b17054d31acd","Directed","false"
"71cdc860-eefe-4637-b811-8e2132b81fdd","Access_Type","Write"
