"ID","Key","Value"
"461757ff-b95e-4616-ae0d-be5439c05222","docker version","18.8 ce"
"461757ff-b95e-4616-ae0d-be5439c05222","docker type","apt-get"
"461757ff-b95e-4616-ae0d-be5439c05222","support","no"
"834d6ddd-ba7e-4047-955b-e1671a27a828","image license","MIT"
"834d6ddd-ba7e-4047-955b-e1671a27a828","vendor",""
"834d6ddd-ba7e-4047-955b-e1671a27a828","database","MySQL"
"8bc3dc1a-ff1f-4ef3-a8fb-7743d0870255","manufacture","SAP"
"dd30c017-1638-4e63-a652-ce0ca8cce89d","manufacture","IBM"
"dd30c017-1638-4e63-a652-ce0ca8cce89d","model","modeltype B"
"dd30c017-1638-4e63-a652-ce0ca8cce89d","service until","2021-03-30"
"bc16b6c2-4326-4c4f-9b37-c02b451be931","manufacture","IBM"
"bc16b6c2-4326-4c4f-9b37-c02b451be931","model","modeltype"
"bc16b6c2-4326-4c4f-9b37-c02b451be931","service until","2020-01-31"
"27c6c6be-ba08-453a-a9cf-d334762f44aa","country","Germany"
"27c6c6be-ba08-453a-a9cf-d334762f44aa","town","Halle"
"27c6c6be-ba08-453a-a9cf-d334762f44aa","building","B2"
"b65ca177-61bf-4793-80e1-fda32db1ed18","vendor","RedHead"
"b65ca177-61bf-4793-80e1-fda32db1ed18","version","1.23"
"b65ca177-61bf-4793-80e1-fda32db1ed18","service until","2020-12-31"
"b65ca177-61bf-4793-80e1-fda32db1ed18","license model","pay"
"5e85d6bc-f9c4-4aa7-8c9c-57ac07f1992f","vendor","Microsoft"
"5e85d6bc-f9c4-4aa7-8c9c-57ac07f1992f","version","10.18"
"5e85d6bc-f9c4-4aa7-8c9c-57ac07f1992f","service until","2020-12-31"
"5e85d6bc-f9c4-4aa7-8c9c-57ac07f1992f","license model","pay"
