"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-3acc3bce","AccessRelationship","","","id-7588f090","id-6f19ce2a",""
"id-5200eb37","AssignmentRelationship","","","id-681e1d4a","id-6cbbffb7",""
"b0b462e6","AssignmentRelationship","","","id-6b1551ed","id-5cb8e3f7",""
"a8c40b57","AssignmentRelationship","","","id-681e1d4a","id-84157b13",""
"ed3422b5","AssignmentRelationship","","","id-681e1d4a","f6de25aa",""
"a41d8bcc","AssignmentRelationship","","","id-37c7c8eb","cc7d8c17",""
"id-938f8007","AssignmentRelationship","","","id-37c7c8eb","id-261091c1",""
"b829dda9","AssignmentRelationship","","","id-37c7c8eb","id-74c1ec14",""
"id-6340543a","AssignmentRelationship","","","id-37c7c8eb","id-6739f04a",""
"id-9939cc9a","AssignmentRelationship","","","id-681e1d4a","id-224f06ec",""
"id-942dd5f4","AssociationRelationship","","","dfeeaa4e","id-1945430d",""
"id-8dd164e9","AssociationRelationship","","","dfeeaa4e","ee71516d",""
"id-809d5215","AssociationRelationship","","","dfeeaa4e","id-1bb3f943",""
"id-39f2399e","AssociationRelationship","","","dfeeaa4e","b6d0d2b7",""
"d14796c9","AssociationRelationship","instance of class A","","id-6f19ce2a","id-681e1d4a",""
"id-45db9ed2","AssociationRelationship","new PROTOTYPE(instance A)","","id-2fd4c6cd","id-6f19ce2a",""
"d57ea1ae","CompositionRelationship","","","id-5cb8e3f7","fd32b628",""
"fc864c06","FlowRelationship","","","e5e10160","e86f5cae",""
"id-2719e758","FlowRelationship","","","c3247177","ced4f51d",""
"f5804088","FlowRelationship","","","id-7588f090","e5e10160",""
"id-12653b6e","FlowRelationship","","","e86f5cae","id-6d95b895",""
"fd177622","FlowRelationship","","","fd32b628","c3247177",""
"id-5a2d3510","FlowRelationship","","","fd32b628","b6d0d2b7",""
"id-9f02338c","FlowRelationship","","","c3247177","id-1945430d",""
"id-1a5ceb10","FlowRelationship","","","ced4f51d","ee71516d",""
"beb3fa3e","FlowRelationship","","","b6d0d2b7","id-6cbbffb7",""
"db39bf0f","FlowRelationship","","","ee71516d","id-224f06ec",""
"id-4f93cfc5","FlowRelationship","","","id-1945430d","id-84157b13",""
"id-8f871477","RealizationRelationship","","","id-37c7c8eb","dfeeaa4e",""
"e17e4c8d","RealizationRelationship","","","id-5cb8e3f7","c3247177",""
"baaaf840","RealizationRelationship","","","id-5cb8e3f7","ced4f51d",""
"id-4f18a5a6","RealizationRelationship","","","id-681e1d4a","dfeeaa4e",""
"id-7915c111","ServingRelationship","","","id-5cb8e3f7","e86f5cae",""
"id-2fd4c6cd","ServingRelationship","","","id-6b1551ed","e5e10160",""
"id-8ede7aba","ServingRelationship","","","id-1945430d","c3247177",""
"d76dd2b4","ServingRelationship","","","id-6cbbffb7","id-6d95b895",""
"id-0054c1fd","ServingRelationship","","","b6d0d2b7","fd32b628",""
"f6183288","ServingRelationship","prototype","","dfeeaa4e","id-6b1551ed",""
"e1b03aaa","ServingRelationship","work throught interface","","ee71516d","ced4f51d",""
