"ID","Type","Name","Documentation","Source","Target","Specialization"
"c500d43d","AssociationRelationship","","","148edd84","01998722",""
"12881b86","AssociationRelationship","","","dd40562d","01998722",""
"207f3c34","AssociationRelationship","","","4bd6806a","01998722",""
"47011354","AssociationRelationship","","","148edd84","c398299a",""
"853054f1","AssociationRelationship","","","dd40562d","c398299a",""
"ba6461ac","AssociationRelationship","","","4bd6806a","c398299a",""
"74419065","AssociationRelationship","Audits","","a1815814","01998722",""
"a655584d","AssociationRelationship","business relationship","","c9ac2f13","01998722",""
"802d68fa","AssociationRelationship","Business Relationship","","01998722","0d952ef9",""
"a97bb650","AssociationRelationship","Business Relationship","","c398299a","01998722",""
"c10735b9","AssociationRelationship","develops","","c398299a","2548b91e",""
"5e03587c","AssociationRelationship","provides","","2548b91e","01998722",""
"c8212519","AssociationRelationship","Uses","","c9ac2f13","a1815814",""
"d6942d55","AssociationRelationship","Uses","","c9ac2f13","0d952ef9",""
