"ID","Type","Name","Documentation","Source","Target","Specialization"
"22f8d937","AccessRelationship","","","aa298cc1","fc879fa9",""
"d15ecb2d","AccessRelationship","","","aa298cc1","a4c4a02a",""
"52dc8755","AccessRelationship","","","aa298cc1","bc231e25",""
"e0394e11","AssignmentRelationship","","","f29155d4","30d5ba2a",""
"6db6c9d3","AssignmentRelationship","","","6c92fe84","2e8c25e9",""
"ec380655","AssignmentRelationship","","","6c92fe84","0cc9bd58",""
"83264da2","AssignmentRelationship","","","149ebdec","73569bee",""
"6c378b62","AssignmentRelationship","","","aa298cc1","7d840473",""
"fc89c82f","AssignmentRelationship","","","149ebdec","63a94c0f",""
"8e4ef4a2","AssignmentRelationship","","","aa298cc1","908128bc",""
"482ff957","AssignmentRelationship","","","aa298cc1","74ae19ba",""
"989d5554","AssignmentRelationship","","","aa298cc1","a21dd415",""
"48532641","AssignmentRelationship","","","aa298cc1","691976e6",""
"867bb545","AssignmentRelationship","","","ad1bcd98","aef79472",""
"059269d0","AssignmentRelationship","","","30e92409","b6bec55e",""
"5e496316","AssociationRelationship","","","624491d7","3460f467",""
"3c1e44c8","AssociationRelationship","","","3460f467","08498c54",""
"d339f2ed","AssociationRelationship","","","08498c54","624491d7",""
"cd656a8c","AssociationRelationship","","","103324c6","b47c29d8",""
"0ebda1c1","CompositionRelationship","","","b47c29d8","624491d7",""
"fb414de4","CompositionRelationship","","","b47c29d8","08498c54",""
"287eeea7","CompositionRelationship","","","b47c29d8","3460f467",""
"3d68e465","CompositionRelationship","","","691976e6","cdf91a60",""
"0ccf971b","CompositionRelationship","","","73569bee","ad1152e7",""
"a83a9f62","CompositionRelationship","","","63a94c0f","6fc8a514",""
"9f281542","CompositionRelationship","","","73569bee","dba093f0",""
"2e7bb391","CompositionRelationship","","","908128bc","5724ac9e",""
"d487814e","CompositionRelationship","","","908128bc","13d95ff7",""
"47395552","FlowRelationship","","","30d5ba2a","e21a9bf1",""
"de5a6039","FlowRelationship","","","2e8c25e9","624491d7",""
"a989206a","FlowRelationship","","","2e8c25e9","08498c54",""
"98b100c6","FlowRelationship","","","2e8c25e9","3460f467",""
"b618ad85","FlowRelationship","","","624491d7","08498c54",""
"5165f10a","FlowRelationship","","","624491d7","3460f467",""
"82e9eef2","FlowRelationship","","","5724ac9e","13d95ff7",""
"8778f062","FlowRelationship","","","5724ac9e","7d840473",""
"5e1ac117","FlowRelationship","","","6fc8a514","908128bc",""
"036a6941","FlowRelationship","","","7d840473","a21dd415",""
"057304f4","FlowRelationship","","","7d840473","74ae19ba",""
"98156735","FlowRelationship","","","6fc8a514","aef79472",""
"c51e0332","FlowRelationship","","","6fc8a514","b6bec55e",""
"2388bf3b","RealizationRelationship","","","aa298cc1","284b6f57",""
"8ac95863","RealizationRelationship","","","ad1bcd98","284b6f57",""
"6f62ac73","RealizationRelationship","","","30e92409","284b6f57",""
