"ID","Key","Value"
"id-48671d14-b595-41f6-88ad-5a7147c4b61b","dct:type","archi:capability"
"id-48671d14-b595-41f6-88ad-5a7147c4b61b","difi:namespace","-"
"id-48671d14-b595-41f6-88ad-5a7147c4b61b","difi:name_no","Tilgjengeliggjøre oversikt og beskrivelser av datasett"
"id-48671d14-b595-41f6-88ad-5a7147c4b61b","difi:name_en",""
"id-48671d14-b595-41f6-88ad-5a7147c4b61b","difi:description_no",""
"id-48671d14-b595-41f6-88ad-5a7147c4b61b","difi:description_en",""
"f4e756a7-6cbc-4f72-a566-42fa9db9f558","difi:namespace","t6"
"f4e756a7-6cbc-4f72-a566-42fa9db9f558","dct:type","archi:capability"
"f4e756a7-6cbc-4f72-a566-42fa9db9f558","difi:name_no","Testing"
"f4e756a7-6cbc-4f72-a566-42fa9db9f558","difi:name_en",""
"f4e756a7-6cbc-4f72-a566-42fa9db9f558","difi:description_no",""
"f4e756a7-6cbc-4f72-a566-42fa9db9f558","difi:description_en",""
"dbc088cb-b313-46f7-9032-4dd6cd9d4e33","difi:namespace","t6"
"dbc088cb-b313-46f7-9032-4dd6cd9d4e33","dct:type","archi:capability"
"dbc088cb-b313-46f7-9032-4dd6cd9d4e33","difi:name_no","testing 2"
"dbc088cb-b313-46f7-9032-4dd6cd9d4e33","difi:name_en",""
"dbc088cb-b313-46f7-9032-4dd6cd9d4e33","difi:description_no",""
"dbc088cb-b313-46f7-9032-4dd6cd9d4e33","difi:description_en",""
"id-0834dcd6-8123-4359-ae73-0b83c6b70430","dct:type","archi:capability"
"id-0834dcd6-8123-4359-ae73-0b83c6b70430","difi:namespace","-"
"id-0834dcd6-8123-4359-ae73-0b83c6b70430","difi:name_no","Erik"
"id-0834dcd6-8123-4359-ae73-0b83c6b70430","difi:name_en",""
"id-0834dcd6-8123-4359-ae73-0b83c6b70430","difi:description_no",""
"id-0834dcd6-8123-4359-ae73-0b83c6b70430","difi:description_en",""
"id-51320ef7-ebf0-48fc-a72c-76bf5acded8e","dct:type","archi:capability"
"id-51320ef7-ebf0-48fc-a72c-76bf5acded8e","difi:namespace","-"
"id-51320ef7-ebf0-48fc-a72c-76bf5acded8e","difi:name_no","erik"
"id-51320ef7-ebf0-48fc-a72c-76bf5acded8e","difi:name_en",""
"id-51320ef7-ebf0-48fc-a72c-76bf5acded8e","difi:description_no",""
"id-51320ef7-ebf0-48fc-a72c-76bf5acded8e","difi:description_en",""
"id-78a64517-3ac3-4cf2-9260-5094b1c35797","dct:type","archi:capability"
"id-78a64517-3ac3-4cf2-9260-5094b1c35797","difi:namespace","-"
"id-78a64517-3ac3-4cf2-9260-5094b1c35797","difi:name_no","eRik"
"id-78a64517-3ac3-4cf2-9260-5094b1c35797","difi:name_en",""
"id-78a64517-3ac3-4cf2-9260-5094b1c35797","difi:description_no",""
"id-78a64517-3ac3-4cf2-9260-5094b1c35797","difi:description_en",""
"id-61af409f-bb17-4c98-ab47-06ac3d3f96ac","dct:type","archi:capability"
"id-61af409f-bb17-4c98-ab47-06ac3d3f96ac","difi:namespace","-"
"id-61af409f-bb17-4c98-ab47-06ac3d3f96ac","difi:name_no","Capability"
"id-61af409f-bb17-4c98-ab47-06ac3d3f96ac","difi:name_en",""
"id-61af409f-bb17-4c98-ab47-06ac3d3f96ac","difi:description_no",""
"id-61af409f-bb17-4c98-ab47-06ac3d3f96ac","difi:description_en",""
"id-33e5c6ef-d84d-4d7a-8cdd-6f97cc33facd","dct:type","archi:capability"
"id-33e5c6ef-d84d-4d7a-8cdd-6f97cc33facd","difi:namespace","-"
"id-33e5c6ef-d84d-4d7a-8cdd-6f97cc33facd","difi:name_no","Capability"
"id-33e5c6ef-d84d-4d7a-8cdd-6f97cc33facd","difi:name_en",""
"id-33e5c6ef-d84d-4d7a-8cdd-6f97cc33facd","difi:description_no",""
"id-33e5c6ef-d84d-4d7a-8cdd-6f97cc33facd","difi:description_en",""
"id-7ad5466f-b1fb-46c3-ad52-de675f03ff1f","dct:type","archi:capability"
