"ID","Key","Value"
"0f1de45a-eb3f-4c10-9c32-80a18b23bb0b","Kilde","Los"
"0f1de45a-eb3f-4c10-9c32-80a18b23bb0b","Nivå","1"
"e1bf2c8b-f00b-4635-8827-f502573ea8e7","Nivå","1"
"537c5980-cc84-4f7b-a491-3af1880d31aa","Nivå","1"
"537c5980-cc84-4f7b-a491-3af1880d31aa","Kilde","Nasjonal IKT"
"fdabfd23-d1a3-42f0-9412-7c8ff1cca118","Nivå","1"
"f2ba8e37-a0e6-4d5c-9780-9ec493375947","Kilde","Los"
"f2ba8e37-a0e6-4d5c-9780-9ec493375947","Nivå","2"
"9bd5a118-0ac2-45c0-bb22-785f547bc094","Kilde","Los"
"9bd5a118-0ac2-45c0-bb22-785f547bc094","Nivå","2"
"79cb8fdf-2abe-42cb-9de9-41a8765f44fc","Nivå","2"
"79cb8fdf-2abe-42cb-9de9-41a8765f44fc","Kilde","Los"
"3021b33f-8454-4902-85e7-7fcf3f850cf6","Nivå","2"
"3021b33f-8454-4902-85e7-7fcf3f850cf6","Kilde","Nasjonal IKT"
"35f7ba72-9e79-485e-a330-2b6a7b684788","Nivå","2"
"895fdd64-f027-4988-89f6-c8bedbc4bb95","Nivå","1"
"89028f97-11fd-4fdf-abba-3ddec8a6128e","Kilde","Los"
"89028f97-11fd-4fdf-abba-3ddec8a6128e","Nivå","2"
"ee129d4f-84d2-48ab-9c79-267150aab79d","Nivå","2"
"2cc318b2-9095-4983-8dec-c58f76d02564","Nivå","1"
"2cc318b2-9095-4983-8dec-c58f76d02564","Kilde","Los"
"3c9811c0-5c20-4f55-90fd-436ce92d2b15","Nivå","2"
"3c9811c0-5c20-4f55-90fd-436ce92d2b15","Kilde","Los"
"f83ccec5-a3f9-4456-a8d4-b4601f09215b","Nivå","1"
"c90bcba6-c3a1-4d16-9c1e-2a55597a578e","Nivå","2"
"44ce3cd9-50ad-4820-ba61-b57d110d60e9","Nivå","1"
"44ce3cd9-50ad-4820-ba61-b57d110d60e9","Kilde","Nasjonal IKT"
"89072d00-5f1b-44f0-a181-eabffe232c65","Nivå","2"
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","Nivå","2"
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","Kilde","Los"
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","",""
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","",""
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","",""
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","",""
"fa2a2d2c-d69f-4c5e-8297-9ac6021c7be5","",""
"398bf51c-6a1c-429f-a7be-5523b6d3a330","Nivå","2"
"f404a5d2-5590-4998-a3e3-0062e16aa04b","Kapabilitetsnivå","Nivå 1, 2 eller 3"
"a192ea8e-c981-4247-9651-d6c6ec906bcd","Nivå","2"
"b1696ad0-1630-4260-8739-dbd1e0b289d5","Nivå","2"
"6deef81b-b2fe-4712-8742-3a6838a7cd6c","Nivå","2"
"6deef81b-b2fe-4712-8742-3a6838a7cd6c","Kilde","Los"
"4e5e0d55-5d09-4b9b-b92b-699137209995","Nivå","2"
"4e5e0d55-5d09-4b9b-b92b-699137209995","Kilde","Los"
"6171fa8e-4cfd-4443-a2fa-f4b8b63f1952","Nivå","2"
"6171fa8e-4cfd-4443-a2fa-f4b8b63f1952","Kilde","Los"
"f1e9336b-1613-469c-a077-579b5a42e8ef","Nivå","0"
"6a7a0e45-90fc-40c6-99ec-9c34d347206a","Kilde","Los"
"6a7a0e45-90fc-40c6-99ec-9c34d347206a","Nivå","2"
"077a71b9-f8f6-454a-98aa-e066167c8436","Kilde","Nasjonal IKT"
"077a71b9-f8f6-454a-98aa-e066167c8436","Nivå","2"
"15ac0c77-22a2-4506-b9e8-21dfb4136fb4","Nivå","2"
"15ac0c77-22a2-4506-b9e8-21dfb4136fb4","Kilde","Los"
"6280cc26-fc36-4664-90c1-95ad34df56a1","Nivå","1"
"0c58a685-1cc4-4111-a169-1ab44a8c733d","Kilde","Nasjonal IKT"
"0c58a685-1cc4-4111-a169-1ab44a8c733d","Nivå","1"
"70d106ce-bdbf-4083-8de5-04acc254cfe8","Nivå","2"
"70d106ce-bdbf-4083-8de5-04acc254cfe8","Kilde","Los"
"70d106ce-bdbf-4083-8de5-04acc254cfe8","",""
"70d106ce-bdbf-4083-8de5-04acc254cfe8","",""
"70d106ce-bdbf-4083-8de5-04acc254cfe8","",""
"70d106ce-bdbf-4083-8de5-04acc254cfe8","",""
"aa329d6f-a4c7-46fb-99cc-3c39db283b15","Kilde","Nasjonal IKT"
"aa329d6f-a4c7-46fb-99cc-3c39db283b15","Nivå","2"
"bde25ee3-7cf4-4741-9e2a-22e8ef6b614c","Kilde","Los"
"bde25ee3-7cf4-4741-9e2a-22e8ef6b614c","Nivå","2"
"d5164e66-cb1a-4f9d-90a3-a35364940d16","Nivå","2"
"d5164e66-cb1a-4f9d-90a3-a35364940d16","Kilde","Los"
"259ee268-1b10-4ab7-a19e-eed0d1bb7ccc","Nivå","0"
"f9619939-f7a6-43c1-8638-d0bee2a16085","Kilde","Los"
"f9619939-f7a6-43c1-8638-d0bee2a16085","Nivå","2"
"94f16bd9-d587-4303-b976-8a489a0bc9e1","Kilde","0"
"94f16bd9-d587-4303-b976-8a489a0bc9e1","Nivå","2"
"eb54cec9-4efa-4d83-ada1-f1c30d409d39","Kilde","Los"
"eb54cec9-4efa-4d83-ada1-f1c30d409d39","Nivå","2"
"baae2baa-4b6c-4876-a0dd-468dcbf7a0a8","Kilde","Los"
"baae2baa-4b6c-4876-a0dd-468dcbf7a0a8","Nivå","2"
"2928d970-fa90-4ebc-8eff-efb2d0cb4bc8","Nivå","2"
"48055dc2-a9da-45ed-aa91-265a382d0ad3","Nivå","1"
"48055dc2-a9da-45ed-aa91-265a382d0ad3","Kilde","Nasjonal IKT"
"3e2022e4-f0ae-48d4-9e80-d81e23c3ab9b","Nivå","2"
"3e2022e4-f0ae-48d4-9e80-d81e23c3ab9b","Kilde","Los"
"de141496-42f0-4dc9-823d-6ab392cc703e","Nivå","2"
"1481376f-08ea-434f-839b-8da27ca1ec17","Kilde","Los"
"1481376f-08ea-434f-839b-8da27ca1ec17","Nivå","2"
"4c7f1913-d69e-49ab-bab5-95a335e2bda9","Nivå","2"
"8141584c-689b-437e-9f14-6439efcdbed4","Nivå","2"
"8141584c-689b-437e-9f14-6439efcdbed4","Kilde","Los"
"7234a56b-a874-4528-b33d-a3b913a08ec0","Nivå","2"
"c06799e9-636d-4155-94b3-caa2eac6f362","Nivå","2"
"c06799e9-636d-4155-94b3-caa2eac6f362","Kilde","Los"
"80c01f1a-c754-43d9-aba7-025e0c661eb5","Nivå","2"
"80c01f1a-c754-43d9-aba7-025e0c661eb5","Kilde","Los"
"11153b1b-616c-4ce9-993b-3521d987c255","Nivå","2"
"03a89abe-6794-47d3-98f4-e486141d943c","Nivå","2"
"03a89abe-6794-47d3-98f4-e486141d943c","Kilde","Los"
"58559436-656f-463c-b4d4-d72523b12203","Nivå","2"
"58559436-656f-463c-b4d4-d72523b12203","Kilde","Los"
"c06b30f7-cdd4-4bb3-be5c-35803bdadb2d","Kilde","LOS"
"c06b30f7-cdd4-4bb3-be5c-35803bdadb2d","Nivå","2"
"c2f5a1d3-8efd-4a86-9473-d6b143a3c2ff","Nivå","1"
"c2f5a1d3-8efd-4a86-9473-d6b143a3c2ff","Kilde","Los"
