"ID","Type","Name","Documentation","Source","Target","Specialization"
"c00a8987","AccessRelationship","","","cb38701b","00c76bc6",""
"54c14a7e","AccessRelationship","","","d460de19","b72d4f5d",""
"335d2525","AccessRelationship","","","d460de19","b42bf6bd",""
"44e690f9","AccessRelationship","","","2e94681d","08c70ce0",""
"30daef71","AccessRelationship","","","2e94681d","ec572be8",""
"39677a18","AccessRelationship","","","3ab896e4","4ad1b3f7",""
"fee5a183","AccessRelationship","","","3ab896e4","378af4c2",""
"9656eb96","AccessRelationship","","","5a05ad04","378af4c2",""
"e7a24f16","AccessRelationship","","","5a05ad04","4ad1b3f7",""
"550e3715","AccessRelationship","","","47699f25","378af4c2",""
"659ade69","AggregationRelationship","","","a5038885","8cd687b4",""
"68d87c30","AggregationRelationship","","","8cd687b4","d5658951",""
"fbdf98a4","AssignmentRelationship","","","bf36471d","77b1921d",""
"1c05f0ef","AssignmentRelationship","","","bf36471d","36026f45",""
"4218b5e8","AssignmentRelationship","","","46060468","b58b84d4",""
"3da8c4f8","AssignmentRelationship","","","b1940969","b73e79d8",""
"89890e8d","AssignmentRelationship","","","f7068b29","ee0b6ace",""
"d5cd9c93","AssignmentRelationship","","","f7068b29","e2899a46",""
"de1ccbe3","AssignmentRelationship","","","f7068b29","1c88f8ce",""
"0a637d53","AssignmentRelationship","","","f701016d","3f7a2115",""
"eae97702","AssignmentRelationship","","","f701016d","2ccaf6af",""
"907456a0","AssignmentRelationship","","","e75f73fe","28029b3d",""
"70856892","AssignmentRelationship","","","a5038885","c0ba116a",""
"2ccca269","AssignmentRelationship","","","8cd687b4","0b5dc4f1",""
"488422fa","AssignmentRelationship","","","347e0f24","856b2769",""
"7b19b405","AssignmentRelationship","","","b8fff9ed","82ffd0b0",""
"28ff2d3c","AssignmentRelationship","","","b8fff9ed","b0b18bc3",""
"98956d7b","AssignmentRelationship","","","8252d1b7","f2205b33",""
"eef29f47","AssignmentRelationship","","","b8fff9ed","5b8c54eb",""
"caa38cba","AssociationRelationship","","","00c76bc6","ddedd6dc",""
"3998b662","AssociationRelationship","","","b72d4f5d","7accd355",""
"4600edc1","AssociationRelationship","","","b42bf6bd","eaddd396",""
"43817dee","AssociationRelationship","","","bf36471d","439d89e9",""
"00a1601d","AssociationRelationship","","","46060468","5d320bd9",""
"63592996","AssociationRelationship","","","b1940969","79cc7670",""
"7ac20c34","AssociationRelationship","","","f7068b29","7cfc5c26",""
"cb25b072","AssociationRelationship","","","cb38701b","bd6f8122",""
"2699f9d7","AssociationRelationship","","","ddedd6dc","ba1e600f",""
"00dd410d","AssociationRelationship","","","7accd355","7bf101ea",""
"200b9cff","AssociationRelationship","","","eaddd396","e6b42ec4",""
"2df0c62b","AssociationRelationship","","","08c70ce0","203693f4",""
"28591107","AssociationRelationship","","","ec572be8","684f09cf",""
"daf07083","AssociationRelationship","","","c20bc30f","32ee609c",""
"6d121cfd","AssociationRelationship","","","3159ca44","f0bba55f",""
"f28c91b1","AssociationRelationship","","","647124ce","363c0661",""
"2984730b","AssociationRelationship","","","7d79fc92","827c6619",""
"fc9fec50","AssociationRelationship","","","a76f2a03","2e94681d",""
"9d82f4f6","AssociationRelationship","","","3f7a2115","347e0f24",""
"8e8f2575","AssociationRelationship","","","80424f84","347e0f24",""
"828b8070","AssociationRelationship","","","2ccaf6af","347e0f24",""
"0dd7f62e","AssociationRelationship","","","b2945a9a","8eff5d4f",""
"50515f62","AssociationRelationship","","","8eff5d4f","eca5fc2e",""
"842ce1dd","AssociationRelationship","","","b2945a9a","a5038885",""
"b53a16cd","AssociationRelationship","","","a5038885","8cd687b4",""
"420af7d0","AssociationRelationship","","","8cd687b4","d5658951",""
"075269ca","AssociationRelationship","","","8eff5d4f","8cd687b4",""
"93e6d7d7","AssociationRelationship","","","eca5fc2e","d5658951",""
"04c95a8e","AssociationRelationship","","","4ad1b3f7","47699f25",""
"9316ad5b","AssociationRelationship","","","47699f25","91f2509a",""
"d49f60a8","AssociationRelationship","","","378af4c2","5a05ad04",""
"f8b789f1","AssociationRelationship","","","5a05ad04","bb8a21f0",""
"d050c4d0","AssociationRelationship","","","5a05ad04","378af4c2",""
"fb233a7d","AssociationRelationship","","","8252d1b7","3a9bfd09",""
"92f8ed9c","AssociationRelationship","","","b8fff9ed","64d9019c",""
"0252a3ad","AssociationRelationship","1|0 - 1 employer                                ","","439d89e9","5d320bd9",""
"1d693413","AssociationRelationship","N|0 - 1 comparator                               ","","c20bc30f","3159ca44",""
"b1c03af9","AssociationRelationship","N|0 - 1 datum                               ","","c20bc30f","3159ca44",""
"295dd0e4","AssociationRelationship","N|0 - 1 employer                                ","","79cc7670","7cfc5c26",""
"3c5dcc7c","AssociationRelationship","N|0 - 1 employer                                ","","bd6f8122","ba1e600f",""
"5dd8fe08","AssociationRelationship","N|0 - 1 employer                                ","","7bf101ea","e6b42ec4",""
"35c1814d","AssociationRelationship","N|0 - N employer                                                        ","","bb8a21f0","91f2509a",""
"3e858621","AssociationRelationship","N|0 [FILTER CRITERION]   -  1 employer                                ","","3a9bfd09","64d9019c",""
"d4161309","CompositionRelationship","","","0e74a5e3","be83e1e9",""
"0b759897","CompositionRelationship","","","0e74a5e3","6ec58bc6",""
"819cee19","CompositionRelationship","","","0e74a5e3","b446df47",""
"5f9d522f","CompositionRelationship","","","0e74a5e3","0cb37074",""
"63b2877f","FlowRelationship","","","0cb37074","be83e1e9",""
"b5761580","FlowRelationship","","","be83e1e9","6ec58bc6",""
"6e1aa47e","FlowRelationship","","","6ec58bc6","b446df47",""
"29c2036e","RealizationRelationship","","","a20b995a","3159ca44",""
"bcf814c9","RealizationRelationship","","","a76f2a03","42759b71",""
"542a4cbe","RealizationRelationship","","","42759b71","7d79fc92",""
"e35cc209","RealizationRelationship","","","a76f2a03","a20b995a",""
"cebb54c3","RealizationRelationship","","","a20b995a","c20bc30f",""
"ef8438cf","RealizationRelationship","","","42759b71","647124ce",""
"7b2d7863","RealizationRelationship","","","32ee609c","203693f4",""
"6a91e0ed","RealizationRelationship","","","f0bba55f","203693f4",""
"588c925d","RealizationRelationship","","","363c0661","684f09cf",""
"8d1085a7","RealizationRelationship","","","827c6619","684f09cf",""
"1a1c18f3","TriggeringRelationship","","","0cb37074","e75f73fe",""
"2344cedd","TriggeringRelationship","","","be83e1e9","28029b3d",""
"5f30f73d","TriggeringRelationship","","","6ec58bc6","c0ba116a",""
"9aeaad23","TriggeringRelationship","","","b446df47","0b5dc4f1",""
