"ID","Type","Name","Documentation","Source","Target","Specialization"
"0a0b5367","AccessRelationship","","","510a453f","9ea2ddc1",""
"cf1ad34d","AccessRelationship","","","2438a1b7","9ea2ddc1",""
"4bdc4073","AccessRelationship","","","2438a1b7","85d49263",""
"53a2bafa","AccessRelationship","","","28414116","85d49263",""
"80ed2bd1","AccessRelationship","","","4dd73992","4bc494ff",""
"34bb2fdb","AccessRelationship","","","0a3d1bf4","4bc494ff",""
"faa81680","AccessRelationship","","","28414116","4bc494ff",""
"0fc75197","AccessRelationship","","","4dd73992","9fa7e145",""
"9855a5bf","AccessRelationship","","","52d80bdb","51e6b2c2",""
"49753d14","AccessRelationship","","","54b61939","51e6b2c2",""
"982e5222","AccessRelationship","","","82089b81","51e6b2c2",""
"60e59ce5","AccessRelationship","","","57f4827c","b13318ec",""
"f1a59c13","AccessRelationship","","","54b61939","b13318ec",""
"da0fda39","AccessRelationship","","","324d5e24","b13318ec",""
"4b41dd27","AccessRelationship","","","f7c21ddf","adb89810",""
"eab0ed23","AccessRelationship","","","87efb135","86b87e81",""
"25d170e2","AggregationRelationship","","","b13318ec","f59f4a36",""
"6e7122fc","AggregationRelationship","","","b13318ec","adb89810",""
"0fd4a4ab","AssociationRelationship","","","510a453f","2438a1b7",""
"678b5efc","AssociationRelationship","","","8cd45474","35ad9597",""
"b049b148","AssociationRelationship","","","89660b2d","35ad9597",""
"555200e5","AssociationRelationship","","","0a3d1bf4","28414116",""
"e79786fc","AssociationRelationship","","","89660b2d","a78aaf6c",""
"72acc38f","AssociationRelationship","","","a78aaf6c","57b9ef55",""
"a5d6db5a","AssociationRelationship","","","103419b8","35ad9597",""
"43070d7f","AssociationRelationship","","","000ee142","52d80bdb",""
"3a19d58e","AssociationRelationship","","","6a1f070a","6bdd9f75",""
"48216a19","AssociationRelationship","","","0e407361","74f145bb",""
"55322fa9","AssociationRelationship","","","0e407361","57f4827c",""
"cba4b4e7","AssociationRelationship","","","1008bec3","6f0eb5ca",""
"17085b7b","AssociationRelationship","","","87efb135","6f0eb5ca",""
"e6011534","CompositionRelationship","","","3a050b94","2438a1b7",""
"fe42c810","CompositionRelationship","","","3a050b94","510a453f",""
"6a15c517","CompositionRelationship","","","57f4827c","52d80bdb",""
"350f67bb","CompositionRelationship","","","57f4827c","54b61939",""
"5e4fc09b","CompositionRelationship","","","74f145bb","324d5e24",""
"3c194afc","CompositionRelationship","","","57f4827c","82089b81",""
"cdcd7f4a","CompositionRelationship","","","74f145bb","4962aa9b",""
"a0785353","CompositionRelationship","","","b55f38be","ade3f290",""
"65f3c3ae","CompositionRelationship","","","f9a75ab9","22dcd5a5",""
"d89f0817","CompositionRelationship","","","f9a75ab9","e547105e",""
"321e81fc","CompositionRelationship","","","57f4827c","9932cbc3",""
"f85273f8","CompositionRelationship","","","b55f38be","f7c21ddf",""
"7171f0d0","CompositionRelationship","","","7c9461f1","6f0eb5ca",""
"250a7888","CompositionRelationship","","","7c9461f1","1008bec3",""
"703c1fd0","CompositionRelationship","","","7c9461f1","87efb135",""
"38cea7b8","FlowRelationship","","","0e407361","57f4827c",""
"a9d2c333","RealizationRelationship","","","4bc494ff","b3e3023b",""
"48d23883","RealizationRelationship","","","9fa7e145","b3e3023b",""
"85562c19","RealizationRelationship","","","9ea2ddc1","b3e3023b",""
"50209883","RealizationRelationship","","","85d49263","b3e3023b",""
"69db0b46","RealizationRelationship","","","7b118367","1e1bef2f",""
"4c58043d","RealizationRelationship","","","7e61e7aa","86b87e81",""
"2d37285b","ServingRelationship","","","510a453f","2438a1b7",""
"0c874bb8","ServingRelationship","","","28414116","0a3d1bf4",""
"d5b271c1","ServingRelationship","","","0a3d1bf4","4dd73992",""
"ebf3616a","ServingRelationship","","","6bdd9f75","74f145bb",""
"a961de2b","ServingRelationship","","","52d80bdb","54b61939",""
"6b8815a1","ServingRelationship","","","54b61939","82089b81",""
"d74e7fb6","ServingRelationship","","","82089b81","324d5e24",""
"74617cd2","ServingRelationship","","","000ee142","0e407361",""
"e93fdb85","ServingRelationship","","","57f4827c","b55f38be",""
"3ccb813b","ServingRelationship","","","74f145bb","b55f38be",""
"47a4a7fc","ServingRelationship","","","f9a75ab9","b55f38be",""
"8d44e65f","ServingRelationship","","","324d5e24","4962aa9b",""
"c0ae3313","ServingRelationship","","","e547105e","22dcd5a5",""
"d324f0b3","ServingRelationship","","","324d5e24","e547105e",""
"9c6f0424","ServingRelationship","","","54b61939","9932cbc3",""
"6633fb18","ServingRelationship","","","1008bec3","87efb135",""
"8487e5ac","ServingRelationship","","","e547105e","6f0eb5ca",""
"8c3af894","ServingRelationship","","","87efb135","2964b312",""
"92c8aacb","SpecializationRelationship","","","9fa7e145","4bc494ff",""
"6e49463e","SpecializationRelationship","","","51e6b2c2","7b118367",""
"e047401a","SpecializationRelationship","","","f59f4a36","7b118367",""
"d3e8d27b","TriggeringRelationship","","","000ee142","510a453f",""
