"ID","Key","Value"
"b66fa021-d255-42e9-8682-24cb1310f59a","Junction_Type","And"
"f4c3255d-1bf3-4b05-beb4-da0d4efe29c9","Junction_Type","And"
"c170c2dc-6552-4e26-a96d-8868432dc9ac","Junction_Type","Or"
"bd6c9790-5a52-4d86-bd90-11c8887e3355","Junction_Type","Or"
"8be992ec-900e-4448-844d-dba922a819f6","Junction_Type","Or"
"75dd5cee-e3c6-43b7-8430-907606a7d167","Junction_Type","Or"
"f5b326df-ba3d-4af4-99c4-7aa0e5eda502","Access_Type","Write"
"b3330f8a-cee8-4cf0-9cf4-a9714032bef8","Access_Type","Write"
"9f49201a-80b8-4f16-b9e8-d5b2207d1f05","Access_Type","Write"
"7ee8c844-d985-411f-98f6-ebf55f28d9d2","Access_Type","Read"
"5bd5bb20-2cb8-48af-846c-f886ec6f2c62","Access_Type","Write"
"83ade96c-5da1-4145-8c19-f63812506c96","Access_Type","Write"
"7fdfb1ed-922f-4236-b8b7-cb121436a4fa","Access_Type","Write"
"3fcdcb5a-9d9f-4981-9d7b-21c2c1477ef0","Access_Type","Read"
"60d914c8-3e9e-4f32-924e-b0dcd1c2d14f","Access_Type","ReadWrite"
"429415e0-394b-4b90-a766-2fe71295e48d","Directed","false"
"46f60ce5-2a33-402d-9459-31ff76d04844","Directed","false"
"8a42edca-16cd-4811-bd2a-76be0e36c0ad","Directed","false"
"7d12b7ea-43c4-4aa5-bccb-4c855a13824b","Directed","false"
"0f6aba1b-dfc2-45aa-8156-5eba511ed6d2","Directed","false"
"37698e37-9b76-4cc0-b900-237b4b67b08b","Directed","false"
"cfed8e47-99fb-4490-ac11-6e36ee347e09","Directed","false"
"af346cf5-d09b-42db-b28e-3e9fa9972aae","Directed","false"
"daf7b1be-01f6-48eb-97e1-374b22f249fc","Directed","false"
"cfdd99cc-33f7-48e2-9ece-42e06ae77917","Directed","false"
"87b557e1-1587-4aa0-b165-4bd956a0b4a4","Directed","false"
"bec22cc3-aaaa-4e93-8767-143a503cca12","Directed","false"
"d6155c0d-90d6-4f0d-aef1-f4ee2afd45e1","Directed","false"
"1e049ece-7932-491d-beec-f073f107d208","Directed","false"
"f7f005e8-257d-4924-8765-686e6410efb1","Directed","false"
"55eb68a8-3810-4a51-a5b3-77e736398ddf","Directed","false"
"89694abf-097c-4e46-af8f-bf4ce9220989","Directed","false"
"a6db630d-98eb-4f8e-822a-61b7a0bc00c6","Directed","false"
"7960b44e-b45b-4dd3-b40b-28e640fc3c95","Directed","false"
"a0ebba38-6c20-4de9-a6f3-50c98cf2b88a","Directed","false"
"35e76e38-35d0-4bbb-8897-e8f722b59fab","Directed","false"
"e23e42ca-7f8d-4a67-856f-de606d71f4f7","Directed","false"
"0d1a9686-356f-4673-b5d4-f6fa32246880","Access_Type","Write"
"55228117-161d-4d05-a8b4-c28db776fb1a","Directed","false"
"08207a89-e4e3-4288-abec-d190b40799cc","Directed","false"
"0684f74c-424f-45ad-b093-abd47968de24","Directed","false"
"7de7c5e5-2f12-49a1-832c-4009740cdbee","Access_Type","Write"
"cac5bba2-f7e2-442a-b5b6-56ca63644a4d","Access_Type","Write"
"4d34152b-a92a-47a4-9001-c9fc940fc9ca","Access_Type","ReadWrite"
