"ID","Key","Value"
"id-9b84794d","Access_Type","Write"
"id-42d8f366","Directed","false"
"d76fb723","Directed","false"
"id-3adb9f18","Directed","false"
"id-48599d5f","Directed","false"
"id-0d9827e8","Directed","false"
"id-2e243011","Directed","false"
"id-0653d891","Directed","false"
"da01926d","Directed","false"
"id-3c8c146f","Directed","false"
"ea4f2e08","Directed","false"
"id-3878e8e7","Directed","false"
"cb18aba2","Directed","false"
"id-511a0efe","Directed","false"
"f1305532","Directed","false"
"id-2b1988a6","Directed","false"
"id-89fe9e50","Directed","false"
"id-25f0f8a9","Directed","false"
"a2b5647f","Directed","false"
"id-0c5e0c46","Directed","false"
"e6674e81","Directed","false"
"id-53cd4679","Directed","false"
"id-147261a7","Directed","false"
"id-8b34d7a0","Directed","false"
"id-9986462b","Directed","false"
"f2d1382e","Directed","false"
"id-838b6b81","Directed","false"
"aa7e9c8f","Directed","false"
"id-512bdd64","Directed","false"
"b8db701a","Directed","false"
"f70ef496","Directed","false"
"eadd015c","Directed","false"
"dcccd8b0","Directed","false"
"id-33670dee","Directed","false"
"id-021740b7","Directed","false"
"id-28591759","Directed","false"
"id-0f5e6d21","Directed","false"
"id-994ebf91","Directed","false"
"id-1c5ad031","Directed","false"
