"ID","Key","Value"
"id-30d6dc05","Junction_Type","Or"
"id-11989aaa","Junction_Type","Or"
"a37c8204","Directed","false"
"id-4d59e657","Directed","false"
"id-312e35e0","Directed","false"
"id-19bb0fbd","Directed","false"
"id-6f9d86be","Directed","false"
"id-629a4377","Directed","false"
"id-2489c182","Directed","false"
"e5269aa9","Directed","false"
"id-3fa44223","Access_Type","Write"
"id-7f097e27","Directed","false"
"id-5414b24e","Directed","false"
"id-6c9bb1ab","Access_Type","Write"
"id-55209d34","Access_Type","Write"
"id-567cab93","Directed","false"
"id-4ae5c108","Access_Type","Write"
"id-505eab2f","Access_Type","Write"
"a43ab813","Directed","false"
"id-74ecac86","Access_Type","Write"
"bf7d8905","Access_Type","Write"
