"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-8b4fb47b","AccessRelationship","","","id-01e66a1f","id-8939533c",""
"af6a0de8","AccessRelationship","","","id-03544141","id-8939533c",""
"id-5da5de1f","AccessRelationship","","","id-954984a8","ce2ca34c",""
"id-307f645c","AccessRelationship","","","id-30eab01a","id-8939533c",""
"id-036e5b96","AccessRelationship","","","id-42a6cf97","id-95216712",""
"id-3da2fcb3","AccessRelationship","","","id-795af956","id-03bfc10e",""
"a8b1c033","AccessRelationship","","","id-03544141","id-03bfc10e",""
"c60635dc","AccessRelationship","","","id-954984a8","id-03bfc10e",""
"ae44c579","AssignmentRelationship","","","id-30eab01a","fa5fb1b4",""
"id-2caf64f3","AssignmentRelationship","","","id-42a6cf97","id-98175478",""
"id-6cb1e59a","AssignmentRelationship","","","id-42a6cf97","a63e52be",""
"id-5699fce8","AssignmentRelationship","","","id-30eab01a","id-80064b82",""
"id-0e06e724","AssignmentRelationship","","","id-42a6cf97","id-1b3f5e55",""
"id-3fb81a16","AssignmentRelationship","","","id-30eab01a","id-4463cae6",""
"id-9c38fe7f","AssignmentRelationship","","","id-30eab01a","id-79dbc631",""
"fe69e9f4","AssignmentRelationship","","","id-42a6cf97","id-03287c7a",""
"id-4ddbabd9","AssignmentRelationship","","","id-30eab01a","id-04ff83bf",""
"id-0654837e","AssignmentRelationship","","","id-42a6cf97","id-101c0a89",""
"cca60f17","AssignmentRelationship","","","id-1b3f5e55","c012358f",""
"id-9ec54714","AssignmentRelationship","","","id-30eab01a","id-636dcdf4",""
"ee6aba6b","AssignmentRelationship","","","id-42a6cf97","c1e23955",""
"id-2762bd4a","AssociationRelationship","","","id-1fab80a2","id-795af956",""
"id-43e8f6f9","AssociationRelationship","","","id-1fab80a2","b94e31d7",""
"c8b5da76","AssociationRelationship","","","id-1957b687","ee1b64d9",""
"id-3bc0f9b6","AssociationRelationship","","","id-1fab80a2","id-3344aab4",""
"id-44c9d1eb","AssociationRelationship","","","fff5ec7f","e2096b67",""
"id-4cb114d8","AssociationRelationship","","","id-1fab80a2","id-06bab148",""
"d4509706","AssociationRelationship","","","id-1fab80a2","id-427b3c2f",""
"id-1b86adbe","AssociationRelationship","","","id-30eab01a","id-8939533c",""
"id-2341fe6e","AssociationRelationship","","","id-03bfc10e","cb9a5aef",""
"id-06c58227","CompositionRelationship","","","id-98175478","id-32320987",""
"b452f247","CompositionRelationship","","","id-03287c7a","id-53ee47b5",""
"ddf5c19c","CompositionRelationship","","","id-79dbc631","id-13222916",""
"id-8e16116c","CompositionRelationship","","","id-8d22045a","ac986c3b",""
"bddf42d9","CompositionRelationship","","","id-1b001935","id-252e1317",""
"d4a79f92","CompositionRelationship","","","ee1b64d9","id-1b52860b",""
"id-6c22dedb","CompositionRelationship","","","id-1b001935","ee1b64d9",""
"id-608e4eb3","CompositionRelationship","","","id-1b3f5e55","id-8d22045a",""
"id-4d8d294f","CompositionRelationship","","","ee1b64d9","fff5ec7f",""
"id-62b7de24","CompositionRelationship","","","id-1b001935","id-398bc653",""
"c98fc66d","CompositionRelationship","","","ee1b64d9","id-2005381e",""
"ac5ed7b8","CompositionRelationship","","","b3078801","e2096b67",""
"cdf54b98","CompositionRelationship","","","id-80064b82","id-1751a85f",""
"ed1f0be4","CompositionRelationship","","","id-101c0a89","id-6b0d024a",""
"a34a5371","CompositionRelationship","","","a63e52be","id-3f1e77ec",""
"id-2beff6f9","CompositionRelationship","","","id-636dcdf4","id-01e66a1f",""
"fb732f33","CompositionRelationship","","","id-79dbc631","id-03544141",""
"b92f50f2","CompositionRelationship","","","id-03544141","id-6233b918",""
"id-2201a10f","CompositionRelationship","","","c1e23955","id-8edbb6a4",""
"id-22f65bdf","CompositionRelationship","","","c1e23955","ef8fc135",""
"id-2869790e","CompositionRelationship","","","c1e23955","ebc82553",""
