"ID","Type","Name","Documentation","Source","Target","Specialization"
"c465dfa7-d92b-401c-bdb2-5e194cfb0250","AccessRelationship","","","id-30bd3a63-3dd1-4e0a-99fa-751a0e2d0c4e","bdf6bfb1-5da0-40cd-b806-400fbcf6a8a8",""
"id-78630382-1576-488b-b379-465ba87c3519","AccessRelationship","","","id-84ad332a-bc4d-4361-9fe6-703f2a0ef9be","bdf6bfb1-5da0-40cd-b806-400fbcf6a8a8",""
"cc498a53-522f-4858-95fd-1a18d4fede88","AccessRelationship","","","ffba0a40-cfcd-4821-ad30-22b07da47198","bdf6bfb1-5da0-40cd-b806-400fbcf6a8a8",""
"id-9e6491b1-c5ba-464f-bd83-94007c908336","AccessRelationship","","","id-705becf6-fce9-498a-9768-2e59cd8fa582","bdf6bfb1-5da0-40cd-b806-400fbcf6a8a8",""
"id-8df98d8e-9c57-49b9-a37f-f90e2b1e30bd","AccessRelationship","","","id-0fed6764-3517-4158-bfa1-d57f6b0b3c85","bdf6bfb1-5da0-40cd-b806-400fbcf6a8a8",""
"id-7fc0e2e3-b09e-49d1-9189-6fc639cb84e8","AccessRelationship","","","be84c507-7168-4ce6-bea9-dd224c710339","a1f2047c-56c7-4206-8b0b-0b356da1847c",""
"id-4ccdb8e9-9579-456f-9b60-e186ba53088e","AccessRelationship","","","e38ab465-444d-4214-a75e-de8d6df82682","id-9efeff18-f667-4c9d-9e97-9766d212da59",""
"de64e69a-be9f-4cce-997d-7ee8f430afc7","AccessRelationship","","","e7d89580-8fba-41f0-935e-5af49df0b951","id-902906d9-7b08-447b-89cf-d9f40a76c54c",""
"id-85ac22f2-d42d-4c4e-a245-8f2d1afddc2f","AccessRelationship","","","id-20406329-2408-4d20-af85-258dc34992c8","id-4d38f931-dbaa-47cf-b802-cc7935d74337",""
"ca0a6f3a-ccc4-44d4-82fc-f3a5f634bf75","AccessRelationship","","","id-40d22527-b660-45d8-9f5d-639c93298b51","id-5a3b876d-c4c3-4bfa-8b09-9627e1d4ce32",""
"d163f51a-f4d6-4cb6-992e-b4779d93ed1b","AccessRelationship","","","cecf5752-1f90-48b8-9a86-c88b1faee656","id-9df8cf29-cb7f-4c23-bab0-9a81c1244333",""
"acc8c055-06b4-4f6a-9b76-b800aa36a2c1","AccessRelationship","","","e6797269-eefd-4b87-a4fa-9885b942351d","da8f09ff-3470-4880-b05f-765a31b733ed",""
"id-139b503a-46c3-47a8-a376-765abf288929","AccessRelationship","","","id-51f927d6-6314-421e-b123-bc0ebe2a9fb7","id-8c7de6a3-2194-4030-864d-5c29eeb12192",""
"a44bb231-9ff9-435b-9947-a9a08598935d","AccessRelationship","","","bb3555ce-ebbf-48ff-9210-925b077e9727","fc2e6dd2-3362-4b16-b34f-68715554025e",""
"id-42a100fe-7c6c-47a4-b8dd-308f1680f85e","AccessRelationship","","","be84c507-7168-4ce6-bea9-dd224c710339","id-2b503a05-a02f-406d-93fb-b9a11734a98a",""
"id-3a42df1f-7ef9-4656-8c72-f67dc647de4d","AccessRelationship","","","id-20406329-2408-4d20-af85-258dc34992c8","id-509578d2-2cca-4bda-8506-15cc8b26e429",""
"id-16eadcff-4790-4f1a-a3ad-0deab512b1e8","AccessRelationship","","","id-40d22527-b660-45d8-9f5d-639c93298b51","c6cbcebf-52d6-47a8-abaf-511b83716a26",""
"id-6541a7d4-f6db-4f95-a966-fa362492f6c3","AccessRelationship","","","id-40d22527-b660-45d8-9f5d-639c93298b51","cdf6ba18-cde2-4291-8ba2-4239eccfdaeb",""
"id-9c755520-b20a-401e-b6e9-569b9a0b8504","AccessRelationship","","","id-51f927d6-6314-421e-b123-bc0ebe2a9fb7","a068e6af-68f0-4f3d-949c-a7ace346fc3c",""
"f0756627-479f-48fe-b4b6-ca7e1ceefaf6","AccessRelationship","","","id-86b063db-4146-4a5e-b87c-d9b025e6159c","da8f09ff-3470-4880-b05f-765a31b733ed",""
"id-38a39dd3-2fd2-48d3-ac36-c6fb490fd6be","AccessRelationship","","","e38ab465-444d-4214-a75e-de8d6df82682","id-29bd726e-05da-4e12-a1cb-ecfab55d0f9f",""
"id-03845616-e71f-4a90-856a-296cab46131d","AccessRelationship","","","bd05a070-26a1-4281-b3af-75dc716d843e","id-820296fc-deb3-4e5b-a9db-386788469324",""
