"ID","Key","Value"
"41698acf-bc06-42c0-9d9e-62a8f0760866","aliases","Quote"
"44d92bf9-9086-41b8-9e9e-2cd5750e933f","see_also","https://schema.org/OrderItem"
"44d92bf9-9086-41b8-9e9e-2cd5750e933f","aliases","OrderLine, ItemLine"
"a769c03c-efa2-4ca8-b865-761141327217","see_also","https://schema.org/Order"
"987a2008-d454-4a79-a0e0-cc9d283b779b","status","review"
"987a2008-d454-4a79-a0e0-cc9d283b779b","status_comment","The BaT business requirements are vague on how the review system would work"
"e5235603-c852-4b71-9f0c-a4929557de4e","aliases","Lot"
"3ac7ce29-fb91-41ef-aaab-ba0ed34e45d7","status","review"
"3ac7ce29-fb91-41ef-aaab-ba0ed34e45d7","status_comment","Although the concept is fairly clear, there is a lack of understanding of its shape and types."
"b775e9c3-52f6-4832-832c-7da49ceea4ec","aliases","Cart"
"b775e9c3-52f6-4832-832c-7da49ceea4ec","states","Open, Saved, Selected, Closed"
"21a4d8d6-f85b-44bf-b484-582c3b7bbe91","status","review"
"21a4d8d6-f85b-44bf-b484-582c3b7bbe91","status_comment","Should this be ""Bid"" instead of ""Bid status""?"
"0439e0a6-2dee-4004-ba49-29ded1e4e5b3","see_also","https://schema.org/OrderItem"
"0439e0a6-2dee-4004-ba49-29ded1e4e5b3","aliases","InvoiceLine, ItemLine"
"29f88f9d-c9c7-4697-95e1-3451d57d6354","status","review"
"29f88f9d-c9c7-4697-95e1-3451d57d6354","status_comment","Is this the same as ""Agreement Contract""?"
"9daf84b7-e93f-4aa5-9085-5473127b0daa","status","review"
"9daf84b7-e93f-4aa5-9085-5473127b0daa","status_comment","It is unclear if this information will be available at all."
"8ddb7ee1-710e-4d81-9e07-ae842ce6bc7e","status","review"
"8ddb7ee1-710e-4d81-9e07-ae842ce6bc7e","status_comment","There is a lot of confusion between Buyer and Customer. Most of the time CCS people use ""Buyer"" to mean ""the person that wants to procure something, which this model calls Customer"""
"3bbae3ea-aaa4-4f77-b567-85584ff6717f","status","review"
"3bbae3ea-aaa4-4f77-b567-85584ff6717f","status_comment","Depending on how FaT turns out to be, this will need refining. It is here because at some point we considered search results as able to be saved"
"22fcd1be-1e6c-47c1-9343-08af2d15ee24","status","review"
"22fcd1be-1e6c-47c1-9343-08af2d15ee24","status_comment","This depends on how Order is used at CCS and how it will the Order will be modelled."
"c1d32046-a52b-4e51-a582-57cb474db452","types","Framework"
"47755ae9-5d1d-49cb-9f73-1d3ffb9011c2","see_also","https://schema.org/Invoice"
"46b19d1f-01fa-4fe5-af1d-54253b06af16","status","review"
"46b19d1f-01fa-4fe5-af1d-54253b06af16","status_comment","This concept may be more complex as Suppliers pay in bulk some times. Check with business"
"2ec706fb-2d17-4c7f-b7f3-96164eb19d4b","status","review"
"2ec706fb-2d17-4c7f-b7f3-96164eb19d4b","status_comment","Needs description"
"4f436ef3-3ff0-413b-a15b-a1a44e51b4d0","status","review"
"4f436ef3-3ff0-413b-a15b-a1a44e51b4d0","status_comment","Is the right name for the concept?"
"9ca32459-ab70-4fa0-82ae-5cb00c8dd66a","status","review"
