"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-2584c1faa04542ebbaed59c7e76f7b0a","AssignmentRelationship","","","id-d91bf9a153f44285bce04c169ad9bea4","id-d0e4b9f91c444f8fb46628fb33e2c28a",""
"id-15571ff0f42241b2b58328e6081962d5","AssociationRelationship","","","id-9045be02791f4b0ab72802a9d7681263","id-327ecf7affbc4f27a98acd659db6851c",""
"id-4388176f549c4828824aaedb233132d3","AssociationRelationship","","","id-f92db81de7884563babdb41cf68fc78a","id-544a0fe6d6eb4629aed68466d79002c8",""
"id-b88e8f4c70a14dfca2efee04220c15d2","AssociationRelationship","","","id-d3f58ee497fb4e518af79865971c8539","id-544a0fe6d6eb4629aed68466d79002c8",""
"id-fb4642893505497b94f43b39e4001221","AssociationRelationship","","","id-a3a8f9e2bf0943898593786bad5f9f22","id-544a0fe6d6eb4629aed68466d79002c8",""
"id-2acf14936129458697b46ff0e170e10d","AssociationRelationship","","","id-0f7548f64474434fa71be47d4520b215","id-26986a3b25b1421bb160b3e85d4ebc7b",""
"id-60d4466ab1ef42a0a8734f72fc56ed3a","AssociationRelationship","","","id-a0967f871f064272844271e22d8dca24","id-26986a3b25b1421bb160b3e85d4ebc7b",""
"id-ac83781420a4442e89458b2af42d4f76","AssociationRelationship","","","id-8803c6f9290b43dd944d92986fa7cca4","id-00f2a1c89c1a46fa8fc4f8121bb8780b",""
"id-c854fbe8e46c407e83cc3162e63d6d8b","AssociationRelationship","","","id-f92db81de7884563babdb41cf68fc78a","id-00f2a1c89c1a46fa8fc4f8121bb8780b",""
"id-2957730c8ce242e289337750e01f4e06","CompositionRelationship","","","id-73ea97aa29904d8d917b81f54b69cd4b","id-26c1ce688c954efb9d346c9e15bce6b8",""
"id-cc44163dca81493c99a9a24611af6619","CompositionRelationship","","","id-73ea97aa29904d8d917b81f54b69cd4b","id-307998e2f6944144848b8939d920ea1b",""
"id-41b2f8eb28714dcfb3ba9a555bd8cca9","CompositionRelationship","","","id-fa72a15d33d047f286acf182e11ce3a4","id-dc309416b20e48d9bb35ea8d60b0b0bd",""
"id-d62cbbbd9d1e4f9d9c3db78b631bc5d6","CompositionRelationship","","","id-fa72a15d33d047f286acf182e11ce3a4","id-4d20e369562c4331b9ca506568e72fac",""
"id-b353d8d7a2af423d8c177d095290987f","CompositionRelationship","","","id-73ea97aa29904d8d917b81f54b69cd4b","id-8dc167da406c471eb3f86ef035537e5c",""
"id-454804db04a94f4185e874d027451a4a","CompositionRelationship","","","id-fa72a15d33d047f286acf182e11ce3a4","id-66cbb144f0fe4f72b8c85c42edf2d0b7",""
"id-7bfd8d641c7d467c95bfb4328a6b94a8","CompositionRelationship","","","id-fa72a15d33d047f286acf182e11ce3a4","id-95711391d39f4e1382b1c72b275c5037",""
"id-1bfd72bdacc14552b24e23003e151e3b","CompositionRelationship","","","id-73ea97aa29904d8d917b81f54b69cd4b","id-08903aa79c4243e2a8f873e67dc05883",""
"id-4626bf5e2b7f4a7887a1088c17ac672d","CompositionRelationship","","","id-73ea97aa29904d8d917b81f54b69cd4b","id-55d88fc41dd44f9a95ddbade7628a915",""
"id-49a045a5c2034a58b1d9bb3faf5dce21","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-d07e3bec9f8243ef932eda66dc7834db",""
"id-73b34be46d4c41189a8facb6945d5c46","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-508b54708b37459491147f9b3423b0ed",""
"id-b99c028864404fa19478e40dbacb3bf1","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-5a31dacf687b48d2a1001265006303d7",""
"id-0b400c3acff849f5a28ce3e11d2f209d","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-313e9d0d75b44a46b79aabac97b19e0d",""
"id-39ee3d9f772d410cba0723a3702c6b77","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-29dfd83ee4a24903a931287d24138107",""
"id-1bc955ad4f23425d82fdb034f1688700","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-45fc9f5869b4420781696478a4426a8e",""
"id-0c0373263ee248a3a7bffba0dfd0a798","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-0334b8e915e74373bdf29d76cd407964",""
"id-04843df51a2c45be97e216152e20db05","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-9c261fb380064ddd9aecb26f41882140",""
"id-5bfe2b6bb6344eb0a6f6dee636a493bd","CompositionRelationship","","","id-66330aaf89f54e69a76d6edec3a5b972","id-f84badc563c941438097e9c06e2a7aef",""
"id-921e1d9bb1d8417bbcd485eb57da95f2","CompositionRelationship","","","id-2eafb2dbeece4d1d91ebbd63bbfb6b8d","id-1e6f2516efea4c7e96ee890cc73cc0ce",""
"id-b1c4afdc898849ef8711ea41e677bdea","CompositionRelationship","","","id-2eafb2dbeece4d1d91ebbd63bbfb6b8d","id-d922400534c0474cadff32615e917af7",""
"id-c922ba3a56e1455d854ddb04f91d41b0","CompositionRelationship","","","id-2eafb2dbeece4d1d91ebbd63bbfb6b8d","id-da0ef942863e4ab890b188dfc84fa7d0",""
"id-49a7714acbbf42ec937deb747e5a2f8e","CompositionRelationship","","","id-2eafb2dbeece4d1d91ebbd63bbfb6b8d","id-7ad95e9623404a57856b3e9b6db87240",""
"id-4be650f97ea14543a96a8a6c3c0a46e0","CompositionRelationship","","","id-2eafb2dbeece4d1d91ebbd63bbfb6b8d","id-51dca6f95d4046b3bbdd7aa3c97fb260",""
