"ID","Type","Name","Documentation","Source","Target","Specialization"
"bf275441","AccessRelationship","","","f17c1ee2","id-28127d3c",""
"id-4df4b06f","AccessRelationship","","","id-28127d3c","id-60126ff9",""
"f02d0675","AccessRelationship","","","id-2a2acb51","id-90edf38d",""
"id-0e26af62","AccessRelationship","","","id-7f377e42","id-58781a09",""
"id-9616bf9d","AccessRelationship","","","id-4ab31e72","id-4d46e1bd",""
"id-4846dd47","AssociationRelationship","","","c4c8b4d5","id-20711172",""
"fd93e9a0","AssociationRelationship","","","id-20711172","id-2be5cb44",""
"id-9c551a92","AssociationRelationship","","","id-2a80305c","id-7e3e6d14",""
"id-2c4ef493","AssociationRelationship","","","c4c8b4d5","b2637c43",""
"id-0043c916","AssociationRelationship","","","b2637c43","id-7e3e6d14",""
"a5804218","AssociationRelationship","","","id-2be5cb44","id-2a80305c",""
"id-266c50b1","AssociationRelationship","","","id-20711172","id-7e3e6d14",""
"id-9f448fe1","AssociationRelationship","","","c4c8b4d5","id-2a80305c",""
"dbe21b25","AssociationRelationship","","","c34689ec","id-1d0662a6",""
"ab55a3a1","AssociationRelationship","","","id-7c785184","id-1d0662a6",""
"id-93d7f1aa","AssociationRelationship","","","aee34c83","id-2b7b0027",""
"id-87c28a55","AssociationRelationship","","","d2b7ea48","id-2b7b0027",""
"id-0e75e786","AssociationRelationship","","","id-5a477731","d2f3d68c",""
"bf53d6dd","CompositionRelationship","","","id-60126ff9","id-20711172",""
"id-11edaa70","CompositionRelationship","","","id-60126ff9","id-7e3e6d14",""
"da675d09","CompositionRelationship","","","id-60126ff9","c4c8b4d5",""
"id-41201772","CompositionRelationship","","","id-60126ff9","b2637c43",""
"id-0aa50edc","CompositionRelationship","","","id-60126ff9","id-2a80305c",""
"id-8f68c4ca","CompositionRelationship","","","id-60126ff9","id-2be5cb44",""
"df1a6731","CompositionRelationship","","","f17c1ee2","id-68d40810",""
"e123023d","CompositionRelationship","","","f17c1ee2","dd0e0a6e",""
"id-91954520","CompositionRelationship","","","f17c1ee2","id-1f3c899c",""
"id-8d000bea","CompositionRelationship","","","f17c1ee2","id-90edf38d",""
"id-1065a559","CompositionRelationship","","","f17c1ee2","id-4d46e1bd",""
"id-93e8e7ea","CompositionRelationship","","","f17c1ee2","id-58781a09",""
"id-5c36cf9a","CompositionRelationship","","","id-90edf38d","c34689ec",""
"eb5a4ba4","CompositionRelationship","","","id-90edf38d","id-1d0662a6",""
"bd0f666c","CompositionRelationship","","","id-90edf38d","id-7c785184",""
"id-6c593774","CompositionRelationship","","","id-58781a09","aee34c83",""
"id-79df0c5c","CompositionRelationship","","","id-58781a09","id-2b7b0027",""
"id-24029903","CompositionRelationship","","","id-58781a09","d2b7ea48",""
"f81186ca","CompositionRelationship","","","id-4d46e1bd","id-5a477731",""
"id-14e6c1f5","CompositionRelationship","","","id-4d46e1bd","d2f3d68c",""
"b91dfec1","FlowRelationship","","","id-3e32097d","id-0a771cb5",""
"id-610e5ce5","FlowRelationship","","","id-3e32097d","id-8a44d2df",""
"id-646d47bc","FlowRelationship","","","d654281f","id-33aa2797",""
"id-34cd94cf","FlowRelationship","","","d654281f","id-95611dd6",""
"d3fc596a","FlowRelationship","","","id-788e1b8b","id-2d877919",""
"id-8894ef64","FlowRelationship","","","id-788e1b8b","c3268939",""
"id-53b15ff8","FlowRelationship","","","id-788e1b8b","ab8b5b00",""
"id-5409558b","FlowRelationship","","","id-788e1b8b","a3c98a1f",""
"id-90f2eab1","FlowRelationship","","","id-788e1b8b","id-7ad504d2",""
"id-03cf6743","TriggeringRelationship","","","id-3e32097d","eaacbeda",""
"ccc0a63c","TriggeringRelationship","","","d654281f","id-9ef546b7",""
"id-0ab92c52","TriggeringRelationship","","","id-788e1b8b","c5a1b9da",""
