"ID","Type","Name","Documentation","Source","Target","Specialization"
"dd68e55f","AssociationRelationship","","","id-15296e85","id-6861ab69",""
"id-179c1790","AssociationRelationship","","","id-15296e85","id-27cdd9bc",""
"id-557f29d3","AssociationRelationship","","","d28ad12d","id-131d46d2",""
"b6d19fa9","AssociationRelationship","","","id-5bc1aebd","id-15296e85",""
"dd35519b","AssociationRelationship","","","id-906e1365","id-0b61d68c",""
"id-7b2d2652","AssociationRelationship","","","id-15296e85","id-70ae674b",""
"d7d04387","AssociationRelationship","","","id-70ae674b","dee3b146",""
"cca5b19c","AssociationRelationship","","","id-6861ab69","id-906e1365",""
"id-8b24b733","AssociationRelationship","","","id-27cdd9bc","ca921aac",""
"a788ca99","AssociationRelationship","","","id-131d46d2","id-5bc1aebd",""
"e37f1ad6","AssociationRelationship","","","id-3bd509df","id-796bea66",""
"bcd78d4c","AssociationRelationship","","","id-275e5e84","id-3bd509df",""
"id-52fe9481","AssociationRelationship","","","id-3bd509df","ee5b7e67",""
"id-17b1109d","AssociationRelationship","","","id-3bd509df","ebc7e90b",""
"id-45795757","AssociationRelationship","","","id-796bea66","id-267db0b4",""
"id-2da38c55","AssociationRelationship","","","dee3b146","id-4dc1171a",""
"id-9ee173de","AssociationRelationship","","","ca921aac","f4ba3365",""
"f5c37dd2","AssociationRelationship","","","id-3f369c39","id-50ff08cd",""
"id-146a3c69","AssociationRelationship","","","id-3dbbf43e","a8c3f906",""
"cced81eb","AssociationRelationship","","","id-3b535dc6","id-6a0cce40",""
"id-6efd8571","AssociationRelationship","","","a876f8f3","feb23efe",""
"id-4131c4a4","AssociationRelationship","","","id-275e5e84","a03cd844",""
"ec4f2b2a","AssociationRelationship","","","ee5b7e67","id-2718b58f",""
"abdca007","AssociationRelationship","","","ebc7e90b","e7aea970",""
"id-6c545d32","FlowRelationship","","","id-131d46d2","id-5bc1aebd",""
"id-6708559d","FlowRelationship","","","d28ad12d","id-131d46d2",""
"id-01cd30a7","FlowRelationship","","","dee3b146","id-70ae674b",""
"id-393a3475","FlowRelationship","","","id-27cdd9bc","ca921aac",""
"id-2388f03e","FlowRelationship","","","id-6861ab69","id-906e1365",""
"ed5404b4","FlowRelationship","","","id-906e1365","id-0b61d68c",""
"eb2e264e","FlowRelationship","","","id-4dc1171a","dee3b146",""
"id-19fff7ea","FlowRelationship","","","ca921aac","f4ba3365",""
"id-1b04c065","FlowRelationship","","","ebc7e90b","a876f8f3",""
"c039a1b7","FlowRelationship","","","id-3dbbf43e","ee5b7e67",""
"id-1c35ab11","FlowRelationship","","","id-796bea66","id-3b535dc6",""
"id-2ee6997e","FlowRelationship","","","id-3f369c39","id-50ff08cd",""
"id-1093357e","FlowRelationship","","","a8c3f906","id-3dbbf43e",""
"id-6a0c0e1c","FlowRelationship","","","id-50ff08cd","id-275e5e84",""
"id-2f3d25fa","FlowRelationship","","","a876f8f3","feb23efe",""
"d5271ce3","FlowRelationship","","","id-3b535dc6","id-6a0cce40",""
"dc17812e","FlowRelationship","","","feb23efe","a876f8f3",""
"ab0cd6dd","FlowRelationship","","","a876f8f3","ebc7e90b",""
"id-1e0dacc3","FlowRelationship","","","id-3b535dc6","id-796bea66",""
"a96e8542","FlowRelationship","free from specifc frameworks or technical jargon","","id-6a0cce40","id-3b535dc6",""
"id-720f632d","RealizationRelationship","","","id-3dbbf43e","id-2718b58f",""
"id-6c372344","RealizationRelationship","","","a876f8f3","e7aea970",""
"id-0450c75a","RealizationRelationship","App service free from specifc frameworks or technical jargon","","id-3b535dc6","id-267db0b4",""
"c26f592c","RealizationRelationship","The external resources must adapt to the interfaces","","id-50ff08cd","a03cd844",""
