"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-9a7cbca040e94fd69b02ccfeef8db3df","AssignmentRelationship","","","id-f3b910b4ca6941d1994a8c08abc3fa70","id-995364cf31f54a278a1418e250036044",""
"id-7ea12d316b61408f812b1aa3b5b95661","AssignmentRelationship","","","id-f3b910b4ca6941d1994a8c08abc3fa70","id-4152e0c00d344e03af302a4c75a5d4d3",""
"id-eecebe6900e84bbd8d56a6d0c40c3e46","AssociationRelationship","","","id-e174762e1cf14f6c98e5d0c68efc6eb1","id-19ee1c4c1e064a3fa0748476d8482983",""
"id-ac1b526ffdb546f29cbf1f2b7bd0a2fc","AssociationRelationship","","","id-19ee1c4c1e064a3fa0748476d8482983","id-645b88e70ab345a4b58f437a34c504a1",""
"id-94d36160c213471293ec99516800194f","AssociationRelationship","","","id-ce7765abb42f40d39143dcbfb2ffc02e","id-2d72a2693b5e45e998620a8a0e96f06a",""
"id-6fe79698c7944cb983e6401fa90d48ee","AssociationRelationship","","","id-7266feb8e09640a3811497cf9029fd69","id-645b88e70ab345a4b58f437a34c504a1",""
"id-a750ce2bf8b8423eaf87003a13c55037","AssociationRelationship","","","id-0cac0c6cff8049449f89eb0911a1a179","id-071fe9643e2344d192da30eb37ba0c17",""
"id-654809bc478440fe836037092eb526c1","AssociationRelationship","","","id-61a7b2ce146c43b0ad24afaa935a1da7","id-071fe9643e2344d192da30eb37ba0c17",""
"id-6a04b015d7f943c2a316cbfec2fbaf11","AssociationRelationship","","","id-17ae23afc95342e9a0a94bfcd258bc94","id-ce7765abb42f40d39143dcbfb2ffc02e",""
"id-ff184d9dca944bc1b5f7eab430760e1b","AssociationRelationship","","","id-79533f899f06492a94529a8b05e4dca2","id-021131b742114e3e8f5c258c71fbbc01",""
"id-820911482eec4247ae828a3fffe857c4","AssociationRelationship","","","id-e654f4276d784c7691589e33b5832518","id-17ae23afc95342e9a0a94bfcd258bc94",""
"id-54ec378070164c1da1c61e4916989631","AssociationRelationship","","","id-61a7b2ce146c43b0ad24afaa935a1da7","id-260d2ec7378a4a5581b403073e7572c5",""
"id-f2db4d10ca26428a9d989b68299d44c1","AssociationRelationship","","","id-2d72a2693b5e45e998620a8a0e96f06a","id-260d2ec7378a4a5581b403073e7572c5",""
"id-ee8dba53884f4f6fb28b2fcd9965ebe9","AssociationRelationship","","","id-e174762e1cf14f6c98e5d0c68efc6eb1","id-17ae23afc95342e9a0a94bfcd258bc94",""
"id-60888468691c4019bca9ec1cf7ea1216","AssociationRelationship","","","id-5dc1a98efe7a48d6ae2d20cb39ced94f","id-17ae23afc95342e9a0a94bfcd258bc94",""
"id-bf66848aae114175966512193f67fd10","AssociationRelationship","","","id-071fe9643e2344d192da30eb37ba0c17","id-cf23ea5b2dbd45cb91fb6881d31ff496",""
"id-c9c11b5a44e745d081d68e20c4217fda","AssociationRelationship","","","id-61a7b2ce146c43b0ad24afaa935a1da7","id-021131b742114e3e8f5c258c71fbbc01",""
"id-7a3525fd4e5c4735815b17f80082e06a","AssociationRelationship","","","id-19ee1c4c1e064a3fa0748476d8482983","id-047ff0aa811f4ef18e6009a4ebd85b53",""
"id-7fcb40afa9134fd8be2774c6df563af0","AssociationRelationship","","","id-61a7b2ce146c43b0ad24afaa935a1da7","id-047ff0aa811f4ef18e6009a4ebd85b53",""
"id-6e1021571955433bb692a31d78e652ea","AssociationRelationship","","","id-20c7b3c5f9174eedaa80e48b18e87320","id-19ee1c4c1e064a3fa0748476d8482983",""
