"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-06835f7a-245b-4323-9c3c-6dbfe83ac69b","AccessRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","id-8f496190-b941-402f-b281-b2a59019f6fd",""
"c571f4de-bf17-4efe-a6a9-15f770d5eb7f","AccessRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","id-23beebaf-a756-4620-a93b-6e4d67381a52",""
"id-94f60e98-5489-4b72-a912-03f8c5f585fd","AccessRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","id-8834324d-1673-4914-8c46-4cbcc0ca6fdd",""
"id-7c74371d-eb56-45e3-8814-d9e41b963712","AccessRelationship","","","id-7c368494-fd4f-49a9-8bc0-aa146ab5e88c","id-70693d2b-6b64-47ec-ad65-a9a94b43bb2c",""
"id-6511cce1-f388-4768-a82b-5fbb85cb452a","AccessRelationship","","","id-7c368494-fd4f-49a9-8bc0-aa146ab5e88c","ebe4431c-f97c-419a-b0c1-46da8c18e011",""
"d0e98e0c-fe40-4e66-9631-98cec8fb4b66","AccessRelationship","","","id-7c368494-fd4f-49a9-8bc0-aa146ab5e88c","id-60225d76-00a7-49fd-92f4-544856c4ab86",""
"a96800c3-0922-4cb7-908f-e0ac0aaa1e96","AssignmentRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","id-18938d92-12f6-4a39-aead-ab01efae0f2d",""
"ebbc7c89-581b-4294-a71e-ba7bfec72309","AssignmentRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","e0d56197-52cf-4cbd-a6fa-0db155f9f7af",""
"bb8047e4-45ac-45b9-8933-824168d7f60c","AssignmentRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","id-6101dff4-ba62-4169-a5e4-ac583b9c4c56",""
"db272cff-6e21-46b7-8fea-06dfcb2581fa","AssignmentRelationship","","","b6a41168-75ad-49b8-a566-bd25091242e8","eecf1dca-3c31-4906-b66a-620fba48db5a",""
"id-7fb164f3-f066-4297-8374-8c4b7377af4e","AssignmentRelationship","","","id-5d65e795-dba2-4bf8-8aed-9a7abec57836","df90ccd1-bbb2-4640-b583-c4d0f333e935",""
"db65393f-ff95-4a6d-9e47-412396d8288b","AssignmentRelationship","","","f144e054-12d0-4ed8-ae57-a233e1de29b1","id-26a80d55-0a75-428b-a2f9-08dc1db5b94c",""
"b0614c08-2681-4386-84ae-bbcb1862e5dd","AssignmentRelationship","","","id-92322e0d-beed-4df2-b8a3-72309d5beba9","cdef99ad-8d80-4719-bd7a-677c0be4e813",""
"fa22bd0c-d8f9-4aff-a1fc-4aab36db4d58","AssignmentRelationship","","","feaf9095-2cb7-4995-ada4-54e4729f45df","a064f3c0-dfbf-45db-b19e-7b9f59721427",""
"af94377e-89a4-487a-a3b1-da74ea02ead5","AssignmentRelationship","","","id-7c368494-fd4f-49a9-8bc0-aa146ab5e88c","id-2cdd3986-b341-4fe5-b74c-dae63beadc11",""
"id-3a8f40d5-cb10-4ef3-90dc-f109e381a714","AssignmentRelationship","","","id-479f67c6-71ba-4ebf-919f-0d66b86571c3","f9464959-82f1-4c93-8073-c29312d49902",""
"id-5ae47a31-a626-416a-8446-87477c035c52","AssignmentRelationship","","","id-7c368494-fd4f-49a9-8bc0-aa146ab5e88c","a22ca9a3-6845-4a75-9230-00168ec1efe1",""
"id-718fd285-8da1-4bb1-a65e-847ca69f8a05","AssignmentRelationship","","","id-7c368494-fd4f-49a9-8bc0-aa146ab5e88c","a1e6411e-785b-427e-8848-b820dbec301c",""
"id-7a2b6268-cd10-42de-b81e-4d135474d63b","AssociationRelationship","","","id-8f496190-b941-402f-b281-b2a59019f6fd","b6a41168-75ad-49b8-a566-bd25091242e8",""
"f05767e0-533c-403a-8646-e4fee73279cf","AssociationRelationship","","","id-23beebaf-a756-4620-a93b-6e4d67381a52","id-5d65e795-dba2-4bf8-8aed-9a7abec57836",""
"id-4f1e375c-46c8-4429-98d0-d1808aa760af","AssociationRelationship","","","id-8834324d-1673-4914-8c46-4cbcc0ca6fdd","f144e054-12d0-4ed8-ae57-a233e1de29b1",""
"id-6f50e664-6bb6-49aa-8f6c-e6b1b7b4d32d","AssociationRelationship","","","id-70693d2b-6b64-47ec-ad65-a9a94b43bb2c","feaf9095-2cb7-4995-ada4-54e4729f45df",""
"dda4acae-f180-4aa4-a1ee-dc2e19851be9","AssociationRelationship","","","id-60225d76-00a7-49fd-92f4-544856c4ab86","id-479f67c6-71ba-4ebf-919f-0d66b86571c3",""
"c5a82400-c975-4003-ba0e-7a1b1223219d","AssociationRelationship","","","ebe4431c-f97c-419a-b0c1-46da8c18e011","id-92322e0d-beed-4df2-b8a3-72309d5beba9",""
"id-99a89f70-9abd-42bc-ac23-f141a9d44252","FlowRelationship","","","id-18938d92-12f6-4a39-aead-ab01efae0f2d","eecf1dca-3c31-4906-b66a-620fba48db5a",""
"id-8e2038ac-7103-43fb-ab1f-a050b34458b2","FlowRelationship","","","e0d56197-52cf-4cbd-a6fa-0db155f9f7af","df90ccd1-bbb2-4640-b583-c4d0f333e935",""
"id-7bf5fcd5-9c34-49be-b1fb-f79074515f8c","FlowRelationship","","","id-6101dff4-ba62-4169-a5e4-ac583b9c4c56","id-26a80d55-0a75-428b-a2f9-08dc1db5b94c",""
"id-12f03759-cf8a-4133-a4e2-4c5d1133d5b5","FlowRelationship","","","a1e6411e-785b-427e-8848-b820dbec301c","cdef99ad-8d80-4719-bd7a-677c0be4e813",""
"id-9ab132f0-f16c-4470-9989-25176a8d5669","FlowRelationship","","","id-2cdd3986-b341-4fe5-b74c-dae63beadc11","a064f3c0-dfbf-45db-b19e-7b9f59721427",""
"ed7698f9-c997-4fd4-8391-63b5f24bc213","FlowRelationship","","","a22ca9a3-6845-4a75-9230-00168ec1efe1","f9464959-82f1-4c93-8073-c29312d49902",""
"id-943e8a5e-3921-4017-884e-fcb6961c0125","RealizationRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","id-60096ad5-0927-4b8d-840a-8cdd5bbccd4b",""
"a4a42660-dbbb-436f-90de-58c2aa11b26e","RealizationRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","a3389527-ee7c-4a80-878e-e87ea7078e2a",""
"b7be9484-7783-4f70-a77d-d42cfb6cb339","RealizationRelationship","","","id-6c664ac3-1fea-409a-a51c-fc8f7ee76b69","a761f745-75df-4ada-94f0-994d28e1371b",""
"id-11fc4894","ServingRelationship","","","id-16614440","id-234ee456",""
"id-0edd63f4","ServingRelationship","","","id-094e5326","id-234ee456",""
"id-6fa9f3d7","ServingRelationship","","","id-4c46e3f3","id-7ff10f7a",""
"id-0d9597c7","ServingRelationship","","","id-777bdf70","id-7ff10f7a",""
"id-9d06d7c1","ServingRelationship","","","ea819aef","d27db187",""
"ab629cd4","ServingRelationship","","","aae699da","d27db187",""
"id-416739d3","ServingRelationship","","","id-7ff10f7a","id-094e5326",""
"d67ec4bd-ee5c-45cd-8485-a3b1fe9944d7","ServingRelationship","","","id-60096ad5-0927-4b8d-840a-8cdd5bbccd4b","id-3c30c966-50de-4386-9e58-72e09222d5ba",""
"id-0eb7487d-1e78-4176-8e92-9eadfafd3397","ServingRelationship","","","a3389527-ee7c-4a80-878e-e87ea7078e2a","id-7bcaa0a7-e65c-4fe4-8c71-4d40ffd83119",""
"id-1f83d245-ad97-496a-b286-d2338801206e","ServingRelationship","","","a761f745-75df-4ada-94f0-994d28e1371b","id-562b60f7-18bb-4aee-8356-3748e556b59d",""
"id-27448ad1","ServingRelationship","access between the layers only through facades","","id-234ee456","b11916b6",""
"d8555ef7","ServingRelationship","access between the layers only through facades","","id-7ff10f7a","id-16614440",""
"bd101cda","ServingRelationship","access between the layers only through facades","","d27db187","id-4c46e3f3",""
"id-1852f1a4","ServingRelationship","use some methods of classes","","bbc56006","id-234ee456",""
"id-5e3d46f7","ServingRelationship","use some methods of classes","","id-96517add","id-7ff10f7a",""
"edff22fd","ServingRelationship","use some methods of classes","","id-9a601a94","d27db187",""
