"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-a8535e37-bf81-4241-a6db-2b59ccc02a39","AccessRelationship","","","id-2e597388-29de-43d4-a670-d3337b572e68","id-bf6fe7b8-3fbe-4e7c-93d9-a6c98d41e910",""
"id-b0729c5d-266c-4925-81c7-73db2ba58f92","AggregationRelationship","","","id-76397957-c80a-47c7-bdb5-d5e13b546f13","id-12972213-d5e0-4afc-80ec-e82dc1b25571",""
"id-b4e2ae16-80af-4c47-b195-5879ab71c5bb","AggregationRelationship","","","id-76397957-c80a-47c7-bdb5-d5e13b546f13","id-fea81f9f-3834-42cb-91c9-6dcfa44fc396",""
"id-3b78be7c-1969-4cb2-8497-f4e4e6f50007","AggregationRelationship","","","id-73adedbe-2274-4df8-8785-1c1559173445","id-fea81f9f-3834-42cb-91c9-6dcfa44fc396",""
"id-c9dcc911-00e8-4ea7-a8ab-e9b664e41dc6","AggregationRelationship","","","id-73adedbe-2274-4df8-8785-1c1559173445","id-f7d94886-8bec-4b2d-abdb-b2402cf892a8",""
"id-2ddda6bd-6df4-494b-bb15-e2b29502a61a","AssignmentRelationship","","","id-8a642528-990a-4d5b-b4c5-7e240a83c21f","id-dee3af79-9646-423d-a7f9-6ec56256c7ef",""
"id-12fe5d58-c3a4-4186-8c3c-5b61bddcb26d","AssignmentRelationship","","","id-8a642528-990a-4d5b-b4c5-7e240a83c21f","id-24dc08d6-f1b0-447f-afb6-ee1862be75bf",""
"id-798d4e5b-ff03-43bc-aef0-9f9ff2ea0f99","AssignmentRelationship","","","id-286d2c61-3749-468c-a5f3-f65a5b652c62","id-39193bbc-b643-4efd-a819-76bc4cc1fa5a",""
"id-bd14b909-95ca-4f3e-8eca-40f5dbba38b8","AssignmentRelationship","","","id-415af5c2-eb00-4685-a070-c60f084a0ba7","id-12972213-d5e0-4afc-80ec-e82dc1b25571",""
"id-1177672b-0ce7-4efc-8373-a5645742a47a","AssignmentRelationship","","","id-ec5d46ae-b161-4695-af34-e5a54eef2d0f","id-fea81f9f-3834-42cb-91c9-6dcfa44fc396",""
"id-19e17139-4696-418e-b9c4-a2e7e3445bb0","AssignmentRelationship","","","id-b1eca5b3-2db9-4e1b-b3f4-3bf2a5841eb8","id-f7d94886-8bec-4b2d-abdb-b2402cf892a8",""
"id-a59c63a9-cdf0-44e0-8360-ef08e7abfda5","AssignmentRelationship","","","id-63b4c4bd-33a8-405e-8ba6-c36762c9b90c","id-2a5cce06-939d-4fda-a496-136c0263154a",""
"id-e6ba1b89-e7ad-4ac4-a279-febf1fc3f8b2","AssignmentRelationship","","","id-63b4c4bd-33a8-405e-8ba6-c36762c9b90c","id-84566c63-425c-4091-b771-7c4190be398a",""
"id-f65465b0-0275-4d5a-acde-9bcce2dd51d6","AssignmentRelationship","","","id-63b4c4bd-33a8-405e-8ba6-c36762c9b90c","id-2e597388-29de-43d4-a670-d3337b572e68",""
"id-0d544540-9d11-4720-9bcf-b90284986714","CompositionRelationship","","","id-39193bbc-b643-4efd-a819-76bc4cc1fa5a","id-ce4fa72f-2253-4596-a10a-5ae8fb812ffd",""
"id-5a3cc17e-32b2-4b65-937c-6cc7661c0f89","CompositionRelationship","","","id-8a642528-990a-4d5b-b4c5-7e240a83c21f","id-286d2c61-3749-468c-a5f3-f65a5b652c62",""
"id-8331c82e-2060-41f1-b40b-f05c8cc2192e","CompositionRelationship","","","id-39193bbc-b643-4efd-a819-76bc4cc1fa5a","id-48c6a20d-c7aa-4aec-9c11-34f0bd8ba459",""
"id-8755a111-ac99-4e3c-add4-68ef5c530f93","CompositionRelationship","","","id-2e597388-29de-43d4-a670-d3337b572e68","id-5065a006-6b92-421f-a2b7-f172bf2bd861",""
"id-40a15135-5b76-42f5-85de-22dfb0eec7f9","CompositionRelationship","","","id-2a5cce06-939d-4fda-a496-136c0263154a","id-b933f81b-353c-4fa6-b476-5eb2b081c501",""
"id-4ac50fa2-cc41-4b1a-80cb-ae29efa80710","CompositionRelationship","","","id-2e597388-29de-43d4-a670-d3337b572e68","id-295d8c8b-d049-4fce-aec7-110c8334aa95",""
"id-f93a892c-baf2-48a9-bac3-b95ec8c70558","CompositionRelationship","","","id-84566c63-425c-4091-b771-7c4190be398a","id-13694be0-ffd4-4464-bada-7dd427739ddd",""
"id-79bcc850-039a-4c7d-81c1-5335afcec771","RealizationRelationship","","","id-24dc08d6-f1b0-447f-afb6-ee1862be75bf","id-ce4fa72f-2253-4596-a10a-5ae8fb812ffd",""
"id-5a9a2ce9-f103-43e9-805c-02cc9a587247","RealizationRelationship","","","id-dee3af79-9646-423d-a7f9-6ec56256c7ef","id-48c6a20d-c7aa-4aec-9c11-34f0bd8ba459",""
"id-9720f49d-cfb5-4330-967e-b65287ebc3e6","RealizationRelationship","","","id-b933f81b-353c-4fa6-b476-5eb2b081c501","id-dfe96dd5-2fe8-4c43-8824-5d9c61f9f03d",""
"id-43bd7394-7466-4159-8e65-ad5631b1e6bb","RealizationRelationship","","","id-84566c63-425c-4091-b771-7c4190be398a","id-3b4f2afb-965a-4f10-883f-aa483abaf2e5",""
"id-d5e153e8-6fc4-4fb1-83e4-35dd7dba063f","RealizationRelationship","","","id-84566c63-425c-4091-b771-7c4190be398a","id-50593649-e9b7-4407-ab9e-0920c6242a1e",""
"id-bfd44e06-3c08-4b4c-849d-1cb84353f4cf","ServingRelationship","","","id-50593649-e9b7-4407-ab9e-0920c6242a1e","id-24dc08d6-f1b0-447f-afb6-ee1862be75bf",""
"id-0658d1ec-7e29-4ff4-b17d-465ccfe81449","ServingRelationship","","","id-3b4f2afb-965a-4f10-883f-aa483abaf2e5","id-24dc08d6-f1b0-447f-afb6-ee1862be75bf",""
"id-57566de4-5bde-4405-898a-739ed97f2e7c","ServingRelationship","","","id-3b4f2afb-965a-4f10-883f-aa483abaf2e5","id-dee3af79-9646-423d-a7f9-6ec56256c7ef",""
