"ID","Type","Name","Documentation","Source","Target","Specialization"
"b73f6b9e","AccessRelationship","","","id-19969c4f","c9e577b5",""
"baa87fcf","AssignmentRelationship","","","dd755bd1","id-317ccf09",""
"b01c9100","AssociationRelationship","","","dd755bd1","id-2271c78c",""
"id-0a276915","AssociationRelationship","","","dd755bd1","id-2271c78c",""
"id-619391af","AssociationRelationship","","","id-87fcf0ef","id-79110164",""
"cfa56d73","AssociationRelationship","","","id-79110164","id-675ae068",""
"id-1ff73a32","CompositionRelationship","","","id-19969c4f","id-675ae068",""
"id-2f64f37a","CompositionRelationship","","","id-19969c4f","bba2bfb5",""
"f23f859f","CompositionRelationship","","","id-19969c4f","id-662a04f2",""
"bef4e237","FlowRelationship","","","id-675ae068","bba2bfb5",""
"id-24151746","FlowRelationship","","","bba2bfb5","id-662a04f2",""
"b819413d","FlowRelationship","","","id-87fcf0ef","id-675ae068",""
"id-570c4c87","ServingRelationship","","","id-87fcf0ef","id-317ccf09",""
"id-2f67c375","TriggeringRelationship","","","id-2271c78c","id-675ae068",""
"id-18e702db","TriggeringRelationship","","","id-87fcf0ef","id-675ae068",""
