"ID","Type","Name","Documentation","Source","Target","Specialization"
"ef8bde45-eb2f-43ce-a646-2e9108a07d57","AccessRelationship","","","id-5162a26e-1c08-4b30-847d-034bcfdc25b6","c7feb62d-43d4-4641-a048-91cf746ba676",""
"id-9fd292b3-deda-4a21-ad53-14d0572a33ed","AccessRelationship","","","id-5162a26e-1c08-4b30-847d-034bcfdc25b6","id-3c318620-b2b4-441f-af2c-bcda2d24119c",""
"ccc78299-8288-4438-b7ec-8dd31360ce7e","AccessRelationship","","","id-5162a26e-1c08-4b30-847d-034bcfdc25b6","edf8010f-65b8-42d0-aed9-545d20a73195",""
"id-3414b1a4-2d76-4650-865a-45d6d1158369","AccessRelationship","","","id-4bd63e12-7987-43be-a09c-37aa397c84b4","c6270e63-2e3c-478b-8e26-34935c9cdaa1",""
"id-7df2d7f3-8c71-48e4-bc1e-6ed1b6893cfa","AccessRelationship","","","id-69b00a4b-6f21-42bd-8f56-5caae9dec528","c7feb62d-43d4-4641-a048-91cf746ba676",""
"beeb24de-45bb-4618-a401-c4f6ac441c5b","AccessRelationship","","","id-4bd63e12-7987-43be-a09c-37aa397c84b4","bfe04ae9-bfff-465d-a68c-9b15759de43f",""
"cba3bf72-ace0-483f-9f68-de962f6bdecf","AccessRelationship","","","id-421e6625-d59b-4122-a738-500ce235773d","edf8010f-65b8-42d0-aed9-545d20a73195",""
"id-8fca3afc-355d-41c6-b081-6f308889fd34","AccessRelationship","","","id-421e6625-d59b-4122-a738-500ce235773d","id-782fd644-a657-408a-98a3-9a91c2c78952",""
"bbd6f711-86db-4663-bb5c-0559096b5601","AccessRelationship","","","id-421e6625-d59b-4122-a738-500ce235773d","c6270e63-2e3c-478b-8e26-34935c9cdaa1",""
"id-8950d0a8-cb4e-4079-b0d4-6cf9ea996564","AccessRelationship","","","id-5253a6be-ecab-4d66-addf-8cd77363d3ee","id-3c318620-b2b4-441f-af2c-bcda2d24119c",""
"id-811ed3bf-6a97-42b5-8b87-b9e42cf2a222","AccessRelationship","","","id-5253a6be-ecab-4d66-addf-8cd77363d3ee","id-782fd644-a657-408a-98a3-9a91c2c78952",""
"id-5d6a76da-5df6-40aa-b6a0-1c3caf1da7df","AccessRelationship","","","id-5253a6be-ecab-4d66-addf-8cd77363d3ee","bfe04ae9-bfff-465d-a68c-9b15759de43f",""
"id-8e43b5be-f25b-4406-a660-dd4f8b6c9d63","AccessRelationship","","","dc82e1dd-b2e6-4829-84a4-e179ce96c0a0","c6270e63-2e3c-478b-8e26-34935c9cdaa1",""
"id-44aa4c80-adbf-43b2-b0fe-26870872e41a","RealizationRelationship","","","f663b0e3-1e5a-481f-9f16-81004baf141e","id-8d96fced-0ead-4f91-a50f-621e1efd62bd",""
"id-4a4b237e-8061-4bd9-a9ae-e4bfb6a147b8","RealizationRelationship","","","id-92939c5c-ee02-4127-9d99-6e09f4a1d6f5","id-0f1f7299-dcda-40db-93f1-25e63dfa3510",""
