"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-9f34e232-cfcb-4a23-b806-6f7034f0a64b","AccessRelationship","","","be5c3229-e6db-4228-8039-37b24bc7c574","eb1bb7c3-d2a9-4956-b2a1-0176e828b82b",""
"id-851ec6c4-a75f-4098-a407-98898b96bb3a","AccessRelationship","","","id-461c73a6-481f-47b1-8d2e-e953c7c8dc19","id-5c572dbc-14fe-46d8-b890-6f72def16231",""
"ba4a3a1f-60b0-4eb4-8013-2dfb1b81d38e","AccessRelationship","","","id-9d29a09b-eefd-4f1b-aadf-b7c7f544d814","id-5b24f7d7-e729-4666-a003-89705d02128b",""
"ebb8d47a-6cd9-435e-9f56-51e1b4561b3a","AccessRelationship","","","c15466e1-ba33-4583-a272-0cc230e4d22a","eb1bb7c3-d2a9-4956-b2a1-0176e828b82b",""
"fb57ca42-0212-493a-8c9b-05838aa732b4","AccessRelationship","","","a6a4a61e-0826-4771-a14e-f658ef1601c4","daa0e429-8050-40c6-9821-bcd585eaf54a",""
"id-48da4e81-7527-4e55-90d9-8d57af02b4e0","AccessRelationship","","","c15466e1-ba33-4583-a272-0cc230e4d22a","id-3a2fa6ed-3b8e-4e82-b734-6b59d3d8a836",""
"e19acdc4-5b57-4a9a-8f70-4dc0a098928e","AccessRelationship","","","id-7c393162-3f34-491c-ab3b-0f0b4cb16979","af43549c-83ba-4e73-ada4-305d7d4b2d71",""
"id-6ffb82d9-4ec6-4168-baf6-6d61105694f0","AccessRelationship","","","id-7b5eabb0-9d11-4a65-8691-e94f28644e0c","af43549c-83ba-4e73-ada4-305d7d4b2d71",""
"cb343716-ab4c-4737-a969-938717f59d6b","AccessRelationship","","","id-815f2282-279a-4bfc-ae85-2ba547fe548b","id-59664cf8-7f85-4820-b747-63759cc70c17",""
"baeb3fca-7d11-4831-9d14-0391b210109e","AccessRelationship","","","ab02ac2e-d6bc-4bb7-8428-426007f792b8","id-6838d660-0c98-4dc6-95c5-cee4cd74e13c",""
"id-92e3c71e-c164-4a65-9a3e-f3bf6b6c06bc","AccessRelationship","","","a6a4a61e-0826-4771-a14e-f658ef1601c4","id-5f81c817-8377-4fb5-a123-8a66f39bffac",""
"id-05e42f81-10b0-44f0-a6ed-4f5aead4d272","AccessRelationship","","","fd1c84be-0e0a-4689-bd2f-1775322e7c00","bf460f27-25aa-43c9-8f11-d4d9bdd09a72",""
"id-6197fb6f-7bc7-49ab-ae12-6404abd5833f","AccessRelationship","","","id-621beda2-7cc0-4ac9-8eb1-4873e1c10e6d","d7a6844b-9755-40c2-a1e0-b9c1060c9fe9",""
"d7aeb2aa-6d6d-4d39-920b-3ab98a2bd742","AccessRelationship","","","be5c3229-e6db-4228-8039-37b24bc7c574","d7a6844b-9755-40c2-a1e0-b9c1060c9fe9",""
"id-8aae2227-4dcf-4434-a391-7e848133af1b","AccessRelationship","","","id-621beda2-7cc0-4ac9-8eb1-4873e1c10e6d","eb1bb7c3-d2a9-4956-b2a1-0176e828b82b",""
"id-7411553d-5ab2-463a-aee7-d456e860b217","AccessRelationship","","","f467e322-c92c-4ff3-ae67-08c2545b8a67","id-92eaee06-5d7e-4b7c-826d-eb2a0490acdc",""
"ed0c1ed5-9512-4aa9-9019-c39b317332da","AccessRelationship","","","f467e322-c92c-4ff3-ae67-08c2545b8a67","fc068e91-ca5e-419c-a7af-14fabfca32dc",""
"id-8125449b-ee3c-4bd7-a967-a7729156af43","AccessRelationship","","","be5c3229-e6db-4228-8039-37b24bc7c574","id-96e79028-1e86-4425-897c-2dbf7b1fd32a",""
"id-1afc7410-cd5e-4916-a998-843730413084","AccessRelationship","","","be5c3229-e6db-4228-8039-37b24bc7c574","id-0b32c9b3-a87e-41e3-8a98-98e8c6a0a60c",""
"id-6bce2663-d985-4079-b88e-d7e80575caaa","AccessRelationship","","","d148425a-3230-44a9-a161-c46fada4a1fb","f847f585-95a3-45d7-afb0-1a84c785606f",""
"c13f980c-f0fc-4290-857e-df9b1ed23dd9","AccessRelationship","","","e6828da4-ea6b-4b9f-bdf9-8b7f42ffc39d","e1a3d1cf-876b-4fcf-a872-7500bc38813c",""
"id-868c57e4-1d06-46e3-b839-213a58a78d42","AggregationRelationship","","","id-72d64636-896d-4426-8bda-d48183356432","id-69cb6990-2da4-4061-8257-703882f40a42",""
"c8903139-fe9b-42b0-9c0b-50420a590ab2","AssignmentRelationship","","","fd1c84be-0e0a-4689-bd2f-1775322e7c00","id-9d29a09b-eefd-4f1b-aadf-b7c7f544d814",""
"id-693ffb7e-5c21-4ac8-9a60-7c8385c93727","AssignmentRelationship","","","c26520b5-d2a9-4c0c-a38b-94bc9d7c0feb","a6a4a61e-0826-4771-a14e-f658ef1601c4",""
"a3c0ea73-a9b2-461e-b62f-0e18ca3cb316","AssignmentRelationship","","","be5c3229-e6db-4228-8039-37b24bc7c574","id-486ca0a3-1c8e-4c11-ae3c-b745beb11780",""
"e2bfcb0d-8bae-4a01-bf8f-0076ce2eb2d3","AssignmentRelationship","","","id-8c575c73-a958-44e3-8bcd-2b397149b9db","id-25c6a22f-3ddc-4b40-be50-26b9c7fe319f",""
"ae34daa3-6b98-41e7-b8cf-1f86cc55d604","AssignmentRelationship","","","be5c3229-e6db-4228-8039-37b24bc7c574","ab02ac2e-d6bc-4bb7-8428-426007f792b8",""
"id-921bef95-6f7c-479a-8cbd-4a3a44f18305","AssignmentRelationship","","","fa9aeb46-dc8f-4cd6-821d-22c2677d1378","id-8f97a6de-4538-4954-a6f0-15b6fa3a3ab8",""
"id-33cd94e6-69dd-4480-a542-8fdfeb821119","AssignmentRelationship","","","id-8c575c73-a958-44e3-8bcd-2b397149b9db","id-056c87f6-0a29-49f0-bdcf-a1081709078f",""
"id-8e1097f0-f0da-4101-93f8-42120674c96b","AssignmentRelationship","","","id-1af0b79b-7823-4211-ac96-1430784dee5a","id-7c65ef42-c30f-4117-8c38-d69d1c5c066c",""
