"ID","Type","Name","Documentation","Source","Target","Specialization"
"ef7c7131","AccessRelationship","","","id-30f6f306","id-95b29747",""
"b22c86ed","AccessRelationship","","","d0d8b0b1","id-95b29747",""
"id-91a70855","AccessRelationship","","","id-5b5db0e3","id-99ac75bc",""
"id-964c0efa","AccessRelationship","","","f4470149","id-99ac75bc",""
"ffcbb260","AccessRelationship","","","id-782a77c2","id-0dd86929",""
"id-1d39c2b2","AccessRelationship","","","id-1d21e797","id-0dd86929",""
"id-0abd58ae","AccessRelationship","","","id-5684b656","id-99ac75bc",""
"be43908b","AccessRelationship","","","id-9af48a73","id-95b29747",""
"id-5757517f","AggregationRelationship","","","id-6a2b8bb5","id-9af48a73",""
"id-16d4f9a2","AssignmentRelationship","","","id-5684b656","id-38f9e49a",""
"id-930e60f7","AssignmentRelationship","","","id-5684b656","id-2fe8723b",""
"id-0a955442","AssignmentRelationship","","","id-9af48a73","c02e1c51",""
"id-0079dc00","AssignmentRelationship","","","id-9af48a73","d0d8b0b1",""
"d1ca01ce","AssociationRelationship","","","id-5684b656","id-99ac75bc",""
"id-6fdb44d7","AssociationRelationship","","","id-9af48a73","id-95b29747",""
"a859cf83","AssociationRelationship","","","id-0dd86929","id-9af48a73",""
"id-63526e5d","CompositionRelationship","","","c02e1c51","id-30f6f306",""
"b23d7001","CompositionRelationship","","","d0d8b0b1","fb7db355",""
"a79b23e2","CompositionRelationship","","","id-38f9e49a","id-5b5db0e3",""
"aabb88c3","CompositionRelationship","","","id-38f9e49a","id-5ae1acb2",""
"id-80949249","CompositionRelationship","","","id-2fe8723b","f4470149",""
"id-8b2b375e","CompositionRelationship","","","id-38f9e49a","id-96eabd75",""
"a099918b","CompositionRelationship","","","id-2fe8723b","id-0626e6f3",""
"id-19c4c5e3","FlowRelationship","","","id-5b5db0e3","id-5ae1acb2",""
"f7ce016d","FlowRelationship","","","id-5b5db0e3","c02e1c51",""
"a5ed088f","FlowRelationship","","","f4470149","d0d8b0b1",""
"id-698282e2","FlowRelationship","","","f4470149","id-0626e6f3",""
"id-5f4fdf6f","FlowRelationship","","","id-782a77c2","e378495c",""
"id-40eb5f2b","FlowRelationship","","","e378495c","id-1d21e797",""
"id-16995498","ServingRelationship","","","id-38f9e49a","id-782a77c2",""
"id-4d7067ba","ServingRelationship","","","id-5ae1acb2","id-782a77c2",""
"id-9334dd54","ServingRelationship","","","id-2fe8723b","id-1d21e797",""
"id-4b161f85","ServingRelationship","","","id-9af48a73","id-5684b656",""
