"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-bcacc55053d943639a0e9c371e3f0ce6","AccessRelationship","","","id-95d7183116b5466b968f73aa9fcb03ed","id-a2820430076b49c48cae8f2855477e49",""
"id-54ff040954b9403793a042466c70b89c","AccessRelationship","","","id-4d1c345a4eb44e229c2e7c7cb24fdcfb","id-a2820430076b49c48cae8f2855477e49",""
"id-b1ce4a00e8154fda9215389e8c05df6a","AccessRelationship","","","id-d55f98356feb433287f5ac0eec792229","id-d68ab3fabc474c49800bb7925453fd59",""
"id-a71b16b898ff4200a3717e8279fe6463","AccessRelationship","","","id-f2c386790eed4d5d934ca2d4918b5ade","id-793cb662b2474913bebeb5b85a3b90c6",""
"id-fdb22baf570244c1bb7b2dc446a2646a","AccessRelationship","","","id-17be41134ae842779b20bec9383deb3d","id-33129a4436814b5982cc63dfdb0f2706",""
"id-a751373576a1466a8806f477fccdcfbd","AccessRelationship","","","id-17be41134ae842779b20bec9383deb3d","id-42e96d627c2a426681c3d866c935c7ed",""
"id-c4f955df76184217a07e5ba04ef93a23","AccessRelationship","Acesso","","id-b47c0c3d378f4886ac48ce3473b8bff9","id-aceb6eae3bbd4989940dbfc45a31c5d0",""
"id-2138a45650174ada823064fd63a351c9","AccessRelationship","Acesso","","id-c0a506882e9c4c299eea50af75e54597","id-73f502ee832c4d3aa52b4428bbfcec78",""
"id-83d3f71dd0b547ac87334b7b51904440","AccessRelationship","Acesso","","id-e07a2209b1a54bd893cf77935b5dbb47","id-3a15eee927024156ad34540ddf748a4a",""
"id-ca5b799b20fa499ba19800ac5d0366fc","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-4b8f0a66a00d49ce944f4854cfdc26de",""
"id-32160fce9b354d8eb703ed45d604cb94","AggregationRelationship","","","id-9de9ed4d8687428da4706641982d0003","id-60c911c732074aec81f26e283d08cb27",""
"id-c8550fd9b93c40d68d1411a9e306bc7d","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-3247a58ef74f469287fd82e76c3d8e20",""
"id-721b45c581964807a7ccd6c7e18c51d5","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-39d24148dcb84cb9b4fd2a04ef880f90",""
"id-ab760b742c354ec1ace2a3d239ec7222","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-d45bd7ee4fdf44d290361bec816d3369",""
"id-57432e2fc2024ca7bdea3bf3dd3c897b","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-9a50555a3ecd4cba97041eb1ffc533e4",""
"id-bc743c985ef64242aadff3dc6cb547b2","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-7eb1ba0671f343e882f5a48b8fbf2bbd",""
"id-fe9bab9a48a94560ac679a44aa7afcff","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-02fab9f2408649f1bd011c4499f36f79",""
"id-8018a95818554de3b7ec59e8a8f68450","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-880682f0b89f4573837990b0ca551b60",""
"id-5e35b2c11a534037ac8c1ac217b4b035","AggregationRelationship","","","id-5fb092f8ac93487a9dcc77c31f76dbc8","id-c3cb16030b8a4591ba41b4ae56c4370b",""
"id-ae467b0c22634dc18821683ea239d863","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-31d0919bfae74acd85f11e81f40923b4",""
"id-f988cb33e0224b1ca4ef5dd6cfe2fccd","AggregationRelationship","","","id-5fb092f8ac93487a9dcc77c31f76dbc8","id-742122d111f244a59fbd5ae06120c676",""
"id-5e4d0192930940feba1ee84473247d8f","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-6b91f178eb104a259a9b91f6d323f013",""
"id-a26293ec313a4fcc8f27465d00b49c7b","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-970a066b60994af1afe5185997a7109b",""
"id-01ad130cd5fe4668a523fdb5e3ca855a","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-4b8f0a66a00d49ce944f4854cfdc26de",""
"id-b53926ed44d64cc8b27e3caa0bcd2bf2","AggregationRelationship","","","id-5fb092f8ac93487a9dcc77c31f76dbc8","id-8fa048dde2314430add4f3d172d4894a",""
"id-4abf4abd36a243e39f88ea85c6ce2e62","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-a62a059e05fd45569a5a45de5de53732",""
"id-6bb6ced2ed2842a9b4d009ba624594f7","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-e1b76feb80424580aa46c272adcbb77b",""
"id-01c9a96b18de4a4794f0595044fb9464","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-93133ed001f7496793dae0d67056893a",""
"id-52baa82d6f7c416f806c07a7892903e9","AggregationRelationship","","","id-c3cb16030b8a4591ba41b4ae56c4370b","id-5fb092f8ac93487a9dcc77c31f76dbc8",""
"id-ca8487141b4143c3bc2e27b4b6c852b5","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-9f9632453b7e4302ad7b45a73094dce1",""
"id-59c24b1904fc4d0290231f2752fbbe58","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-39d24148dcb84cb9b4fd2a04ef880f90",""
"id-608a0807cc0f45f396d4d401ef04fcd3","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-f2a59eb9612741bfb4514c0098ff47f4",""
"id-e6006ba42cd246619199de3c9ca642e0","AggregationRelationship","","","id-9de9ed4d8687428da4706641982d0003","id-fec5b23d75f7474192f684bbfad8d532",""
"id-a6597e8f4885421dbcd0169d8901c459","AggregationRelationship","","","id-9de9ed4d8687428da4706641982d0003","id-45324fe0296d49318aa3e3b7bb9b03e8",""
"id-17b093cf71f14655a0d9df16458f90f3","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-c651826167fc4c7e830c046034414172",""
"id-de55650f99e947b8bd985f851dd575b3","AggregationRelationship","","","id-c3cb16030b8a4591ba41b4ae56c4370b","id-8503f273a1574db3b3009cd6652573a5",""
"id-8ed45c9b89a945e3b6562fb904835f4c","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-868d13a0266a41158cd3ead7409d88f1",""
"id-9fa00b73f1f94d379a57fe19fd9584f4","AggregationRelationship","","","id-5fb092f8ac93487a9dcc77c31f76dbc8","id-935ffe5947464a5797f598296a79c2c6",""
"id-bb317bd178294fd799ef350d43667447","AggregationRelationship","","","id-cb827ec28529417faeb568ab2a33d107","id-96979ccaec6944fabec8d9c779c30a30",""
"id-3111478532df459895dc53bfd56a4f2c","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-e35e51fd474b4fc2b939f4759c022af4",""
"id-b3d7b3b1dc9740e798354e64197d72ac","AggregationRelationship","","","id-9e448fa583954f91b230b238c1d90127","id-74eea26ec3eb464197a092845c95e35b",""
"id-8fe33c7535b4410a8773f62c4a23abd7","AggregationRelationship","","","id-2c806632b5624f128a6ec921e60a156f","id-dc50e8bf01e34b8dba3831f56fcce3ff",""
"id-52512807352c45f09aeadda8fd5dc9d9","AggregationRelationship","","","id-c3ca656a5bf241e88a1f9a0c9e997648","id-3cebf9b0a3124037980c114f28c2f134",""
"id-35c707f6997a40779aefb04b8a3a1395","AggregationRelationship","","","id-5698e555ea384c4188f3df3ffbd107e7","id-caf7de51b4d541b8b2ca467227d52af7",""
"id-5435e69a61524e4f9ed460e87772fd20","AggregationRelationship","","","id-8c63b68fa9e64c08af8b03cc9cf9cb3f","id-31d0919bfae74acd85f11e81f40923b4",""
"id-9f96857632c44fc9af860e16902db992","AggregationRelationship","","","id-d5cdc9122dee49d5b657a67699a4a3b5","id-ae30f6cd365742e0a31b58c17418a79a",""
"id-bad9f9cd6cf84b72906fde6503dcc33b","AggregationRelationship","","","id-8c63b68fa9e64c08af8b03cc9cf9cb3f","id-e59e9ed8f76042eaaad18f7bcff94651",""
"id-94411fa185d44428840114a895af6320","AggregationRelationship","","","id-b566a32d1a45462bb851df703bd496a5","id-e3cb8eb5aca543c6955b7cefbba3fb99",""
"id-0f28a2ddf388456fabc4a322b72ca825","AggregationRelationship","","","id-71844dbc5fc043d4837f3c45741db92f","id-c8022c3221904238a6a1bf985d443e48",""
"id-8c3762a72d23431ba317f092f7e84b3c","AggregationRelationship","","","id-218dad421b4d40b3bbddfe51e8c1fb7f","id-74eea26ec3eb464197a092845c95e35b",""
"id-3023f8cc884a48ce8c42e69b0e3dc53c","AggregationRelationship","","","id-b983278b3d204f5da77d23ffb2dc5e70","id-997bcef84fb14cbd86b666e74436ece7",""
"id-b6131562160b420c9fd1bb5efe830f44","AggregationRelationship","","","id-8c63b68fa9e64c08af8b03cc9cf9cb3f","id-9f9632453b7e4302ad7b45a73094dce1",""
"id-4329efb1842546afb1d39f1c58eaf7f1","AggregationRelationship","","","id-8c63b68fa9e64c08af8b03cc9cf9cb3f","id-7eb1ba0671f343e882f5a48b8fbf2bbd",""
"id-dab7a3efd5c24df98cfd149da1da8a2a","AggregationRelationship","","","id-d1d11e84698d45259077801325e1a3db","id-5585553671af4089b02a5fa5db1d5eeb",""
"id-b1d45742d98e4154b83e33b1ee16d52c","AggregationRelationship","","","id-218dad421b4d40b3bbddfe51e8c1fb7f","id-880682f0b89f4573837990b0ca551b60",""
"id-891f05433d9544ea803ed6a79e6f309d","AggregationRelationship","","","id-71844dbc5fc043d4837f3c45741db92f","id-a4c34e63365245bbae946b864af6ccf1",""
"id-71243e267c7640e185365e84bf2aaf64","AggregationRelationship","","","id-0fcca9cfc18040c08fd7b68b53eef16a","id-8ba2f564d24d47deaafa3916fcf9c000",""
"id-255a2fb77d544b1f9b0c077ec3072207","AggregationRelationship","","","id-71844dbc5fc043d4837f3c45741db92f","id-337356dbdea146f6ba2a83de2e09c79e",""
"id-c85e4f31aad440e3a17da15783a7f4d3","AggregationRelationship","","","id-af52cf80f37d47188a15072d51acbccb","id-361e9e8cc7a1467bb957462758be5a79",""
"id-c2d52ec4aa3f4ac7b4952dc939c65f0c","AggregationRelationship","","","id-5a935579a3704c9b851033f5582403f8","id-c86683ac5be949b9844d820c818c8026",""
"id-ae208f042bdc4953b2d9dca3e5600cf8","AggregationRelationship","","","id-218dad421b4d40b3bbddfe51e8c1fb7f","id-d55f98356feb433287f5ac0eec792229",""
"id-afbe2fcbca5341e3b08208aadb66791e","AggregationRelationship","","","id-0fcca9cfc18040c08fd7b68b53eef16a","id-6b6b27c96b98436c873dac6b88f83582",""
"id-6f9e4f3b06724f32b3e12905adb7b87f","AggregationRelationship","","","id-38434c5876914d108721d7dbb90a915b","id-50e4d7ea5edf4aa89edabc36e685f448",""
"id-188c7d0c03e04405bbbbfbf4f7833dd6","AggregationRelationship","","","id-218dad421b4d40b3bbddfe51e8c1fb7f","id-3247a58ef74f469287fd82e76c3d8e20",""
"id-764ac0ca9cc04f58be379acd09fd2860","AggregationRelationship","","","id-0fcca9cfc18040c08fd7b68b53eef16a","id-98625dbfac95425aabf9b28e51806d5a",""
"id-4ad4d5dcd05d4948bcc3c4feae7bd7f5","AggregationRelationship","","","id-2c806632b5624f128a6ec921e60a156f","id-392f19db3e004454a9db4c69b217697d",""
"id-5727733d3fff421b965ee4ee22f514f3","AggregationRelationship","","","id-f84f7468e3fc428e911a3dacc980af82","id-5698e555ea384c4188f3df3ffbd107e7",""
"id-afeb6e31eb6844ac86e26ad6eaed6ab2","AggregationRelationship","","","id-7f7520ef6b634397965fb56443836035","id-9af062f13fff4f9e99b41a63603717ae",""
"id-7c1d276502f840568a6e41594c908a83","AggregationRelationship","","","id-2c806632b5624f128a6ec921e60a156f","id-3cebf9b0a3124037980c114f28c2f134",""
"id-302b1f84e97a435687a76233185361db","AggregationRelationship","","","id-5698e555ea384c4188f3df3ffbd107e7","id-f84f7468e3fc428e911a3dacc980af82",""
"id-b9244fa7bf8d4d83bf92f03b46c55376","AggregationRelationship","","","id-c3ca656a5bf241e88a1f9a0c9e997648","id-dc50e8bf01e34b8dba3831f56fcce3ff",""
"id-628fbb7c53164252bd4adf1fd3c5dd84","AggregationRelationship","","","id-c3ca656a5bf241e88a1f9a0c9e997648","id-392f19db3e004454a9db4c69b217697d",""
"id-83611859e30d4184bc91916c3916c462","AggregationRelationship","","","id-7f7520ef6b634397965fb56443836035","id-9358f38ffbd54f998a3fc147a63aa6fb",""
