"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-ea14973be6114437af03c3bfe81de269","AccessRelationship","","","id-e1601561be15499fa50bde6c235fa65d","id-5afa83a6b1224b11b8326774aa3a0aae",""
"id-115f32f101724f8fb22afb8542e6f5cc","AccessRelationship","","","id-1fbac917a8fa47a9af0f60b89101c491","id-5afa83a6b1224b11b8326774aa3a0aae",""
"id-a6e362cffa014831acba7b50886a6154","AggregationRelationship","","","id-f1c4411de75d4ff398afcf8b0eca8ca6","id-d8895648013449b897b95a215d3cc6ad",""
"id-84a4d17b740e4569becf723b35eca34b","AggregationRelationship","","","id-1b53c233b85849959568ba226c94a61a","id-0790a4a21074415ca69df4c7aeae2651",""
"id-c26e7ed2aa784ad4a95e1136a4ff9470","AggregationRelationship","","","id-f1c4411de75d4ff398afcf8b0eca8ca6","id-0375f230e2974234bd4d563e2dec5aea",""
"id-8fd65ae44f924a45b4dc95a33b853677","AggregationRelationship","","","id-f1c4411de75d4ff398afcf8b0eca8ca6","id-3b0895cb0beb482e9a31e2ad09133ce6",""
"id-2317ad582322407aa80f0e3c00649874","AggregationRelationship","authors (has many)","","id-0790a4a21074415ca69df4c7aeae2651","id-b36c601e26f64b3e994c7d611a28d2f8",""
"id-e2a8d49a5e5547a9ab4f90121c010df3","AggregationRelationship","creartedBy (has one)","","id-0790a4a21074415ca69df4c7aeae2651","id-b36c601e26f64b3e994c7d611a28d2f8",""
"id-1fef80a29502415ea7b0327d5103876e","AggregationRelationship","has one","","id-1d3984af17e94272b19494a9ce0234d4","id-0790a4a21074415ca69df4c7aeae2651",""
"id-3e65e37bc8724c1b866e9d2b9f7f7ab6","AggregationRelationship","owner (has one)","","id-1b53c233b85849959568ba226c94a61a","id-b36c601e26f64b3e994c7d611a28d2f8",""
"id-5e82a96795db4cb199458f9bb6b1df2e","AggregationRelationship","recognizer (has one)","","id-1d3984af17e94272b19494a9ce0234d4","id-5afa83a6b1224b11b8326774aa3a0aae",""
"id-1eee2a57f08b43aabf2eeacd6a7468f0","AssignmentRelationship","","","id-fef2f1c7cfd643ada65221a323ba02ae","id-b8da8f45ee324ed9944e03fb8126e0dd",""
"id-4c7aad21a02a4a839a787fd1fd8d724e","AssignmentRelationship","","","id-5bb3393c6a634a65a50b1c8e6f260c85","id-13febc63973c4e5daa769e57bf0dfc38",""
"id-4ce140cadfd6463296f9823faa275493","AssignmentRelationship","","","id-9caf29ddecdb4472b308db1fc7d43d40","id-24030a0172104b0fb6c602028c009e54",""
"id-a298829d9b484a9fb30352a1c5872d0d","AssignmentRelationship","","","id-b9eb76db8ccc4b519eadf81eaf423ec3","id-b8ce525b137146f6a5bb09d0e1745517",""
"id-79ce80585ca84376bc11ca74671045ec","AssignmentRelationship","Anti-Corruption Layer","","id-8e51916a0e994cd0955e9e95794611c7","id-d5ed378587ee4b2ab8bcce74498c1a12",""
"id-6a40c4cac2044470afd8c053ebb29112","AssociationRelationship","","","id-1bc391fe295c408c8c5198f9651db67b","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-2ba0be8e2c38469aa26c86256e85d6b9","AssociationRelationship","","","id-b36c601e26f64b3e994c7d611a28d2f8","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-41d99b03a95041138679e16536e2eca3","AssociationRelationship","","","id-5afa83a6b1224b11b8326774aa3a0aae","id-5bde64ee72224b9bb481231c49f82912",""
"id-33cd094f4a924302b58b8306a2e4d3f6","AssociationRelationship","","","id-1b53c233b85849959568ba226c94a61a","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-474ff8c7a3a5464dab989bf5f5c942a2","AssociationRelationship","","","id-b36c601e26f64b3e994c7d611a28d2f8","id-f1c4411de75d4ff398afcf8b0eca8ca6",""
"id-56780f72e9ec4922b0a9e7e5ba8b79bf","AssociationRelationship","","","id-3b0895cb0beb482e9a31e2ad09133ce6","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-228655f27cb44065b3fa67a670af4a9b","AssociationRelationship","","","id-0790a4a21074415ca69df4c7aeae2651","id-38e5348b77c4423f83109e07eadc53c4",""
"id-17cbb248fdf14ae4992078539ceff6e5","AssociationRelationship","","","id-073c8d0c43ed48d68c93ae9d0f7917df","id-c0ae2f6ecedb4a139f9693dcb762becf",""
"id-45e9c1766da94da59a67c565378bf8e9","AssociationRelationship","","","id-5afa83a6b1224b11b8326774aa3a0aae","id-ce94bc4c07fb478cbecef0b9877909da",""
"id-86248989899f4c8599e52661b301b918","AssociationRelationship","","","id-1d3984af17e94272b19494a9ce0234d4","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-eb08cb75968340b8af62120b42877abb","AssociationRelationship","","","id-0790a4a21074415ca69df4c7aeae2651","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-fb98e91e5a254b08a7323e3a5bb9e32e","AssociationRelationship","","","id-5afa83a6b1224b11b8326774aa3a0aae","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-50eeb28c21ea4349a89bcdc2d4420a34","AssociationRelationship","","","id-b36c601e26f64b3e994c7d611a28d2f8","id-da4bde8b094d40e781009720b030bc8d",""
"id-0114123bfaac4ac48d4dbcfb3cf184ef","AssociationRelationship","","","id-74548b3f0a694bef849c75895f9d1709","id-e1a6eab5ccbb41caa15974f4ff56845d",""
"id-8c54bf0b0b504906bd6fbca93e6a4e63","AssociationRelationship","","","id-b36c601e26f64b3e994c7d611a28d2f8","id-b9eb76db8ccc4b519eadf81eaf423ec3",""
"id-76acff428cf345049dd0e06fa67615a1","AssociationRelationship","","","id-0790a4a21074415ca69df4c7aeae2651","id-c70b6a2f6d194591b2588147fc50db32",""
"id-0092f4a169f440b399219b6f046cfb5b","AssociationRelationship","","","id-5afa83a6b1224b11b8326774aa3a0aae","id-f4230e6bf21648189757bc17c2fc4adf",""
"id-a822c6062b4042f0a10ec6891cfaf822","AssociationRelationship","","","id-f1c4411de75d4ff398afcf8b0eca8ca6","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-e6c4538dbb43463783378b1a67a13f0a","AssociationRelationship","","","id-5afa83a6b1224b11b8326774aa3a0aae","id-f1c4411de75d4ff398afcf8b0eca8ca6",""
"id-632ef520064f4dea94a1b1f65b2c00de","CompositionRelationship","","","id-c523556b4d2b4ffdbeeb5c9862b6d7ab","id-d8895648013449b897b95a215d3cc6ad",""
"id-d1a1cfcb5e6940989ae1a026c46f28c0","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-af81f5a05532488f904804fa50c5e8f8",""
"id-e1270dd27ab74b0db8bdb271beb28c86","CompositionRelationship","","","id-d5ed378587ee4b2ab8bcce74498c1a12","id-0375f230e2974234bd4d563e2dec5aea",""
"id-cb2cc852b0e54fe3b0f4a351ce69def1","CompositionRelationship","","","id-d5ed378587ee4b2ab8bcce74498c1a12","id-c523556b4d2b4ffdbeeb5c9862b6d7ab",""
"id-4a2452b6a4d446148bc12ff6c31dacdd","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-1bc391fe295c408c8c5198f9651db67b",""
"id-cdffd765e07044bc9b24526d3b72a272","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-5afa83a6b1224b11b8326774aa3a0aae",""
"id-83762739231944a2b56ef42276ef7f49","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-11fa7593166541b4a3b2bcd9a118a12d",""
"id-78c651ef265342378879f8bca59461f0","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-b8da8f45ee324ed9944e03fb8126e0dd",""
"id-0f5ff8a87e6b4e57ac5d1fba565ff4b5","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-13febc63973c4e5daa769e57bf0dfc38",""
"id-93c133ff47b74bc589679887db240de5","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-d67d44bf3f1c4fa6b32b9bb7ef935a88",""
"id-5009b86536f04307b0128ae0722398a0","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-1d3984af17e94272b19494a9ce0234d4",""
"id-54765c561ac5462abe5864df1d4986aa","CompositionRelationship","","","id-d5ed378587ee4b2ab8bcce74498c1a12","id-d8895648013449b897b95a215d3cc6ad",""
"id-10f9fab0eacd4a2f9579b7d8bd69048f","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-74548b3f0a694bef849c75895f9d1709",""
"id-11f263131cb6406bb61bdc258ccc917c","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-3606758546c54079a24743f3a214eb7f",""
"id-6d038b2172d14d438e9336bcf444c922","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-db97596eec304b5d91179eba851d59dc",""
"id-9c8c2258e521449884ae672e0a3ae81c","CompositionRelationship","","","id-d5ed378587ee4b2ab8bcce74498c1a12","id-f1c4411de75d4ff398afcf8b0eca8ca6",""
"id-e826569cc195456f90b2756a02cc1343","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-e4a1235e53784336904952af74d571fe",""
"id-a92e78c0a8af400dafb8e6f50e35f739","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-7723e3e7875e4a5a96bea15912b3b46a",""
"id-c0dadef236764f87a59264749ee5d557","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-419e526fba7c4a468452a48816c8b06e",""
"id-cba84bd3eb5c49a08e1049b2697d2e76","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-b8ce525b137146f6a5bb09d0e1745517",""
"id-4f7ff8d501a649cd8a10f9db4a12731d","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-24030a0172104b0fb6c602028c009e54",""
"id-71c1a154c8d042adbd062c475a2f7367","CompositionRelationship","","","id-d5ed378587ee4b2ab8bcce74498c1a12","id-3b0895cb0beb482e9a31e2ad09133ce6",""
"id-b773831fd958403fb5a814277011c3f4","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-1b53c233b85849959568ba226c94a61a",""
"id-296f074908f94f508ba54a1856ca5842","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-0790a4a21074415ca69df4c7aeae2651",""
"id-65aa9370de774cc59274f174221bc568","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-6848c758b6d74d6c9eb7235eeaf45f2c",""
"id-cb7ca2d2ae3f4605b497787992176878","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-1667d4ff997c47d38b1213a762cdb3ff",""
"id-772756c71e0741a683d754d356e33a27","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-e8a18ee75d1946979a249ac41558f741",""
"id-919e99135e76457dad0eb9f6802d1fb7","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-1fbac917a8fa47a9af0f60b89101c491",""
"id-26301b21d8724c499f8d84f064306700","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-073c8d0c43ed48d68c93ae9d0f7917df",""
"id-26cb12254553438288b90efc04af1c33","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-456469643f134021ae7a4895767d71d2",""
"id-a505a38f276b44ea99bda3773286569d","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-6b162f46b0294dbf8e37446ad3f52830",""
"id-b0f0acb74a424d96aeb599108cad04ef","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-b36c601e26f64b3e994c7d611a28d2f8",""
"id-be3a3819da4c499a85bd844aa3ed88ab","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-e18947f83aac467a9f702a76ae1b8ac4",""
"id-28b10b3b0449447d96dc10a06ff739d7","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-4979b12e0a3d4e5b95dcb206db49920a",""
"id-a468a7cdb3f44c58b86f03d2390d8b99","CompositionRelationship","","","id-247069695a6d404383c412de06c52eff","id-e1601561be15499fa50bde6c235fa65d",""
"id-e989b1a26b5048a6b788ed9c166c5f6e","CompositionRelationship","has many","","id-b36c601e26f64b3e994c7d611a28d2f8","id-1bc391fe295c408c8c5198f9651db67b",""
"id-1b789e08aae84e47a29ed8155f2c423a","CompositionRelationship","received_endorsements (has many)","","id-b36c601e26f64b3e994c7d611a28d2f8","id-1d3984af17e94272b19494a9ce0234d4",""
"id-c0ae2f6ecedb4a139f9693dcb762becf","FlowRelationship","","","id-db97596eec304b5d91179eba851d59dc","id-13febc63973c4e5daa769e57bf0dfc38",""
"id-e1a6eab5ccbb41caa15974f4ff56845d","FlowRelationship","","","id-11fa7593166541b4a3b2bcd9a118a12d","id-24030a0172104b0fb6c602028c009e54",""
"id-9389764a577647a6bf99c5b8a7d442c7","RealizationRelationship","","","id-456469643f134021ae7a4895767d71d2","id-5ab1cd6a1b3d403c92ed46559b93e5bf",""
"id-8db2f55e7b71412a9ae42bf72917c5ea","RealizationRelationship","","","id-b36c601e26f64b3e994c7d611a28d2f8","id-fc317bddbdac42be87942e2b1dd535ce",""
"id-f13284cc9b1b45b2ab612609e6e03afa","RealizationRelationship","","","id-7723e3e7875e4a5a96bea15912b3b46a","id-74f8ddc62e0e49469dd538835860801a",""
"id-a2e7d28023e449ebaee1896c63e69b08","RealizationRelationship","","","id-419e526fba7c4a468452a48816c8b06e","id-ee1e7bc1a35c42f6beb5cc8c199cb3ea",""
"id-d36cce5909264cb0a496fad7a84a2a07","RealizationRelationship","","","id-b36c601e26f64b3e994c7d611a28d2f8","id-ac4410e616184a3ca9547cf6113a7872",""
"id-82a7aaac14f7474e823871ec6e53731f","RealizationRelationship","","","id-7723e3e7875e4a5a96bea15912b3b46a","id-0732addd74d949738e5f9ec6c4d5a3ab",""
"id-a73821d9f3b047dbbdc232aa8c80d796","RealizationRelationship","","","id-5afa83a6b1224b11b8326774aa3a0aae","id-ab7e90c823564eb9a5d42be078f140e1",""
