"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-5c15ea83","AccessRelationship","","","id-6d663bdf","id-079c68a9-4e08-42f0-ab46-4c4f0cde8d66",""
"b9323549","AccessRelationship","","","id-0ece5b12","dd80f418-7d19-4049-aa05-289f8531bd69",""
"id-36f56eb4","AccessRelationship","","","id-8c133006","id-079c68a9-4e08-42f0-ab46-4c4f0cde8d66",""
"a80fd144","AccessRelationship","execute","","ecea8ab0","id-0f5eeb1e-b0c6-4b5b-920e-29af1cfe0ef3",""
"id-0cb7d4af","AccessRelationship","protocol is necessary for find measurements","","id-406e47ed","cfbc8e34-9438-4a73-a15a-bbd0bc02e05a",""
"id-0f105b02-a66a-43a4-b206-7a6d667dbd9f","AggregationRelationship","dimension has list of levels","","adfe914e-2041-4aa1-aca0-49cc0e16e263","ba10e503-7f8a-4256-8d5b-32b957977330",""
"id-1bd7dbe1-0bd9-4553-b908-b59b84bc84b5","AssociationRelationship","","","id-94e8220e-a489-45ab-9189-d8060b3ab29f","id-307e7f50-59e8-4216-bfb3-015bd78c00ce",""
"id-43beffbb","AssociationRelationship","","","id-81c9e0fd-5961-49c5-98e3-a21131397fe9","id-079c68a9-4e08-42f0-ab46-4c4f0cde8d66",""
"id-6c5301f4","AssociationRelationship","","","d165ee92","id-0f3d6fb5",""
"id-9c9b92fc","AssociationRelationship","","","id-0f3d6fb5","e041ba57-d50f-4724-a48f-2a17f58d98dd",""
"id-464dc1b8","AssociationRelationship","","","id-172a2fce","id-33dcc0ac",""
"id-91743547","AssociationRelationship","","","id-648cf3f3","e04c4c08",""
"id-04973131","AssociationRelationship","","","id-648cf3f3","c9a77e2f",""
"d55d99a8","AssociationRelationship","","","id-648cf3f3","a6f9718d",""
"id-5aecdcae","AssociationRelationship","","","b017868d","de9ae5bc",""
"id-7dda617d","AssociationRelationship","","","b017868d","id-3bee72cf",""
"id-6a43024a","AssociationRelationship","","","b017868d","a41a2006",""
"id-7a292fbe","AssociationRelationship","","","b017868d","bbe30c45",""
"id-98a642a9","AssociationRelationship","","","b017868d","a7d99644",""
"c930bba7","AssociationRelationship","","","e0e2a02d","id-05be264e",""
"id-0f70be95","AssociationRelationship","","","id-672c6621","id-85c9b2c5-bd1a-4d37-809c-2a2c3092a39c",""
"e49e1247","AssociationRelationship","","","id-71e6c5b0","id-85c9b2c5-bd1a-4d37-809c-2a2c3092a39c",""
"da27d0c2","AssociationRelationship","","Linking directly to the phenomenon is certainly the easiest
way of doing it","id-648cf3f3","id-4a171f28",""
"id-7b5e5e6d-f22e-4586-8690-61a2ae88f6be","AssociationRelationship","1:n","","adfe914e-2041-4aa1-aca0-49cc0e16e263","ba10e503-7f8a-4256-8d5b-32b957977330",""
"id-0ae5f27b","AssociationRelationship","arguments N - N","","c0e8e0a3","ead46f1b",""
"id-53f8a9f1","AssociationRelationship","dictionary of elements N|0 - 1","","ba669d4d-0e2e-4952-a1c6-cfc77bc9d8c2","id-307e7f50-59e8-4216-bfb3-015bd78c00ce",""
"id-493d1eca","AssociationRelationship","evidence N - N","","id-65ce073f","eaf3c3dc-74a4-4dd4-a65f-a84451a4a7a2",""
"id-924252d3","AssociationRelationship","N -N all sources for calculations","","id-81c9e0fd-5961-49c5-98e3-a21131397fe9","eaf3c3dc-74a4-4dd4-a65f-a84451a4a7a2",""
"a9ca76db","AssociationRelationship","N|0 - 1","","eaf3c3dc-74a4-4dd4-a65f-a84451a4a7a2","dd80f418-7d19-4049-aa05-289f8531bd69",""
"id-09fcbdea","AssociationRelationship","N|0 - 1","","id-307e7f50-59e8-4216-bfb3-015bd78c00ce","adfe914e-2041-4aa1-aca0-49cc0e16e263",""
"af073ad0","AssociationRelationship","N|0 - 1","","id-67cdb33b-d41a-4459-a1b2-1cceb7334774","id-85c9b2c5-bd1a-4d37-809c-2a2c3092a39c",""
"eb95c08f","AssociationRelationship","N|0 - 1","","eaf3c3dc-74a4-4dd4-a65f-a84451a4a7a2","cfbc8e34-9438-4a73-a15a-bbd0bc02e05a",""
"id-33d225e1","AssociationRelationship","N|0 - 1","","id-079c68a9-4e08-42f0-ab46-4c4f0cde8d66","e38ad440-2dfd-4de3-a774-28c9baf279ae",""
"a57bc195","AssociationRelationship","N|0 - 1","","id-863627e4-2e25-49f4-be33-d83126cb4d70","id-0f5eeb1e-b0c6-4b5b-920e-29af1cfe0ef3",""
"id-9eb4a370","AssociationRelationship","N|0 - 1","","eaf3c3dc-74a4-4dd4-a65f-a84451a4a7a2","id-70e9a2f3",""
"id-61d2301d","AssociationRelationship","N|0 - 1","","id-33dcc0ac","adfe914e-2041-4aa1-aca0-49cc0e16e263",""
"id-9c9d266f","AssociationRelationship","N|0 - 1","","id-05be264e","id-648cf3f3",""
"id-8ed6aab6","AssociationRelationship","N|0 - 1","","id-60bedb74","id-1e314513",""
"id-32591e13","AssociationRelationship","N|0 - 1","","c141856d","id-546a1145",""
"id-6b7506ae","AssociationRelationship","N|0 - 1","","b5b5a576","id-81cdd638",""
"id-5c6a99fa","AssociationRelationship","N|0 - 1","","b5b5a576","c141856d",""
"be1459dd","AssociationRelationship","N|0 - 1","","id-4525ce8d","ead46f1b",""
