"ID","Key","Value"
"id-c433ec1204e04a388a7500f6e3222b0d","source repository","github.com/xxx"
"id-037aa737dfbe4cac8d476683f3d274d2","url",""
"id-34957a395b474998a4d0b49679d64aab","Access_Type","Write"
"id-747cf882417343b2bf90eb8106d1ce8f","Access_Type","Write"
"id-7d46454885c442aa9f1c6ea2b8943967","Access_Type","Write"
"id-b1202187fbec4fde9e67b1de5ce24430","Access_Type","Write"
"id-e0f2fba5f3fa49728bb63459b2e053af","Access_Type","Write"
"id-f03ece69dab247789f3598740a03e014","Access_Type","Write"
"id-fe45c1d5cc864ca88634bda73319004e","Access_Type","Write"
"id-1eaa9226c65041bcbe6b690b982b2542","Directed","false"
"id-283b92bd3c82438eb2423fee6619e71e","Directed","false"
"id-43f0682598c64488816c6a2f6dac60ba","Directed","false"
"id-66703c66411b4c30af1e36bce466a836","Directed","false"
"id-9527c27732394ab585d11840f9c26357","Directed","false"
"id-a6096878302c4deaa00ba74d05a71c66","Directed","false"
"id-b2effd7b7c1047989142ef56d7583350","Directed","false"
"id-25c7bf6f0f0d42bc825b6a51306480ac","Directed","false"
"id-ac6771f065f44c36a756e7933140d646","Directed","false"
"id-f50cfeaa48b84b93a04faf9a08b59b26","Directed","false"
