"ID","Key","Value"
"id-019bc5ea","Directed","false"
"f3080808","Directed","false"
"id-9e1e49fd","Directed","false"
"id-2f467422","Directed","false"
"id-574dcf9c","Directed","false"
"id-457bcd99","Directed","false"
"id-501b7027","Directed","false"
"d5fec6e4","Access_Type","Write"
"id-48390a37","Access_Type","Write"
"id-1700ad41","Directed","false"
"id-52b40476","Access_Type","Write"
"id-0c89b5b9","Access_Type","Write"
"id-4d142de5","Access_Type","Write"
"b8d0a023","Access_Type","Write"
"id-4d302c21","Access_Type","Write"
"id-09ffc863","Access_Type","Write"
"id-7e800b33","Access_Type","Write"
"ef2ad925","Access_Type","Write"
"id-61bb2cfc","Access_Type","Write"
"c63064fa","Access_Type","Write"
"id-4debd6fd","Access_Type","Write"
"id-5c571135","Access_Type","Write"
"c5c421d4","Access_Type","Write"
"id-7c37577a","Access_Type","Write"
"id-3c8c068c","Access_Type","Write"
"id-6a3855ba","Access_Type","Write"
"id-16e05a7c","Access_Type","Write"
"d71c8c11","Access_Type","Write"
"id-05a20e82","Access_Type","Write"
