"ID","Type","Name","Documentation","Source","Target","Specialization"
"d5fec6e4","AccessRelationship","","","id-41032782","f18a18bd",""
"id-48390a37","AccessRelationship","","","f5277413","f18a18bd",""
"id-52b40476","AccessRelationship","","","af2b23f0","id-29724a65",""
"id-0c89b5b9","AccessRelationship","","","id-5ac8cba6","id-9076dac3",""
"id-4d142de5","AccessRelationship","","","id-9661cd10","id-9076dac3",""
"b8d0a023","AccessRelationship","","","id-5dc648ed","id-29724a65",""
"id-4d302c21","AccessRelationship","","","id-5dc648ed","id-9076dac3",""
"id-09ffc863","AccessRelationship","","","ba829b0e","id-9076dac3",""
"id-7e800b33","AccessRelationship","","","ba829b0e","id-29724a65",""
"ef2ad925","AccessRelationship","","","id-54b1354b","id-2ce1aab1",""
"id-61bb2cfc","AccessRelationship","","","id-6b3ecb17","id-9a1b2f27",""
"c63064fa","AccessRelationship","","","id-6b3ecb17","id-2ce1aab1",""
"id-4debd6fd","AccessRelationship","","","id-9ac8fc67","id-9a1b2f27",""
"id-5c571135","AccessRelationship","","","a112836c","id-9a1b2f27",""
"c5c421d4","AccessRelationship","","","id-7aa6fe87","id-2ce1aab1",""
"id-7c37577a","AccessRelationship","","","a112836c","id-2ce1aab1",""
"id-3c8c068c","AccessRelationship","","","a840b94a","f18a18bd",""
"id-6a3855ba","AccessRelationship","","","id-5245d9ca","id-29724a65",""
"id-16e05a7c","AccessRelationship","","","id-5245d9ca","id-9076dac3",""
"d71c8c11","AccessRelationship","","","id-1272e1ab","id-9a1b2f27",""
"id-05a20e82","AccessRelationship","","","id-1272e1ab","id-2ce1aab1",""
"adc5b480","AssignmentRelationship","","","id-5245d9ca","fc182f7f",""
"f9cbc684","AssignmentRelationship","","","eddc9a3a","id-4e17cc0f",""
"e3232b7a","AssignmentRelationship","","","c3a9d7ce","id-411e9964",""
"id-9ef468e9","AssignmentRelationship","","","id-2739bdf6","id-6cbab361",""
"id-05ce8544","AssignmentRelationship","","","c3a9d7ce","id-5c92c2f4",""
"dd5452fa","AssignmentRelationship","","","id-5245d9ca","id-8683eaec",""
"id-68af1099","AssignmentRelationship","","","id-9912acc6","id-313fd5ef",""
"id-0dd804cf","AssignmentRelationship","","","id-5245d9ca","id-41032782",""
"id-1406b99e","AssignmentRelationship","","","c3a9d7ce","id-5ec4146f",""
"ada96bd0","AssignmentRelationship","","","eddc9a3a","f37e5d1c",""
"b93fae20","AssignmentRelationship","","","id-5245d9ca","id-3130837a",""
"e13948dd","AssignmentRelationship","","","c3a9d7ce","id-4ee812a2",""
"be6aefaa","AssignmentRelationship","","","id-5245d9ca","id-1bbe1ae5",""
"c54fb504","AssignmentRelationship","","","c3a9d7ce","a19b93e1",""
"id-52fe9774","AssignmentRelationship","","","id-1272e1ab","id-97b22207",""
"id-5ad30639","AssignmentRelationship","","","id-1272e1ab","d785305e",""
"fb5101c9","AssignmentRelationship","","","id-1272e1ab","id-024b800e",""
"bba0848a","AssignmentRelationship","","","id-1272e1ab","id-1118db4c",""
"id-31994a2b","AssignmentRelationship","","","id-1272e1ab","id-3daaa51c",""
"id-019bc5ea","AssociationRelationship","","","a840b94a","f5277413",""
"f3080808","AssociationRelationship","","","a840b94a","id-8df90b12",""
"id-9e1e49fd","AssociationRelationship","","","a840b94a","a00d26b2",""
"id-2f467422","AssociationRelationship","","","id-265f513d","id-4e17cc0f",""
"id-574dcf9c","AssociationRelationship","","","id-265f513d","f37e5d1c",""
"id-457bcd99","AssociationRelationship","","","a840b94a","id-3df1c490",""
"id-501b7027","AssociationRelationship","","","a840b94a","id-5da79910",""
"id-1700ad41","AssociationRelationship","iterator has a link to interface aggregate","","id-265f513d","f18a18bd",""
"id-76245b56","CompositionRelationship","","","id-313fd5ef","f7864475",""
"d045a047","CompositionRelationship","","","f37e5d1c","c0482ce5",""
"id-0bec52eb","CompositionRelationship","","","id-6cbab361","aff5c846",""
"id-2de4e321","CompositionRelationship","","","id-313fd5ef","dcc3afe9",""
"c05a79a5","CompositionRelationship","","","id-6cbab361","id-6ce034fa",""
"id-4485c12f","CompositionRelationship","","","id-4e17cc0f","id-22423687",""
"id-04d66a00","CompositionRelationship","","","id-41032782","af2b23f0",""
"id-48ab9bfe","CompositionRelationship","","","id-8683eaec","id-9661cd10",""
"c544526d","CompositionRelationship","","","fc182f7f","id-5ac8cba6",""
"e3aa9b00","CompositionRelationship","","","id-3130837a","id-5dc648ed",""
"id-2cf6f93a","CompositionRelationship","","","id-1bbe1ae5","ba829b0e",""
"babe76b6","CompositionRelationship","","","id-3daaa51c","a112836c",""
"id-143eeee6","CompositionRelationship","","","id-024b800e","id-54b1354b",""
"d7399b45","CompositionRelationship","","","id-97b22207","id-7aa6fe87",""
"c048d2f5","CompositionRelationship","","","id-1118db4c","id-6b3ecb17",""
"id-4c25cc45","CompositionRelationship","","","d785305e","id-9ac8fc67",""
"b5833744","CompositionRelationship","","","id-39e16f4f","id-875579ab",""
"ac1e8ba0","CompositionRelationship","","","id-875579ab","ce171db8",""
"dafdadb1","CompositionRelationship","","","id-4e17cc0f","id-816c1ae9",""
"d42717ca","FlowRelationship","","","id-4d9a4134","af0ce369",""
"id-742c2184","FlowRelationship","","","c0482ce5","id-4d9a4134",""
"id-37991f78","FlowRelationship","","","f7864475","dcc3afe9",""
"b6315259","FlowRelationship","","","aff5c846","id-6ce034fa",""
"id-941c78fa","FlowRelationship","","","id-3d74c0be","id-39e16f4f",""
"dcbe5edc","FlowRelationship","","","f7864475","id-5245d9ca",""
"id-6cdad9d8","FlowRelationship","","","aff5c846","id-1272e1ab",""
"b6e434f7","FlowRelationship","","","id-8df90b12","fc182f7f",""
"id-6c02bbb0","FlowRelationship","","","id-3df1c490","id-3130837a",""
"e290626b","FlowRelationship","","","id-5da79910","id-1bbe1ae5",""
"id-469252fc","FlowRelationship","aggregate use interface iterator","","id-22423687","a840b94a",""
"ecc948d3","RealizationRelationship","","","id-5245d9ca","a840b94a",""
"e511977a","RealizationRelationship","","","f37e5d1c","id-4d9a4134",""
"fdd916b6","RealizationRelationship","","","f37e5d1c","af0ce369",""
"id-6ec2cb94","RealizationRelationship","","","c3a9d7ce","a840b94a",""
"id-47287201","RealizationRelationship","","","id-9912acc6","id-265f513d",""
"e08c7363","RealizationRelationship","","","id-2739bdf6","id-265f513d",""
"id-0a7d635f","RealizationRelationship","","","id-1272e1ab","a840b94a",""
"id-7720efe6","ServingRelationship","","","a00d26b2","af0ce369",""
"id-6b1c6d89","ServingRelationship","","","id-9912acc6","id-3d74c0be",""
"id-503a8ede","ServingRelationship","","","id-4e17cc0f","c0482ce5",""
"id-489570f7","ServingRelationship","","","c3a9d7ce","aff5c846",""
"d218e84b","ServingRelationship","","","f37e5d1c","id-39e16f4f",""
"id-724c555e","ServingRelationship","","","a840b94a","id-22423687",""
"id-0d6b3906","ServingRelationship","","","id-1272e1ab","aff5c846",""
"id-9ed0d63a","ServingRelationship","","","id-22423687","id-3d74c0be",""
"id-9ecf8d8a","ServingRelationship","","","id-8df90b12","id-39e16f4f",""
"e365a190","ServingRelationship","","","id-3df1c490","id-875579ab",""
"c5236a30","ServingRelationship","","","id-5da79910","ce171db8",""
"id-4fe46fe5","ServingRelationship","","","id-265f513d","id-7f7c450f",""
"id-3b32c9e5","ServingRelationship","","","a840b94a","id-7f7c450f",""
"e7347737","ServingRelationship","aggregate use iterator","","id-5245d9ca","f7864475",""
