"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-bfc9a36c12f14f8f9e8b3690412fcbf9","AccessRelationship","","","id-24061866c36643378ea942c29d6dc509","id-bb6881569e36431b879667f53181e7e3",""
"id-2d308ac23fa64f83978ccef4c5ac82e2","AccessRelationship","","","id-b066e4ee103f4909a6f4ecad5e372fad","id-df246c47848e469084de0bd0014841dd",""
"id-b9071661a9424d66bda4b743c803bef7","AccessRelationship","","","id-8aaa2222f01740659b815e66f00a08e5","id-43798f13b2d04f23952ba79dea966892",""
"id-7b6f3bc839064478bccbd6eab1742931","AccessRelationship","","","id-b066e4ee103f4909a6f4ecad5e372fad","id-f167914adc18456799edd7e4117d469d",""
"id-82978e47c80b4f21b89ccc7e84cbdbd8","AccessRelationship","","","id-096ca948044e4cc38a230116d8ea098b","id-cb1e978e5da142fc978c1aee5cc75a50",""
"id-10194f63ebd445fdafe1a6d2b8e87200","AccessRelationship","","","id-849cb7e64c524348bcc90db1f3d30697","id-7cbaa83eff9b4531aaa3b4c4ffdf1a04",""
"id-2803420eb9a24cbaa0828e62e200c978","AccessRelationship","","","id-b066e4ee103f4909a6f4ecad5e372fad","id-1d3730f74e8c472f9857dbee43269f62",""
"id-78e5cb8718e343b5861bbd941eb46b4c","AccessRelationship","","","id-03ee7b04e29b465aab76e363a0aba257","id-7604fdb23f784c09b69fb5cf5ca5951c",""
"id-a67b223972d348a5a1873b1753421b4a","AccessRelationship","","","id-42ab444de8484f489a40ca317acb7021","id-deea4aa26b614ec98dace158e1823101",""
"id-de0680aff5824b20aa618bdcff7f9904","AccessRelationship","","","id-6243a232bc96402c96befaf90466b19e","id-0d9bf2e2c4634836852daca2e4dacf60",""
"id-aee63670a4e5410cb4bbe3db7813da51","AccessRelationship","","","id-730f1b4e35284ec8aac0aca2303c23c3","id-1a958ddf5f0b4bcbbde148cb742c99bd",""
"id-13ccf8618900435db20d4628e2291883","AccessRelationship","","","id-f7c60398726f48a6b3ae32301ffebe1f","id-bb6881569e36431b879667f53181e7e3",""
"id-18c91797e2ae45f2a48288a54b77a2fb","AccessRelationship","","","id-fab0ba8cc77649e4b3d998dbfb88e52e","id-4655b1d442d34d4e853bf94dc3fdb983",""
"id-f0a0c219f17b48af8e557bb6e55f157c","AccessRelationship","","","id-6394d61937714800be704f3a04451952","id-ac29b4442bc14478b2b24300504a8584",""
"id-d9934cb8575a4a89964c9842fff9b10e","AccessRelationship","","","id-d80b9a20eaa741dc91840bee136bf93b","id-deea4aa26b614ec98dace158e1823101",""
"id-3a56d04b4bb24faba179271ebc012959","AccessRelationship","","","id-9286af7ecaa0474b9a18d3f6440bf64c","id-1220ebb2e1094fc0a926ae278bf90d32",""
"id-7567068d44c7404cae2cc87b16d15d36","AccessRelationship","","","id-5c3dafdd2ddb43fcbf4653cfe70d46fe","id-bb6881569e36431b879667f53181e7e3",""
"id-a205b61ee306441a89db3e6066f6f902","AccessRelationship","","","id-254503591bf349ed8f1f3a042b499bea","id-b58da1991f4f4fe1a98e768cc8948fb8",""
"id-cd8262adfb854554a40c4c22427b009f","AccessRelationship","","","id-a8ebcf427d014b1ab9c81a736b9f557b","id-43798f13b2d04f23952ba79dea966892",""
"id-ae8220cb85de49748f4800c96f4002c1","AccessRelationship","","","id-f9a42cf0c0404ca1987c449877fb07a8","id-53ab3aef399f4c10b770f3e7b6084dac",""
"id-822872b8a17e4a53867e67890e11b758","AccessRelationship","","","id-1be0365e1beb4e619c0dcf5dd146c37d","id-deea4aa26b614ec98dace158e1823101",""
"id-993675a942b6485e8e2a65019b537672","AccessRelationship","","","id-eae1d307a24f4badbac6460f0072fa94","id-2e68abb30f1d4a6c9b40a1f57acd91af",""
"id-1838150f368f47b0a10da3dfa033d04e","AccessRelationship","","","id-f7c60398726f48a6b3ae32301ffebe1f","id-4655b1d442d34d4e853bf94dc3fdb983",""
"id-4e149f44fd27471fb563a5f1c52a75e8","AccessRelationship","","","id-24061866c36643378ea942c29d6dc509","id-43798f13b2d04f23952ba79dea966892",""
"id-bbeb0bd9c8db49ba93b036c479161187","AccessRelationship","","","id-a8ebcf427d014b1ab9c81a736b9f557b","id-bb6881569e36431b879667f53181e7e3",""
"id-9297a3e184594fe38787f068a71d1141","AccessRelationship","","","id-eae1d307a24f4badbac6460f0072fa94","id-164709caaf1b4bba86fbb702ffc6f06d",""
"id-ef78f8c9c2894986b4b907728ecb7cfb","AccessRelationship","","","id-096ca948044e4cc38a230116d8ea098b","id-4d9fe3b5a5bb4a5d8bd62d68dc7d9342",""
"id-f8ff883d5aef4a26b7a73ec4697ae2ec","AccessRelationship","","","id-03ee7b04e29b465aab76e363a0aba257","id-bb6881569e36431b879667f53181e7e3",""
"id-ade2dc83b46849669cfb487c5dc2e86e","AccessRelationship","","","id-6394d61937714800be704f3a04451952","id-8346626819df4c43b51ec1160e12e534",""
"id-90d75692a0364a099fb7aa3f41774413","AccessRelationship","","","id-03ee7b04e29b465aab76e363a0aba257","id-0793a2e094024d5ab617d7a561bf678b",""
"id-6996027670904ec89930e6347080ec10","AccessRelationship","","","id-b066e4ee103f4909a6f4ecad5e372fad","id-b081e393e55243d484077ce9524e12b9",""
"id-c4f074daadff430598f3f2579efad88f","AssignmentRelationship","","","id-00405d6c5e34482ab4e32825268d92a4","id-d80b9a20eaa741dc91840bee136bf93b",""
"id-fbdbe319adce4bbdab2db8d326f70915","AssignmentRelationship","","","id-91d626587d6c4dcf8976b74b03800ece","id-488a466a483d408e89ee846090c966f4",""
"id-0f431dfaba1c41bab11778855e58678d","AssignmentRelationship","","","id-e3b5def19c6f4153a0aa746cda98a566","id-488a466a483d408e89ee846090c966f4",""
"id-f90649878db544839a1564cb5560c36d","AssignmentRelationship","","","id-c572bac030ab476fabb1efc5f58419bb","id-488a466a483d408e89ee846090c966f4",""
"id-f3277303ac6146ca987ec078b9741534","AssignmentRelationship","","","id-77802c358b0f4995919ee87564e36c13","id-1be0365e1beb4e619c0dcf5dd146c37d",""
"id-e746c31e6f3e4bf28b7a146c88c65f96","AssignmentRelationship","","","id-cb07df658f054e21b28ca883e57e158f","id-164709caaf1b4bba86fbb702ffc6f06d",""
"id-e383cbf936604224bb7c01ad262da247","AssignmentRelationship","","","id-b768ec1113ec4ecaac48e3fd2d4ca562","id-1be0365e1beb4e619c0dcf5dd146c37d",""
"id-a200a520b4284b5199349c6289410571","AssignmentRelationship","","","id-e0376df7141c45c29a0c15ac807b551c","id-488a466a483d408e89ee846090c966f4",""
"id-ed297bba919848a6a686408265f5b792","AssignmentRelationship","","","id-78339005ad7d4569a410c311390d6746","id-ac29b4442bc14478b2b24300504a8584",""
