"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-402564b5","AssociationRelationship","","","d6f7fd2f","b3e743f9",""
"id-77557618","AssociationRelationship","","","cdc445c6","e88f974a",""
"c754c655","AssociationRelationship","","","cdc445c6","fa7ea5c0",""
"ff3c787c","AssociationRelationship","","","fa7ea5c0","id-1ca52cd0",""
"e161b343","AssociationRelationship","","","fa7ea5c0","b3e743f9",""
"id-87a8d6f0","AssociationRelationship","","","cdc445c6","d6f7fd2f",""
"b3db237c","AssociationRelationship","","","id-1ca52cd0","e88f974a",""
"b7ad87aa","AssociationRelationship","","","e88f974a","b3e743f9",""
"id-49179d28","AssociationRelationship","","","id-9f77c1bf","id-7f08249b",""
"f6002d66","AssociationRelationship","","","bc9cab28","id-1c999d4f",""
"id-80b8abea","AssociationRelationship","","","id-6583e7a3","id-7f08249b",""
"id-80a76c49","AssociationRelationship","","","f24680fa","id-7f08249b",""
"id-963da9b4","AssociationRelationship","","","id-1c999d4f","f24680fa",""
"cdbcf177","AssociationRelationship","","","id-6338fd81","id-6583e7a3",""
"id-7433e927","AssociationRelationship","","","id-6338fd81","id-2e60b9f5",""
"id-71f9c130","AssociationRelationship","","","id-1c999d4f","id-9f77c1bf",""
"id-2efe6a87","AssociationRelationship","","","id-6338fd81","id-9f77c1bf",""
"e29f18d4","AssociationRelationship","","","id-6583e7a3","e3492821",""
"id-039f00e9","AssociationRelationship","","","bc9cab28","id-6338fd81",""
"a1d0930d","AssociationRelationship","","","e3492821","id-2e60b9f5",""
"id-7ae0a11b","AssociationRelationship","","","id-2e60b9f5","id-7f08249b",""
"id-75eb2137","CompositionRelationship","","","id-2f72205c","id-9ee42825",""
"a9bf87a0","CompositionRelationship","","","id-56d50d3b","cdc445c6",""
"b1c4c273","CompositionRelationship","","","id-56d50d3b","b3e743f9",""
"id-4c5c4a88","CompositionRelationship","","","id-2f72205c","id-6117f925",""
"id-051f45cf","CompositionRelationship","","","id-56d50d3b","id-1ca52cd0",""
"id-09ec2002","CompositionRelationship","","","id-2f72205c","id-662d2e8c",""
"id-30ae2f0a","CompositionRelationship","","","id-2f72205c","id-7ec30970",""
"id-7e870324","CompositionRelationship","","","id-56d50d3b","fa7ea5c0",""
"aca52a08","CompositionRelationship","","","id-56d50d3b","d6f7fd2f",""
"ebbcac4f","CompositionRelationship","","","id-2f72205c","d5495029",""
"id-5eb31789","CompositionRelationship","","","id-2f72205c","id-7fc19091",""
"a282f764","CompositionRelationship","","","id-56d50d3b","e88f974a",""
"id-0ff31c7e","CompositionRelationship","","","fd5d8a48","d8e4581a",""
"id-068b3190","CompositionRelationship","","","fd5d8a48","id-8ae1e0b4",""
"cfbc0f20","FlowRelationship","","","id-6fb6c2c7","fd5d8a48",""
"a2c34ac1","FlowRelationship","","","fd5d8a48","id-81fc259a",""
"a18b7039","FlowRelationship","","","d8e4581a","id-8ae1e0b4",""
"id-9fc18eab","TriggeringRelationship","","","d5495029","id-7ec30970",""
"id-2853ec99","TriggeringRelationship","","","id-7ec30970","id-56d50d3b",""
"d54c1caa","TriggeringRelationship","","","id-7fc19091","id-56d50d3b",""
"id-808b3a2a","TriggeringRelationship","","","id-9ee42825","id-56d50d3b",""
"ba48c10e","TriggeringRelationship","","","id-6117f925","id-7fc19091",""
"id-94d51c3d","TriggeringRelationship","","","fa05fad2","id-2f72205c",""
"id-10ece2c5","TriggeringRelationship","","","id-8fd3d5a6","id-2f72205c",""
"id-7973ec54","TriggeringRelationship","","","d5495029","id-662d2e8c",""
"a92e609b","TriggeringRelationship","","","id-6117f925","id-9ee42825",""
"id-563a16e8","TriggeringRelationship","","","id-662d2e8c","id-56d50d3b",""
"f7fd2bcf","TriggeringRelationship","","","c2f71eb0","id-2f72205c",""
