"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-14dd39cdc8ef45908188f17c88119e14","AggregationRelationship","","","id-80d3eb2d63c24f08a58bb671cae518b2","id-6d855eb22df041468215a2972b9facde",""
"id-48fa87973615433887e732c450e0ea81","AggregationRelationship","","","id-80d3eb2d63c24f08a58bb671cae518b2","id-8b774e09c47f4ddda7e8045b9cb23cd4",""
"id-87ecf64456de480abcedfb37c7a08649","AggregationRelationship","","","id-80d3eb2d63c24f08a58bb671cae518b2","id-4876f1b5355a4819b31a8eac17ce5390",""
"id-c6e91b0c0a004b63b83bc919fc90d856","AssociationRelationship","","","id-94cf4a1750ac4630a8c1e2e888ddde2d","id-6d855eb22df041468215a2972b9facde",""
"id-2bfd18940d5e499f96176d08e7270c6f","AssociationRelationship","","","id-94cf4a1750ac4630a8c1e2e888ddde2d","id-8b774e09c47f4ddda7e8045b9cb23cd4",""
"id-e4422bc82c234fcf8bebf83ab82a49a4","AssociationRelationship","","","id-94cf4a1750ac4630a8c1e2e888ddde2d","id-4876f1b5355a4819b31a8eac17ce5390",""
"id-e622c4214d3a4c4195395bc977792c46","AssociationRelationship","","","id-6d855eb22df041468215a2972b9facde","id-094859083250415296c8258a3682df38",""
"id-5ea2c25744fd40279b57c10a6241e317","AssociationRelationship","","","id-8b774e09c47f4ddda7e8045b9cb23cd4","id-094859083250415296c8258a3682df38",""
"id-c77df9f589aa48cbab1be4090c62b780","AssociationRelationship","","","id-4876f1b5355a4819b31a8eac17ce5390","id-094859083250415296c8258a3682df38",""
"id-c1ee2d33ffc24ab18647abd7170b3639","AssociationRelationship","","","id-094859083250415296c8258a3682df38","id-7a14cb10bb42437c8fd8be7ace1e4239",""
"id-61e8a3038ac74a61abc8e67ab861c3f2","AssociationRelationship","","","id-094859083250415296c8258a3682df38","id-bb3d9952068a48329f56d4c18c618a28",""
"id-9cd5258d754d4d638c59bfb5b7384a34","AssociationRelationship","","","id-0dc844fe28dc4b4c9061340020956cf6","id-094859083250415296c8258a3682df38",""
"id-e04a161706804556be93ddc22c9fbf7e","AssociationRelationship","","","id-00c877db464a4a92b936cada3c61edb3","id-094859083250415296c8258a3682df38",""
"id-d602a8df45194265a237ecc9c0b6236e","AssociationRelationship","","","id-38120fe110e94f438ec39fe6f674518c","id-094859083250415296c8258a3682df38",""
"id-192da7885bc243f4aa57922cf04acde1","AssociationRelationship","","","id-040a575ec02a4950809dc62db14dde2a","id-21783c1986cf42349fb9f87150d71709",""
"id-5ea08d799cea4ec7be37451612f599fc","AssociationRelationship","","","id-21783c1986cf42349fb9f87150d71709","id-7f440952a26a4b7d88a89a73d600841f",""
"id-23c06b6b967b4fdc8f877790bb466e02","AssociationRelationship","","","id-21783c1986cf42349fb9f87150d71709","id-c507ef57b6634aad8b6e8623b211f294",""
"id-95e0a8f4670844298fcfca954f12ee20","AssociationRelationship","","","id-7f440952a26a4b7d88a89a73d600841f","id-ff9797e4dce24c0fbc4f786bdf95c972",""
"id-b848bcdb9b8b47c487c48105b9937ce7","AssociationRelationship","","","id-ff9797e4dce24c0fbc4f786bdf95c972","id-6d855eb22df041468215a2972b9facde",""
"id-dc9132aa42ba4e9ebd19d3d7abe18b80","AssociationRelationship","","","id-4876f1b5355a4819b31a8eac17ce5390","id-ff9797e4dce24c0fbc4f786bdf95c972",""
"id-e9a78f13ce3844a7a2bf57a060ce84a7","AssociationRelationship","","","id-5099e26d732a41348da0ef08674170bc","id-ff9797e4dce24c0fbc4f786bdf95c972",""
"id-18ae2985c12b4adab6291ec04af9f268","AssociationRelationship","","","id-21783c1986cf42349fb9f87150d71709","id-5775d4abf631430698fa8d473ae90c57",""
"id-d5baa7d8e7544b2bbbd6cab8daec4afc","AssociationRelationship","","","id-c8db6034f24b464ca60d7d1238899edf","id-5775d4abf631430698fa8d473ae90c57",""
"id-cabb7108e0b743998578a352effe0091","AssociationRelationship","","","id-792903e2b08b4b29b680fc4e9188fa60","id-5775d4abf631430698fa8d473ae90c57",""
"id-c546945442714f9a8a836953e14422b6","AssociationRelationship","","","id-7a14cb10bb42437c8fd8be7ace1e4239","id-5775d4abf631430698fa8d473ae90c57",""
"id-eedb6d29bfd445828ca8f2bbc9e936bb","AssociationRelationship","","","id-2bc30ffd2851466baed4beb09d4199cf","id-5775d4abf631430698fa8d473ae90c57",""
"id-ed62a9f2b9264815a8d5635fbbe5902c","AssociationRelationship","","","id-5775d4abf631430698fa8d473ae90c57","id-0ef4cd829cd3410db9552041dff7ba69",""
"id-f4ca7a81305945c5b573932a647b669b","AssociationRelationship","","","id-c8db6034f24b464ca60d7d1238899edf","id-2226816b8ac146878236d5863728e47c",""
"id-23967cc3c79643558012eea3938cef57","AssociationRelationship","","","id-792903e2b08b4b29b680fc4e9188fa60","id-be94f4ec8b5647c7830909ad0b772ac6",""
"id-e71493789dae41128bec1b5d7df47915","AssociationRelationship","","","id-cca70172b6a24ebf9de6bac99b18d06a","id-2226816b8ac146878236d5863728e47c",""
"id-1916ae2ee9a041f6b1744c9c5481fdf1","AssociationRelationship","","","id-b130d9331e964589bd9045a5d11e9c15","id-2226816b8ac146878236d5863728e47c",""
"id-2774268fdae34a85b35f8d7268e6844b","AssociationRelationship","","","id-4165ad419d824229a943c0c8a2e66c33","id-be94f4ec8b5647c7830909ad0b772ac6",""
"id-acff319a8071495abe03d48da619bd98","AssociationRelationship","","","id-3d8320faa2ad440a9bb97f4876d8fbc7","id-be94f4ec8b5647c7830909ad0b772ac6",""
"id-0a95bb540e2242b6bd8a5d8c3f0e814f","AssociationRelationship","","","id-7a14cb10bb42437c8fd8be7ace1e4239","id-a4b0c2d4224b46408377c95477809636",""
"id-361cd121102b430ba53c49dacc4dd864","AssociationRelationship","","","id-94885f2f5c56470592898366ec7b1102","id-a4b0c2d4224b46408377c95477809636",""
"id-9142ef5b424e409292d90e4f93c9edca","AssociationRelationship","","","id-954b82cbfd134dcbb704490eb087141e","id-a4b0c2d4224b46408377c95477809636",""
"id-c9560b7c0ec547328a72520fede1a9dc","AssociationRelationship","","","id-2bc30ffd2851466baed4beb09d4199cf","id-7c99a49878b34d9cad78072751fc7c6e",""
"id-79f40939f8e943d9aaa553c934c172c3","AssociationRelationship","","","id-39cd23ce3b604be9a4cf380049e64d9f","id-7c99a49878b34d9cad78072751fc7c6e",""
"id-f0efbc764cc24800a3152df30c6a7baa","AssociationRelationship","","","id-33d9eb5da87a434bb2971a1a66252f14","id-7c99a49878b34d9cad78072751fc7c6e",""
"id-edf537b5ef6c499cb5fdaa8459c0d4a6","AssociationRelationship","","","id-fa1d6771aaa24f098d17b1c88c0f0d3e","id-0ef4cd829cd3410db9552041dff7ba69",""
"id-b7cd93bc0bfc44ffa9637a3f7a9e8588","AssociationRelationship","","","id-5567953d3c574fe8824e8a2a6c9a4b7d","id-0ef4cd829cd3410db9552041dff7ba69",""
"id-7d9502620fdd4b0da619695cc2d341a1","AssociationRelationship","","","id-8846788047f742f59ad148a2a464a569","id-0ef4cd829cd3410db9552041dff7ba69",""
"id-7535269c02704b53b5aa8fddf4d4c0f9","AssociationRelationship","","","id-fa1d6771aaa24f098d17b1c88c0f0d3e","id-13f16001cc53451da411096fe79ee001",""
"id-70e1b5f647784218b2a1af4688541099","AssociationRelationship","","","id-5567953d3c574fe8824e8a2a6c9a4b7d","id-3fe16798f89945c6bf370bf1f6fce926",""
"id-0df74809e3d6485287fb2f855f1083a5","AssociationRelationship","","","id-8846788047f742f59ad148a2a464a569","id-1f15e08b2e5f49faa276170b3b0d0baf",""
"id-ea7a33c1b022404fa090bbf7a8defaa5","AssociationRelationship","","","id-6d9710c6f64c4db7aa778852b81c3e62","id-13f16001cc53451da411096fe79ee001",""
"id-e99298a6577d4fb7ac5e171350103dc0","AssociationRelationship","","","id-37791ffd8e8b45b681b7870edcf04ce3","id-13f16001cc53451da411096fe79ee001",""
"id-0a3d41612d03462c96638519655cdc5b","AssociationRelationship","","","id-253d00e32ab64ed6a798fa2ba6ab26b9","id-13f16001cc53451da411096fe79ee001",""
"id-3f638cab336a421f987bd9ce2f6a99e8","AssociationRelationship","","","id-07a5df1f6e8048e58929c64a55fd2e11","id-3fe16798f89945c6bf370bf1f6fce926",""
"id-5f8f4f57668547d4ab3b88121c9c5c0f","AssociationRelationship","","","id-0398dc9fc6b745d3b69c1621acd155aa","id-3fe16798f89945c6bf370bf1f6fce926",""
"id-1db1025fd946402e9f6a903e7ab62106","AssociationRelationship","","","id-a1736a2576704d3581862b9b0b4d7183","id-3fe16798f89945c6bf370bf1f6fce926",""
"id-35feb8730163461ba3b8e86f456d3bb7","AssociationRelationship","","","id-df7412d6735342ffa32b5be9768c8cd9","id-1f15e08b2e5f49faa276170b3b0d0baf",""
"id-9b72db72bc6742c5b2b8b8f30b96a77b","AssociationRelationship","","","id-f94b7be9db0a40058574caeab62ede8b","id-1f15e08b2e5f49faa276170b3b0d0baf",""
"id-a73662d14f914e19825cd588aea8b9f2","AssociationRelationship","","","id-03f61cb8040c44daa29f19fe6fa455f6","id-1f15e08b2e5f49faa276170b3b0d0baf",""
"id-64284759a6f24370896161a558beddfc","InfluenceRelationship","","","id-94cf4a1750ac4630a8c1e2e888ddde2d","id-80d3eb2d63c24f08a58bb671cae518b2",""
