"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-e5c9d4bd-55a6-46eb-8174-da9ff773b2eb","AccessRelationship","","","id-fd967091-4d84-4bff-b5a5-73fca2d99f76","id-72980e5e-4db6-43be-bd20-087ffe3ef029",""
"id-24be5579-4250-4188-bd38-f9f97d294f81","AggregationRelationship","","","id-5ada7fba-30b4-4fee-814d-d8bea9bde849","id-dabb729b-001f-4bb5-85fa-049d110eec7b",""
"id-fb17c87e-228d-4322-b31a-10a5cc48e1bb","AggregationRelationship","","","id-5ada7fba-30b4-4fee-814d-d8bea9bde849","id-f9471304-3cea-4be3-8fac-1411f61c9ba3",""
"id-6db7fb36-e135-469f-a496-781ac9ae23bf","CompositionRelationship","","","id-e88265ca-d8da-4b9b-a217-54faba13de9d","id-329be108-1128-4508-9b52-534896e003b5",""
"id-21afdbca-f150-4a0e-a74e-6a52638dda51","CompositionRelationship","","","id-e88265ca-d8da-4b9b-a217-54faba13de9d","id-b7ede0b1-23fb-4c08-967a-faf713472af4",""
"id-eada9546-9f9d-4c97-8480-1cbda20cfd42","CompositionRelationship","","","id-82744b6d-42a8-4a46-b0ef-6583809035ea","id-5ab1b9aa-4bbc-48d8-828c-415e50338222",""
"id-e2a78a05-eb5a-49f9-bbb2-fae000f4802e","RealizationRelationship","","","id-82744b6d-42a8-4a46-b0ef-6583809035ea","id-d5b6273e-b2d0-4fcc-bcfb-b4a5f85a8cf7",""
"id-9cd0f961-2cdd-4bea-9280-46ce5c5a2c74","RealizationRelationship","","","id-5ab1b9aa-4bbc-48d8-828c-415e50338222","id-8162a46e-7ba1-42fb-882d-89f553e28b6e",""
"id-140f264f-2e26-4855-be98-0fa654a5ffce","RealizationRelationship","","","id-82744b6d-42a8-4a46-b0ef-6583809035ea","id-8162a46e-7ba1-42fb-882d-89f553e28b6e",""
"id-7fd0510d-9cb8-47de-94da-adfb67d898cb","RealizationRelationship","","","id-5ab1b9aa-4bbc-48d8-828c-415e50338222","id-d5b6273e-b2d0-4fcc-bcfb-b4a5f85a8cf7",""
"id-2a470d2e-175f-425b-9b70-759f1a96a56b","RealizationRelationship","","","id-82744b6d-42a8-4a46-b0ef-6583809035ea","id-0a9af55b-df91-4142-a48a-0ba72d304fe8",""
"id-1432e098-7adf-4156-b943-6b5cb93b5832","TriggeringRelationship","","","id-6874b8a9-cb1b-4af6-ab5c-0d71581f5a33","id-83c07500-6779-4997-ac16-8a4c59a28b5e",""
"id-1e82489e-d5e8-485e-acdd-300561feca02","TriggeringRelationship","","","id-fd215a76-510b-465e-9d94-5426bf653b17","id-871e9414-7101-48c3-85a1-a6754297ae23",""
"id-1ca6f0f3-977f-4670-a0c0-722448001daa","TriggeringRelationship","","","id-fe17ef4b-63ac-4423-8dc3-b85dc02a09c2","id-a382d11f-4a23-46f1-b510-70579fb56651",""
"id-f2d37cae-2b21-4f0c-8f8a-2df884d6bfab","TriggeringRelationship","","","id-6eb9940b-a9a8-4b99-87d7-0f434c9e1ce0","id-67b38222-e0da-423b-ba99-d080a3b5b7b7",""
"id-33984f7d-832a-404d-aecf-ab6aadbc5dca","TriggeringRelationship","","","id-83c07500-6779-4997-ac16-8a4c59a28b5e","id-fd215a76-510b-465e-9d94-5426bf653b17",""
"id-f341f52f-df93-4f3d-93e3-c796f3017a9c","TriggeringRelationship","","","id-a382d11f-4a23-46f1-b510-70579fb56651","id-83c07500-6779-4997-ac16-8a4c59a28b5e",""
"id-f17cfee8-5760-4ea6-8ab7-1f7eb33b0d3c","TriggeringRelationship","","","id-fe17ef4b-63ac-4423-8dc3-b85dc02a09c2","id-6874b8a9-cb1b-4af6-ab5c-0d71581f5a33",""
"id-53a84d54-8908-47ab-a67e-706f0bb0ab71","TriggeringRelationship","","","id-67b38222-e0da-423b-ba99-d080a3b5b7b7","id-fe17ef4b-63ac-4423-8dc3-b85dc02a09c2",""
"id-72770d38-3b14-4f14-80b1-8b7eb81c2b4d","TriggeringRelationship","","","id-329be108-1128-4508-9b52-534896e003b5","id-b7ede0b1-23fb-4c08-967a-faf713472af4",""
