"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-8a7165b0e5174b9e9bc3c4b71656a577","AggregationRelationship","","","id-baf97c4f318b4361bc2e90e63c1d5211","id-27d1173d50344e7a92c888f34023d5a4",""
"id-9eb76981ee254faea01aee431fcb32f3","AggregationRelationship","","","id-ad367d1631d8472aba11c0d45ac33a30","id-baf97c4f318b4361bc2e90e63c1d5211",""
"id-ca3f71d3c16f41bbac9c288850e700d7","AssignmentRelationship","","","id-60a88fa6c9414087b9221d37f243ff9d","id-7e5d0a968a7f4f9f8ab9ddecf6328f57",""
"id-8b1f0308011f40b5bf48312b46717140","AssignmentRelationship","","","id-d3faf9e79e7740b6bf8ca523f55f06a1","id-3ad15ee5ba9f4ee7826528b03d184c95",""
"id-22ce9c1a9b4948c3b8829456633918c6","AssignmentRelationship","","","id-b2ee2af23eb34de5988e1df33f12e24c","id-f479d5399d154368bf9448f683aac689",""
"id-53aa7a00c7ce470fa29d8fdbf00598e1","AssignmentRelationship","","","id-b2ee2af23eb34de5988e1df33f12e24c","id-a2ee5b17f799436c9e1cf74933247927",""
"id-b321e507b12343a0bc85603d53e24ced","AssignmentRelationship","","","id-b2ee2af23eb34de5988e1df33f12e24c","id-1990756d63e54951a4ab5a3e8b211d22",""
"id-94b0050935a64133a2587a8f563c736c","AssignmentRelationship","","","id-33848cf4901d4288b041078bf4c434e8","id-3ad15ee5ba9f4ee7826528b03d184c95",""
"id-26f5dee2f06a42fe9e0915e440861e21","AssignmentRelationship","","","id-33848cf4901d4288b041078bf4c434e8","id-14779f92370f424b8d868ecd145293e0",""
"id-b911658136224f13a15843f03eacc60f","AssignmentRelationship","","","id-d3faf9e79e7740b6bf8ca523f55f06a1","id-33848cf4901d4288b041078bf4c434e8",""
"id-b6bfefe173984cd2b1625a4903c43888","AssignmentRelationship","","","id-ea96d47f1b7048c3ab2edc6f17875e64","id-2991963b808943378ce5ddda4855ad9a",""
"id-343a4babfa164aa3ac5a1f5984f1e2d1","AssignmentRelationship","","","id-ea96d47f1b7048c3ab2edc6f17875e64","id-1990756d63e54951a4ab5a3e8b211d22",""
"id-fb5aa0762877494e89c4b5a1e8820ac2","AssignmentRelationship","","","id-8abdcd35175441a5aea4673f2a6f3cad","id-1990756d63e54951a4ab5a3e8b211d22",""
"id-a7cd6a3e45ed4986acdcf73c30b8d532","AssignmentRelationship","","","id-8abdcd35175441a5aea4673f2a6f3cad","id-88c0598c7c4048299ec52b285468ea76",""
"id-77d45af765be4b28b98fecb4be1b727f","AssignmentRelationship","","","id-8abdcd35175441a5aea4673f2a6f3cad","id-d0cdf1e802e245348ac75d30c697209a",""
"id-ff667d9810c6445185c1abc8ba5703e0","AssignmentRelationship","","","id-6cc7c590dcc4453694fb66179eb34cab","id-1990756d63e54951a4ab5a3e8b211d22",""
"id-d7e96016989749e9b0789571b7567b0d","AssignmentRelationship","","","id-6cc7c590dcc4453694fb66179eb34cab","id-d4c645da3a944bd3877d25ef2445a8e0",""
"id-631f63b167d74357aa8b6cf3185f9c06","AssignmentRelationship","","","id-6cc7c590dcc4453694fb66179eb34cab","id-43169e3b307c4601b46fa234a35edaf4",""
"id-642c9e3ee2944a92bb057127aee4c108","AssignmentRelationship","","","id-4e5c0f534bd44af18460c7ad78828487","id-1990756d63e54951a4ab5a3e8b211d22",""
"id-56692489673247e6baef8cb4eb756ffb","AssignmentRelationship","","","id-4e5c0f534bd44af18460c7ad78828487","id-cd1c501d4bba435b8e0c747491b446c4",""
"id-03e92099af204a00a636e3ca753f0683","AssignmentRelationship","","","id-4e5c0f534bd44af18460c7ad78828487","id-788ca719114744fabf2bc82211e4f00c",""
"id-67f7b70f47b641dc93289acceaf5fcfe","AssignmentRelationship","","","id-c777b75aa2ea4e43abdaf6d590f2c4be","id-1758bb774ec34aee8e3b4abfee3d2a9c",""
"id-bd55b7c53cb34f43b212de0a5a136652","AssignmentRelationship","","","id-1758bb774ec34aee8e3b4abfee3d2a9c","id-33a4ef4299444e1ba1aa99f736e71f3d",""
"id-fb6c8cd1f5cf4379b22cc5b4fd5614ef","AssignmentRelationship","","","id-1990756d63e54951a4ab5a3e8b211d22","id-edb5cd1b79794774af31df1b2c98461e",""
"id-f8ac56eda392456589febb4b64f3bddb","AssignmentRelationship","","","id-33848cf4901d4288b041078bf4c434e8","id-a5a013f80059487eb332066aa1059e95",""
"id-02bb1a8f8c1c472f823dafc32b9a13be","AssignmentRelationship","","","id-1990756d63e54951a4ab5a3e8b211d22","id-37198e4cf5a942ecb0885f1882b8b0b9",""
"id-28ce0317b38a493fa34da58a18580d48","AssignmentRelationship","","","id-a68742da229c4c7ca2ed9acde4cf8db2","id-c13ffeaa216745d1941ee3c2b6424eec",""
"id-2766ff1b7cd9465397e392b0e2ff6e18","AssignmentRelationship","","","id-2717c730ca2943c3850b3fc6cfbed088","id-00ad1fabf4f2467f8335904e5644a073",""
"id-fd202e21722c459d862212c21140cec7","AssignmentRelationship","","","id-00ad1fabf4f2467f8335904e5644a073","id-27d1173d50344e7a92c888f34023d5a4",""
"id-385d972781fb466e96efa4fd9042c8dc","AssignmentRelationship","","","id-ad367d1631d8472aba11c0d45ac33a30","id-baf97c4f318b4361bc2e90e63c1d5211",""
"id-e44a76546b374f74ae8be971e4936bae","AssignmentRelationship","","","id-a68742da229c4c7ca2ed9acde4cf8db2","id-15dd4bcb7ac94c279ed0dffeceb3bd45",""
"id-6a3b391b59fb461bb73624fcd6df0120","AssignmentRelationship","","","id-a68742da229c4c7ca2ed9acde4cf8db2","id-1990756d63e54951a4ab5a3e8b211d22",""
"id-d5b3a2d6e936436aaa4b1e69bd5072b3","AssignmentRelationship","","","id-1758bb774ec34aee8e3b4abfee3d2a9c","id-45fe83317d624a3e977f29b0f708c3f7",""
"id-bdf080f007ba456388d7795454e2d703","AssociationRelationship","","","id-e95b6fbcb11c4a00a420dd1bd125ce60","id-14c1e16eace74c14a6982da6861e923b",""
"id-7e2f7a55926b401ba4e8292bfd665882","AssociationRelationship","","","id-14c1e16eace74c14a6982da6861e923b","id-0cd97a7c51d74cd3868ddbd0f8c65a96",""
"id-e032bf65b1504d8e84e815b1124c0a3d","AssociationRelationship","","","id-14c1e16eace74c14a6982da6861e923b","id-019c9574cde945e19e5cd0283feb53a6",""
"id-b7fc74ec911840c99ed700f425f46d5c","AssociationRelationship","","","id-49f5c65511bf4266bb35537ed93807cf","id-0cd97a7c51d74cd3868ddbd0f8c65a96",""
"id-31ca183a963343939f8e7f5491030b8d","AssociationRelationship","","","id-49f5c65511bf4266bb35537ed93807cf","id-6fa601e11a1e448f8973e27fffe505a3",""
"id-f901461e7d234cf0b58a58b3bb48f9ee","AssociationRelationship","","","id-0f9491727986491993c1e26434501421","id-6fa601e11a1e448f8973e27fffe505a3",""
"id-2e00228880cf45939f05f311eb93a017","AssociationRelationship","","","id-bb152635398b4d4680984a7659de8c3f","id-722a0116c9b34f8ebe7d8bb57cd2bc51",""
"id-a2146ada09f042a8a1d3d8a0a9a7c036","AssociationRelationship","","","id-9712ea42ae4143ce8727c1b2dc70b3d2","id-e7a26374962d4a32bf27842ba91b1ca2",""
"id-bc1661252c5749c38313d62b10398c0d","AssociationRelationship","","","id-bb152635398b4d4680984a7659de8c3f","id-019c9574cde945e19e5cd0283feb53a6",""
"id-1323c03a75bf4fc68f4151750cf48d42","AssociationRelationship","","","id-12321bc4459647299c4500a8537accff","id-0f9491727986491993c1e26434501421",""
"id-c658dbc27f0b4bde89bb3606fb655c46","AssociationRelationship","","","id-12321bc4459647299c4500a8537accff","id-d6ad7d94478e4917ac83f63f9d5954c2",""
"id-75a2020ccf684651a77599af50ba21d8","AssociationRelationship","","","id-dc082d459f164af5bf27b86e4b827c30","id-8e7134da4a4a442094b9c47f598be73e",""
"id-cfc3043f34774406be8e1d750d35f71f","AssociationRelationship","","","id-a1002a84b4194cfa8c1d47a8e4e577a5","id-e499f1896b074790afb32453bbe19bdb",""
"id-d1aa3fd6ea1f454394397c7b2fad64fd","AssociationRelationship","","","id-2a4d670617f74cd1a635429e083a5408","id-481b947c65fc41c69eac8f70f9a294c0",""
"id-5715432d9c414d8c91898cf6f8d627dc","AssociationRelationship","","","id-7eb0de5e34ed4420a925f76fe7bb35aa","id-22478729e3284a9795c964eef1157459",""
"id-b4f1993757ae42338a279dd1a6317dd0","AssociationRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-c297cda12fea4bf2a1a263c519ad9b19",""
"id-e8aefc0fd6644c1893511953b19b2ed8","AssociationRelationship","","","id-d3faf9e79e7740b6bf8ca523f55f06a1","id-33848cf4901d4288b041078bf4c434e8",""
"id-8364ac9798514b91a6cb03e1af511659","CompositionRelationship","","","id-22834026799849ce87f7fd746cfb7e8d","id-e05ec142e4a64a4191aab231d4382930",""
"id-20f8e997cb27499ebd5f99d497d88846","CompositionRelationship","","","id-3421e2b8b49f4789af8a92bcbd154e5d","id-0b65ff4c73bc49debeed1b6449be5ecc",""
"id-c12d19fe1c1246fbbea7883693564f5d","CompositionRelationship","","","id-7eb0de5e34ed4420a925f76fe7bb35aa","id-22478729e3284a9795c964eef1157459",""
"id-5e946d70d8b64c79a3d16028a9f93439","CompositionRelationship","","","id-69df9a911c924ca2bb9151fbadd3ea38","id-8c333a7625cd425ba58a6c894240f33f",""
"id-6e2acf8e94e54eb2928ffe22e7643f64","CompositionRelationship","","","id-8c333a7625cd425ba58a6c894240f33f","id-69df9a911c924ca2bb9151fbadd3ea38",""
"id-fa7d9d62dd8e4b67b55bf7834e9043e8","CompositionRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-3ad15ee5ba9f4ee7826528b03d184c95",""
"id-b3928928ad8e43f689a0a3a3c6f1813d","CompositionRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-14779f92370f424b8d868ecd145293e0",""
"id-9a352984fc7c4b8d8df79b61d0f44049","CompositionRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-edb5cd1b79794774af31df1b2c98461e",""
"id-928f15dbb8e7449b975786d72e79d265","CompositionRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-37198e4cf5a942ecb0885f1882b8b0b9",""
"id-f7646b60c1314bfa93fb8067bc3788db","CompositionRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-33a4ef4299444e1ba1aa99f736e71f3d",""
"id-eaf326e6dcf244f788f9360bfd5b99f0","CompositionRelationship","","","id-7e5d0a968a7f4f9f8ab9ddecf6328f57","id-a5a013f80059487eb332066aa1059e95",""
"id-9f9a1c03212b43c5bd36a067e7b36302","CompositionRelationship","","","id-60a88fa6c9414087b9221d37f243ff9d","id-7e5d0a968a7f4f9f8ab9ddecf6328f57",""
"id-54cb46d2c9164be8a65d090e8c368929","CompositionRelationship","","","id-ad367d1631d8472aba11c0d45ac33a30","id-baf97c4f318b4361bc2e90e63c1d5211",""
"id-c7a61588f4054f0bbba16f27e21e427a","CompositionRelationship","","","id-7c18f93e83cd4da08c561f4e3a346fdb","id-45fe83317d624a3e977f29b0f708c3f7",""
"id-586a5fb6e2744d418a72f9ee0809c935","CompositionRelationship","","","id-69df9a911c924ca2bb9151fbadd3ea38","id-8c333a7625cd425ba58a6c894240f33f",""
"id-ef5508a29fff44a594db7ee0bd2e7a8a","FlowRelationship","","","id-3ad15ee5ba9f4ee7826528b03d184c95","id-14779f92370f424b8d868ecd145293e0",""
