"ID","Key","Value"
"id-c236b7925d42493d9e87e662340af457","Directed","false"
"id-812a1852d11343459fd02ca491d0abd3","Directed","false"
"id-940aad92d5194742ada2adfc8f90892a","Directed","false"
"id-f7f274fd8b234f01954500c70bd8f62b","Access_Type","Write"
"id-e60b969419814df8918b003eaf4dcf50","Access_Type","Write"
"id-029d8cd91ced41da8ab02949a464ecd3","Access_Type","Write"
"id-4da56a1812ce4438801db18b4896dca0","Access_Type","Write"
"id-ac11a4c19ae64bf1bd57b7d0031bc7c5","Access_Type","Write"
"id-5b25882f32784e578e20c9381ce172e4","Directed","false"
"id-2c9677d8b30e441e97acfd09e9e2eedf","Directed","false"
"id-af4d042fdc814627a17df9692a0699e4","Directed","false"
"id-c52edd93f4954efbb5d8591ed3a2b9e9","Directed","false"
"id-258659dcb5fb42f0ab7542b660d6045c","Access_Type","Read"
"id-d7d0681148394256af861a9920d06388","Access_Type","Write"
"id-8a6258c45f05447286fb962e40b9b602","Access_Type","Write"
"id-6401cc9added4243b2dfe42168b7c879","Access_Type","Write"
"id-06e10cc3b5af4342afe642e04e816160","Directed","false"
"id-8c39a88737934bd5a31bb30c970f0d47","Directed","false"
"id-d437d91b9de54a5d80e141e9c4464db6","Directed","false"
"id-4144bd05939740369d3d0d09a4d4406a","Directed","false"
"id-c97ccbcaf34a4d73a605a80502dbb9a0","Directed","false"
"id-32e8bd8631854c9586058a4c59d8d83b","Directed","false"
"id-f5ffec5a168f45389a586da856837969","Directed","false"
"id-af2ae377bad94a148fcacbbca488882b","Directed","false"
"id-2886794574e04e30a8e7fe5de064264b","Directed","false"
"id-fc08698c8203400ea54748c7818ddb42","Directed","false"
"id-2d199b62155d4d6592cce6a209d2975f","Directed","false"
"id-4775660a50364a8e95ed4c11f0b86b69","Directed","false"
"id-6488c5b6bcb5405c93b5f75d4109a220","Directed","false"
"id-043bac21674e41cfa2148c9239a77fd7","Directed","false"
"id-b10bd1f2e19b4ba99f2a87987b2a4e98","Directed","false"
"id-f7b281fb86e84812b59c33eac27c5a18","Directed","false"
"id-5ae2f56257684f29a6787867a3475270","Access_Type","Write"
"id-23e2c52a29a945dc9cb3f01cd3b4a6b9","Access_Type","Write"
"id-b79c2a766dec4bd8b2d0b56d5057b451","Access_Type","Write"
"id-4ae2a47755a5451ea54ca1002de3c51e","Access_Type","Write"
"id-160be7ff7bf24914881f7a436f45a619","Access_Type","Write"
"id-5e404217b1fa4ec69233350fc0c94919","Access_Type","Write"
"id-22db6a28c9e94c0eac4a6d972b45e1ba","Directed","false"
"id-a35ba3ca1dc24717bcf9d38db61beb66","Directed","false"
"id-2944714fab78450fa960a9da0760b92d","Access_Type","Read"
"id-7cb88430c2e84a559a86dc7321ba2726","Access_Type","Write"
"id-9acdb35660674f97b58adb8775292f7f","Access_Type","Write"
"id-46e64f6b02714ccba353749c12860155","Directed","false"
"id-67593e00668645e78a35b4ed3395cec3","Directed","false"
"id-cfe69f97a3aa40819f327e1c815cc224","Access_Type","Write"
"id-222c3763b31449d49fbb90346a7dd199","Access_Type","Write"
"id-db849250360941d9b5211f8f7a1b0ac2","Directed","false"
"id-b6e1706cc7034c0caee6c2d7307427ba","Access_Type","Write"
"id-7fe8c1dfcd05456080c824af3ea3976f","Access_Type","Write"
"id-0e4db23d558f47cfb3309ff09d171cca","Access_Type","Read"
"id-2547f704be2d4354a53ece6c04c5eeeb","Access_Type","Read"
"id-fe5dab227def4e6687525e3900faf4f5","Access_Type","ReadWrite"
"id-16c6866dbc4c4ae3b3a581997aded404","Access_Type","Write"
"id-6ec9e84faf6c4f829c396b4b827d37f5","Access_Type","Write"
"id-72f0e39a65e646e18af5411c7080fa91","Access_Type","Read"
"id-a38c10f2db7947d69497282fb0ec8433","Access_Type","Write"
"id-0ff13193334345d18a557a4d4ab75327","Access_Type","Read"
"id-0318905d05604ffea6c7d6cf35f3fa3f","Directed","false"
"id-f23cc29b0fdd45b39703b36503d0884c","Access_Type","Read"
"id-159ea3fd767c4e66bfe8b9534eb61ff9","Access_Type","Write"
"id-d2685fc00fcf4a8eb590b0dd97ae8ffd","Access_Type","Write"
"id-c8785e39e0a0462386180a5f1e30d370","Directed","false"
"id-5477e60df54044bbbae7b1a7aaff013e","Access_Type","Read"
"id-b345b401a4fa40b68de5f9fa86bfc7f6","Access_Type","Write"
"id-88b14e540399420f970009f4376c21f3","Access_Type","Write"
"id-4b27563413334142bf26a42de815dfe2","Access_Type","Read"
"id-5385489120e04209aacaf2db30c35a90","Access_Type","Read"
"id-47266e0eaf934cd7abe9dd868fdbc0b0","Access_Type","Read"
"id-213f0877114e437b8174bde86e29e90c","Access_Type","Write"
"id-8fa42edddc354d0e97a1615402f599a8","Access_Type","Write"
"id-d1e162a62ac044d1bb63ed3c611dd5da","Access_Type","Write"
"id-0e128ef574d541b18ce0f82af0c34b1f","Access_Type","Write"
"id-ae791f8d1bd74043b3ca5e68bf66b9de","Access_Type","Write"
"id-191fec498c6848a3bd49183c87c3d802","Directed","false"
"id-7509ccc3e44e472ca4714e5d28df410c","Directed","false"
"id-6d93b9c8918a468c939f057f7776d5e4","Access_Type","Write"
"id-181ed51f551147cc9a8558b5045d9690","Access_Type","Write"
"id-d0a8bfc66f894e57b8c4e94b18877bdd","Directed","false"
"id-c2571218ee7f44f196ded8099f896fb3","Directed","false"
"id-36eaf49057e14b688a2d14615bab2201","Directed","false"
"id-c4c83e1638d244a48a6fc0f7334f698f","Directed","false"
"id-b7ae10411dbb4b49b2a70f4ec00821b2","Directed","false"
"id-ddac9bc8b5884ee09ec896a380a6aa8a","Directed","false"
"id-4e0106a2dfe44f40b70f183e8304dbc3","Directed","false"
"id-24d38829ed934438a03a56092f457305","Directed","false"
"id-a38ac34f98a84036bc0e7ccd361723e5","Directed","false"
"id-6b4e59cc4e07474488c588e7d8e43494","Directed","false"
"id-be94d018534c4df3807ba97afbe34d80","Directed","false"
"id-04bf46b64a7d4df7a151d57847ce6437","Directed","false"
"id-65a83ad61eec4349aab3d3954835937f","Directed","false"
"id-874d4e6e9a534e43acdb5fe168664293","Directed","false"
"id-6f3e066bbc46479b9ad20adc7c9af372","Directed","false"
"id-a4b857721b1247b3abae6bf7ca583460","Directed","false"
"id-ecedef2170af416f8f18869654477683","Directed","false"
"id-b9fc2ee6845348d99fe714ec168384f0","Directed","false"
"id-13cd98960a9c4c50b62ee53482054e4b","Access_Type","Read"
"id-c2584665f96a4a5a9d68de922e98c658","Access_Type","Read"
"id-a8737d27e91848c985cb7e1145e4aada","Access_Type","Read"
"id-1a71fc6399b4465a82743c5e438bcf0b","Access_Type","Read"
"id-b1f70fa9647a4fbe8806767b5f81a250","Access_Type","Read"
"id-0ec5a23af8ba4f45a2674fe103ed1636","Access_Type","Write"
"id-048f345d40114af0a64cd587d1faaaea","Access_Type","Read"
"id-c7a522898c034b58a7c883bed1c3ccaf","Access_Type","Read"
"id-830921d26f34426ca152826fdf730488","Access_Type","Read"
"id-9a0229cf55204dec82a6d949c6f71da5","Access_Type","Read"
"id-4cbb48a6efdc4a979fc7ff3d00a092ee","Access_Type","Read"
"id-efdd18f5996345c396e7cdee3246c661","Access_Type","Read"
"id-4d0f0e97668b45b498da559a920cd315","Access_Type","Read"
"id-43194fee965b4c0aa8b53d3ff1d17d56","Access_Type","Read"
"id-6812a3ac59e048209c8a672a6cee11f7","Access_Type","Read"
