"ID","Key","Value"
"id-5e984ac72878407da97a0dc9e9a6a520","Access_Type","Write"
"id-dabc9032b2f9406ca80aedf76e26d703","Access_Type","Write"
"id-1e400364c43347bdb417b1cddaaaab64","Access_Type","Write"
"id-b9072f468224448b84e07da17eec0ff9","Access_Type","Write"
"id-44a88586ef20407b80d5946df7667c72","Directed","false"
"id-64337648c9fc4bc1a20eca11bb0fef24","Access_Type","Write"
"id-4da06381777d4b8189a09f70c390d57f","Access_Type","Write"
"id-d9b0e92c8dbb4b889dba36b62a2dec30","Access_Type","Write"
"id-6f78af0ffd1a43c1a67401f08863fd5f","Access_Type","Write"
"id-50539ba4c6544c3fa48f642fd62e3560","Access_Type","Write"
"id-6f1392826bcf45d6b52885ecce0bf58c","Access_Type","Write"
"id-04674406c0c2476aaa119f1ac38b6321","Access_Type","Write"
