"ID","Type","Name","Documentation","Source","Target","Specialization"
"b881531a","AccessRelationship","","","f521a19b","id-978b0757",""
"a8303ab9","AccessRelationship","","","id-5ffa87e3","e503c599",""
"id-2cba84bf","AccessRelationship","access","","e221080d","af2be141",""
"id-4aeec17b","AccessRelationship","create/update","","id-2ea88bdb","f120cbd4",""
"e57c9fe2","AccessRelationship","create/update","","id-2ea88bdb","id-6225c05d",""
"id-34857074","AccessRelationship","read","","id-5ffa87e3","f120cbd4",""
"id-088bc1c5","AccessRelationship","read","","id-5ffa87e3","id-6225c05d",""
"a9079f8d","AccessRelationship","read/update","","da624149","f120cbd4",""
"d89a0149","AccessRelationship","update","","id-7b0d47a8","id-6225c05d",""
"id-2205942a","AssignmentRelationship","","","id-76667cd5","f521a19b",""
"c61cb31e","AssignmentRelationship","","","b1a6f360","id-76667cd5",""
"ce219228","AssignmentRelationship","","","id-7a77302a","id-8f115367",""
"id-430c73f1","AssignmentRelationship","","","ccf774c6","f6efb5b0",""
"a9d13b68","AssignmentRelationship","","","cabbe968","e221080d",""
"b1417f70","AssignmentRelationship","","","id-8894926b","id-76485697",""
"cdc7084f","AssignmentRelationship","","","id-76485697","id-6a22992d",""
"id-01277c08","AssociationRelationship","","","id-0fa23d54","id-8f115367",""
"bc6c10ea","AssociationRelationship","","","id-76667cd5","ccf774c6",""
"id-49fb4455","AssociationRelationship","","","f9b85f33","id-8894926b",""
"f217ed27","AssociationRelationship","","","cabbe968","id-566c8c20",""
"id-81cc6304","AssociationRelationship","association","","a1ac18dd","id-978b0757",""
"id-2eaa7de9","CompositionRelationship","","","id-76667cd5","id-7a77302a",""
"id-54604954","CompositionRelationship","","","cabbe968","ccf774c6",""
"id-53cc93b6","CompositionRelationship","","","id-8894926b","id-566c8c20",""
"e82ad18d","RealizationRelationship","","","f521a19b","id-8f115367",""
"id-53bb4584","RealizationRelationship","","","af2be141","id-978b0757",""
"id-3358aa97","RealizationRelationship","","","e221080d","f6efb5b0",""
"ac9b59e9","RealizationRelationship","","","id-6a22992d","af2be141",""
"a585a87f","RealizationRelationship","","","id-76485697","id-7ce23f84",""
"id-77efc425","ServingRelationship","","","f6efb5b0","f521a19b",""
"d0a196ee","ServingRelationship","use","","id-7ce23f84","e221080d",""
"id-3065d35b","TriggeringRelationship","","","f973e5a9","f521a19b",""
"id-51b57aa8","TriggeringRelationship","","","b13b4aa8","id-2ea88bdb",""
"ac4e89ed","TriggeringRelationship","","","id-2ea88bdb","id-5ffa87e3",""
"id-431d197c","TriggeringRelationship","","","id-5ffa87e3","da624149",""
"db0be9c6","TriggeringRelationship","","","da624149","id-7b0d47a8",""
