"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-7dfaa107-17b0-494c-9df8-c998a31dcdd3","AggregationRelationship","","","id-c52409e9-850f-4f79-bf40-f4fb470c7eaa","id-2f4480ed-84b8-4ce0-8fd8-3e56491c3217",""
"id-9b4ec106-5068-43cc-8525-65df5c21db6b","AssignmentRelationship","","","id-b3333980-a72b-426f-a1c3-81bfbe2c8ad7","id-3c2add18-10a6-4a92-86b4-abd706c14934",""
"id-c2e2c95f-55ab-449f-9c07-44f04f5609d6","AssignmentRelationship","","","id-b3333980-a72b-426f-a1c3-81bfbe2c8ad7","id-c060c1ad-c4a5-4a0c-8421-67b4399e52c6",""
"id-ce747884-9563-4877-bcb8-5fd0c78c5f37","AssignmentRelationship","","","id-ffcc538b-1fa3-4179-aebb-ce2776e151c2","id-42e858e8-3a30-493b-b530-d79e06997185",""
"id-9f23ef82-ab2a-4abc-ac1e-fb5f67f4a480","AssignmentRelationship","","","id-ffcc538b-1fa3-4179-aebb-ce2776e151c2","id-9df7cad9-47e1-4fcb-a6fd-74ce044ba79f",""
"id-5adedb7e-2dc1-44dc-8bdd-2abe9098f444","AssignmentRelationship","","","id-0e12189e-1dad-4864-98c0-5ca201ffb371","id-c4dfc5b1-450e-4d57-97bc-2728b864c833",""
"id-c25b0256-eeca-44cf-9b19-edcd87d860a1","AssignmentRelationship","","","id-a7e0a069-4121-4709-bec0-1492e2a7e5ad","id-9bb7a514-566e-44d3-9f0c-fcd889d8e12c",""
"id-7220fd8c-34d9-42d6-be80-a991e9f97cef","AssignmentRelationship","","","id-a7e0a069-4121-4709-bec0-1492e2a7e5ad","id-3662a384-ee57-45fc-b8bd-8e14d33efad5",""
"id-404ddbbc-4de3-4ebc-ae58-a5ae7f5944a9","AssignmentRelationship","","","id-073feb5d-7313-48e8-bd0a-7fb2bb297ac3","id-a352612b-ceeb-42c2-bd75-f6176fa745f4",""
"id-504c4c4d-9c18-43f6-ab52-521cc015f695","AssignmentRelationship","","","id-ea94eaa7-e12a-4a9b-ab4b-01fd9c344348","id-79dfe79e-2e34-4498-acb3-8707cc782c14",""
"id-4c982ddd-4336-4877-918b-0fc93ff27ebe","AssignmentRelationship","","","id-41c60e02-1b18-4295-9602-35c313fc5b6d","id-4753ce71-0447-4cb0-8e2a-78a49579ac07",""
"id-0a165e65-1ccb-4661-8dff-128fcd730b83","AssociationRelationship","","","id-ea94eaa7-e12a-4a9b-ab4b-01fd9c344348","id-3887b3fa-c91f-4f04-88b3-557892b254b0",""
"id-29744cff-f3fa-48bc-acee-5a1b920e0fc0","AssociationRelationship","","","id-6ff95951-f833-4378-bc24-bc9f1b2b64c0","id-3887b3fa-c91f-4f04-88b3-557892b254b0",""
"id-d1aa4b95-48f2-487a-8e8c-4b6522bb99d9","AssociationRelationship","","","id-41c60e02-1b18-4295-9602-35c313fc5b6d","id-3887b3fa-c91f-4f04-88b3-557892b254b0",""
"id-0320ce8e-057e-48f4-b170-aaa5f268c6a3","AssociationRelationship","","","id-c04e49e4-bc62-4432-a28a-2dd21480b649","id-073feb5d-7313-48e8-bd0a-7fb2bb297ac3",""
"id-d94ea62a-c2d4-4a18-8c2a-b0d951b8c997","AssociationRelationship","","","id-c04e49e4-bc62-4432-a28a-2dd21480b649","id-3887b3fa-c91f-4f04-88b3-557892b254b0",""
"id-9ce8c22b-13ba-4311-b844-c207216e9f77","CompositionRelationship","","","id-ea94eaa7-e12a-4a9b-ab4b-01fd9c344348","id-3c2add18-10a6-4a92-86b4-abd706c14934",""
"id-76873eba-9e36-41ab-944f-6f466b60e948","CompositionRelationship","","","id-ea94eaa7-e12a-4a9b-ab4b-01fd9c344348","id-c060c1ad-c4a5-4a0c-8421-67b4399e52c6",""
"id-8c525fc5-5bc2-4aa2-913c-ea1e2baa31cd","CompositionRelationship","","","id-6ff95951-f833-4378-bc24-bc9f1b2b64c0","id-42e858e8-3a30-493b-b530-d79e06997185",""
"id-88159a7d-03a0-4153-9261-c41eaa161fcc","CompositionRelationship","","","id-6ff95951-f833-4378-bc24-bc9f1b2b64c0","id-9df7cad9-47e1-4fcb-a6fd-74ce044ba79f",""
"id-dbaf1659-666b-4889-a03c-ebb5013041c4","CompositionRelationship","","","id-ea94eaa7-e12a-4a9b-ab4b-01fd9c344348","id-b3333980-a72b-426f-a1c3-81bfbe2c8ad7",""
"id-4caf19ec-c848-41eb-8050-acdf5d917fb5","CompositionRelationship","","","id-6ff95951-f833-4378-bc24-bc9f1b2b64c0","id-ffcc538b-1fa3-4179-aebb-ce2776e151c2",""
"id-b0eb5ac2-f442-447a-81e1-735aba7db2fb","CompositionRelationship","","","id-073feb5d-7313-48e8-bd0a-7fb2bb297ac3","id-0e12189e-1dad-4864-98c0-5ca201ffb371",""
"id-f6f1f987-27eb-4b08-9166-9693249f3b3a","CompositionRelationship","","","id-073feb5d-7313-48e8-bd0a-7fb2bb297ac3","id-c4dfc5b1-450e-4d57-97bc-2728b864c833",""
"id-8df0ad8b-878c-4e50-a100-a72d3b5cfdc4","CompositionRelationship","","","id-41c60e02-1b18-4295-9602-35c313fc5b6d","id-9bb7a514-566e-44d3-9f0c-fcd889d8e12c",""
"id-d1f2e492-c474-449a-a2a7-a3f84c7ef7bb","CompositionRelationship","","","id-41c60e02-1b18-4295-9602-35c313fc5b6d","id-a7e0a069-4121-4709-bec0-1492e2a7e5ad",""
"id-26756afd-a8c8-45e9-8a52-6188dd3d7f27","CompositionRelationship","","","id-41c60e02-1b18-4295-9602-35c313fc5b6d","id-3662a384-ee57-45fc-b8bd-8e14d33efad5",""
"id-40f16b3d-7f81-4a0b-bebf-5ef44665faf5","RealizationRelationship","","","id-2f4480ed-84b8-4ce0-8fd8-3e56491c3217","id-3483fc12-aa5e-4991-a6c3-bbb80d01c10e",""
"id-a260d91c-16ca-429c-b3c9-6acc3549628e","RealizationRelationship","","","id-7b9b5d28-477f-478d-bf46-7758a9a925c2","id-c2cfecb7-645b-4ff6-9641-972077a2ab0f",""
"id-4f32ad7c-a406-408d-8098-4413eba9ed6d","RealizationRelationship","","","id-a352612b-ceeb-42c2-bd75-f6176fa745f4","id-c75b2c90-89dc-40b3-a2da-aac6fe11dedd",""
"id-7d814bf8-f0c3-4531-a870-1eec7d9c313b","RealizationRelationship","","","id-79dfe79e-2e34-4498-acb3-8707cc782c14","id-3483fc12-aa5e-4991-a6c3-bbb80d01c10e",""
"id-130febc5-5784-4e7b-8021-fddae6edfd68","RealizationRelationship","","","id-4753ce71-0447-4cb0-8e2a-78a49579ac07","id-c2cfecb7-645b-4ff6-9641-972077a2ab0f",""
"id-39a0a6f2-722f-4c15-b113-f9c188f3f25e","RealizationRelationship","","","id-6ff95951-f833-4378-bc24-bc9f1b2b64c0","id-fdcca22a-113e-45d9-b784-02da2454abdc",""
"id-81c6106c-4c2e-4085-bd7a-6159eab06ea8","ServingRelationship","","","id-c2cfecb7-645b-4ff6-9641-972077a2ab0f","id-3483fc12-aa5e-4991-a6c3-bbb80d01c10e",""
"id-477d4ea3-3fd5-4075-a93d-ebf5d3d51c58","ServingRelationship","","","id-3483fc12-aa5e-4991-a6c3-bbb80d01c10e","id-c75b2c90-89dc-40b3-a2da-aac6fe11dedd",""
"id-bdf08abc-b86a-43e4-9af2-29ca3e4b2fb0","ServingRelationship","","","id-c060c1ad-c4a5-4a0c-8421-67b4399e52c6","id-3c2add18-10a6-4a92-86b4-abd706c14934",""
"id-96a8296c-b0c4-4846-a74b-a23cbf3bb068","ServingRelationship","","","id-9df7cad9-47e1-4fcb-a6fd-74ce044ba79f","id-42e858e8-3a30-493b-b530-d79e06997185",""
"id-ff0fec21-b9ee-412b-866b-bd38420a3d62","ServingRelationship","","","id-3662a384-ee57-45fc-b8bd-8e14d33efad5","id-9bb7a514-566e-44d3-9f0c-fcd889d8e12c",""
"id-7fc7925d-c122-4063-a4f2-8303f93d75ce","ServingRelationship","","","id-fdcca22a-113e-45d9-b784-02da2454abdc","id-3483fc12-aa5e-4991-a6c3-bbb80d01c10e",""
